country,funding_body,url_source,date,collected_by,file_path
USA,NSF,https://beta.nsf.gov/funding/opportunities/postdoctoral-research-fellowships-biology-prfb,22/06/2022,Michael,USA/NSF_PRFB.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/research-coordination-networks-undergraduate-biology-education-rcn-ube,22/06/2022,Michael,USA/NSF_RCN-UBE.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/research-experiences-undergraduates-reu,22/06/2022,Michael,USA/NSF_REU.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/bio-research-experience-undergraduates-sites-bio-reu-sites,22/06/2022,Michael,USA/NSF_BIO-REU.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/building-research-capacity-new-faculty-biology-brc-bio,22/06/2022,Michael,USA/NSF_BRC-BIO.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/leading-culture-change-through-professional-societies-biology-bio-leaps,22/06/2022,Michael,USA/NSF_BIO-LEAP.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/research-and-mentoring-postbaccalaureates-biological-sciences-ramp,22/06/2022,Michael,USA/NSF_RaMP-2.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/research-experiences-teachers-sites-biological-sciences-biorets,22/06/2022,Michael,USA/NSF_BIORETS-2.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/infrastructure-innovation-biological-research-innovation,22/06/2022,Michael,USA/NSF_Innovation.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/infrastructure-capacity-biological-research-capacity,22/06/2022,Michael,USA/NSF_Capacity.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/sustaining-infrastructure-biological-research-sustaining,22/06/2022,Michael,USA/NSF_Sustaining.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/major-research-instrumentation-program-mri,22/06/2022,Michael,USA/NSF_MRI.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/biology-integration-institutes-bii,22/06/2022,Michael,USA/NSF_BII.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/center-advancement-and-synthesis-open-environmental-data-and-sciences,22/06/2022,Michael,USA/NSF_CASOEDS.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/competition-management-operations-and-maintenance-national-ecological,22/06/2022,Micheal,USA/NSF_CMOMNEON.txt
USA,NSF,https://beta.nsf.gov/funding/opportunities/mid-scale-research-infrastructure-1-mid-scale-ri-1,22/06/2022,Michael,USA/NSF_Mid_scale_RI-1.txt
