Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Darlington Point Energy Storage System",https://arena.gov.au/projects/darlington-point-energy-storage-system/,"Battery storage",$6.6m,$37.51m,"Edify Energy (operating as DPESS DevCo)","Advancing Renewables Program",01/06/2022,"Darlington Point, New South Wales","NSW Government Department of Primary Industries and Energy",Current
"Alcoa Renewable Powered Electric Calcination Pilot",https://arena.gov.au/projects/alcoa-renewable-powered-electric-calcination-pilot/,"Renewables for industry",$8.62m,$19.66m,Alcoa,"Advancing Renewables Program",31/03/2022,"Oakley, Western Australia","CSIRO ",Current
"Port Kembla Steelworks Renewables & Emissions Reduction Study",https://arena.gov.au/projects/port-kembla-steelworks-renewables-emissions-reduction-study/,"Hydrogen energy",$925k,$1.86m,"Bluescope Steel","Advancing Renewables Program",04/03/2022,"New South Wales","The University of Wollongong, Future Fuels CRC",Current
"New Energies Service Station Geelong Demonstration Project",https://arena.gov.au/projects/new-energies-service-station-geelong-demonstration-project/,"Hydrogen energy",$22.8m,$43.3m,"Viva Energy Australia","Advancing Renewables Program",01/03/2022,"Geelong, Victoria","Toll Transport, ComfortDelGro Corporation Australi, Cleanaway Operations, Barwon Region Water Corporation",Current
"University of Queensland Platform for Solar Farm Pre-Commissioning",https://arena.gov.au/projects/university-of-queensland-platform-for-solar-farm-pre-commissioning/,"Solar energy",$498k,$1.46m,"The University of Queensland","Advancing Renewables Program",10/01/2022,Queensland,"EPEC Group",Current
"5B Maverick Solar PV Automated Assembly & Deployment",https://arena.gov.au/projects/5b-maverick-solar-pv-automated-assembly-deployment/,"Solar energy",$14m,$33.39m,"5B Holdings","Advancing Renewables Program",14/12/2021,"Mascot, New South Wales",None,Current
"Renewable Hydrogen Demonstration for Heavy Transport",https://arena.gov.au/projects/renewable-hydrogen-demonstration-for-heavy-transport/,"Hydrogen energy",$3.02m,$12.97m,"Ark Energy","Advancing Renewables Program",08/11/2021,"Queensland, Stuart","Sun Metals Corporation, Townsville Logistics",Current
"The Port of Newcastle Hydrogen Hub Feasibility Study",https://arena.gov.au/projects/the-port-of-newcastle-hydrogen-hub-feasibility-study/,"Hydrogen energy",$1.5m,$3m,"Macquarie Group’s Green Investment Group, Port of Newcastle","Advancing Renewables Program",05/11/2021,"New South Wales, Newcastle","Lake Macquarie City Council, Idemitsu Renewable Developments Australia, Snowy Hydro, Jemena Gas Networks (NSW), Keolis Downer, Macquarie Agriculture ",Current
"EleXsys DER Hosting Capacity Demonstration",https://arena.gov.au/projects/elexsys-der-hosting-capacity-demonstration/,"Distributed energy resources",$451k,$1.92m,"Elexsys Energy","Advancing Renewables Program",20/10/2021,"Parkinson, Queensland","Energy Queensland",Current
"AGL Broken Hill Grid-Forming Battery",https://arena.gov.au/projects/agl-broken-hill-grid-forming-battery/,"Renewables for industry",$14.83m,$39.4m,"AGL Energy","Advancing Renewables Program",04/09/2021,"New South Wales","University of New South Wales ",Current
