"APP ID"	"Date Announced"	"Notes"	"APP YEAR"	"FUNDING TYPE"	"FUNDING SUB TYPE"	"SCIENTIFIC TITLE"	"SIMPLIFIED TITLE"	"CIA"	"APP ADMIN INSTITUTION"	"STATE"	"Start Year"	"Final Budget - Rounded"	"Funding Source"	"MAIN FUNDING GROUP"	"SECTOR"	"BROAD RESEARCH AREA"	"FOR CATEGORY"	"FIELD OF RESEARCH"	"RESEARCH KW 1"	"RESEARCH KW 2"	"RESEARCH KW 3"	"RESEARCH KW 4"	"RESEARCH KW 5"	"HEALTH KW 1"	"HEALTH KW 2"	"HEALTH KW 3"	"HEALTH KW 4"	"HEALTH KW 5"	"MEDIA SUMMARY"
1054985	2013-08-05	"Note 7"	2013	"International Collaborations"	"Aust/EU Collaborative Research Grant -Update"	NA	NA	"Prof M Little"	"University of Queensland"	"QLD"	2014	186112	"NHMRC MREA"	"Research Support -"	"University -"	"Basic Science"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1055295	2013-08-05	"Note 7"	2013	"International Collaborations"	"Aust/EU Collaborative Research Grant -Update"	NA	NA	"Prof N Laing"	"University of Western Australia"	"WA"	2014	199849	"NHMRC MREA"	"Research Support -"	"University -"	"Clinical Medicine and Science"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9000151	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Kim Tsai"	"Walter and Eliza Hall Institute"	"VIC"	2013	8351482	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000152	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Marianne Ciavarella"	"Murdoch Childrens Research Institute"	"VIC"	2013	5437730	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000153	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Heather Gallichio"	"Baker IDI Heart and Diabetes Institute"	"VIC"	2013	4617884	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000154	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Pearly Harumal"	"Queensland Institute of Medical Research"	"QLD"	2013	3861374	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000155	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Gillian Hulst"	"Garvan Institute of Medical Research"	"NSW"	2013	3827307	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000156	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Dr Anne Johnston"	"St Vincent's Institute of Medical Research"	"VIC"	2013	1710894	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000157	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Jenny McKellar"	"Victor Chang Cardiac Research Institute"	"NSW"	2013	1522765	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000158	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Dr Alison Greenway"	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	2013	983969	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000159	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Dr Neil Owens"	"Prince Henry's Institute of Medical Research"	"VIC"	2013	909829	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000160	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Woody Macpherson"	"Cancer Council Victoria"	"VIC"	2013	678925	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
