"APP ID"	"Date Announced"	"CIA_NAME"	"GRANT_TYPE"	"SUB_TYPE"	"SIMPLIFIED TITLE"	"ADMIN_ INSTITUTION"	"STATE"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"TOTAL"	"BROAD_RESEARCH_AREA"	"FOR_ CATEGORY"	"FIELD_OF_  RESEARCH"	"RESEARCH_KW_1"	"RESEARCH_KW_2"	"RESEARCH_KW_3"	"RESEARCH_KW_4"	"RESEARCH_KW_5"	"Sector"
"1076729"	2014-08-29	"Dr Maree Toombs"	"NHMRC Strategic Awards"	"TCR - Youth Suicide"	"Indigenous Network Suicide Intervention Skills Training (INSIST): Can a community designed and delivered framework reduce suicide/self-harm in Indigenous youth?"	"University of Queensland"	"QLD"	33578	382074	156355	185717	47013	NA	NA	804737	"Public Health"	"PSYCHOLOGY"	"Psychological Methodology, Design and Analysis"	"suicide prevention"	"Aboriginal mental health"	"suicide risk"	"community development"	"community intervention study"	"University"
"1076774"	2014-08-29	"Dr Roxanne Bainbridge"	"NHMRC Strategic Awards"	"TCR - Youth Suicide"	"Psycho-social resilience, vulnerability and suicide prevention: A mentoring approach to modifying suicide risk for remote Indigenous students at boarding school"	"James Cook University"	"QLD"	13331	160808	168725	156225	169975	155811	NA	824876	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"suicide prevention"	"school-based intervention"	"intervention study"	"Aboriginal mental health"	"adolescent health"	"University"
"1076796"	2014-08-29	"Prof Anthony Jorm"	"NHMRC Strategic Awards"	"TCR - Youth Suicide"	"Development of gatekeeper training to improve the capacity of Aboriginal and Torres Strait Islander communities to prevent youth suicide"	"University of Melbourne"	"VIC"	274536	526287	339549	NA	NA	NA	NA	1140372	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"Aboriginal mental health"	"mental health"	"mental health promotion"	"prevention"	"early intervention"	"University"
"1076817"	2014-08-29	"A/Pr Gary Robinson"	"NHMRC Strategic Awards"	"TCR - Youth Suicide"	"Skills for Life: A Life Skills curriculum for Indigenous youth in remote communities"	"Menzies School of Health Research"	"NT"	70829	217705	523059	512594	369140	52573	NA	1745899	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"Aboriginal mental health"	"suicide prevention"	"youth"	"social and behavioural research"	"community intervention study"	"MRI"
"1077633"	2014-08-29	"Dr Meredith O'Keeffe"	"NHMRC Research Fellowships"	"Research Fellowship"	"Exploring the innate immune system of bone marrow"	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"IMMUNOLOGY"	"Innate Immunity"	"bone marrow"	"dendritic cell"	"immune function"	"interferon (IFN)"	"memory T-cells"	"MRI"
"1077636"	2014-08-29	"Prof James Beeson"	"NHMRC Research Fellowships"	"Research Fellowship"	"Malaria immunity and vaccines"	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	NA	150162	150162	150162	150162	150162	NA	750810	"Clinical Medicine and Science"	"MEDICAL MICROBIOLOGY"	"Medical Parasitology"	"malaria vaccine"	"malaria"	"malaria control"	"antibody"	"public health"	"MRI"
"1077677"	2014-08-29	"A/Pr James Bourne"	"NHMRC Research Fellowships"	"Research Fellowship"	"Mechanisms of brain repair following injury"	"Monash University"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"NEUROSCIENCES"	"Central Nervous System"	"vision"	"neuroplasticity"	"brain injury"	"cortex"	"primate"	"University"
"1077691"	2014-08-29	"A/Pr Jane Pillow"	"NHMRC Research Fellowships"	"Research Fellowship"	"Understanding and Improving Treatment of Premature Infants to Improve Long Term Outcomes"	"University of Western Australia"	"WA"	NA	122329	122329	122329	122329	122329	NA	611645	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"prematurity"	"bronchopulmonary dysplasia"	"mechanical ventilation"	"inflammation"	"neurodevelopment"	"University"
"1077694"	2014-08-29	"A/Pr Jeremy Thompson"	"NHMRC Research Fellowships"	"Research Fellowship"	"New insights into oocyte and embryo health"	"University of Adelaide"	"SA"	NA	150162	150162	150162	150162	150162	NA	750810	"Basic Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Reproduction"	"oocyte maturation"	"embryo viability"	"embryogenesis"	"fetal origins of disease"	"biophysics"	"University"
"1077703"	2014-08-29	"Prof Matthew Watt"	"NHMRC Research Fellowships"	"Research Fellowship"	"Lipid metabolism in health and disease"	"Monash University"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"MEDICAL PHYSIOLOGY"	"Medical Physiology not elsewhere classified"	"lipid metabolism"	"insulin resistance"	"endocrine factors"	"obesity"	"adipocytes"	"University"
