"APP ID"	"Date Announced"	"CIA_Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Start Yr"	"End Yr"	"Total"	"Broad Research Area"	"FOR Category"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1116530	2016-07-01	"Prof Sharon Lewin"	"Centres of Research Excellence"	"Centres of Research Excellence - Infectious Disease Emergency Response"	"Australian Partnership (for) Preparedness Research on InfectiouS (disease) Emergencies (APPRISE)"	"University of Melbourne"	"VIC"	"University"	"2016"	"2020"	4996415.6	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Infectious Diseases"	"emerging diseases"	"training"	"clinical research"	"public health"	"surveillance"	"We have assembled national experts in clinical, laboratory and public health research to ensure Australia is equipped for a coordinated, effective and evidence based response to infectious diseases. This multidisciplinary team will create and share new knowledge to detect, prevent and manage emerging infection threats. We will train a robust cross-sectoral work force and develop sustainable research capacity integrated within the health system to ensure national and regional health security."
1113396	2016-07-01	"A/Pr Barbara Meyer"	"Partnerships"	"Partnership Project for Better Health"	"Does Omega-3 Supplementation Attenuate Aggressive Behaviour: A Multi-Centre Randomised Controlled Trial of a Broadly Disseminable Strategy"	"University of Wollongong"	"NSW"	"University"	"2016"	"2020"	845278	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Clinical Sciences not elsewhere classified"	"mental health"	"omega-3 fatty acids"	"aggression"	"antisocial behaviour"	"attention deficit hyperactivity disorder (ADHD)"	"Aggressive behaviour is a major problem worldwide, sometimes with dire consequences. Although there are many contributing factors, in this study we will test whether supplementing the diet with omega-3s will result in reduced aggressive behaviour in Australian prisoners. We will discuss the outcomes with key stakeholders, write a report to Corrective Services Administrators Council, develop education about omega-3s for inmates, and form a group to oversee these translation activities."
1113572	2016-07-01	"Prof Carla Treloar"	"Partnerships"	"Partnership Project for Better Health"	"Deadly Liver Mob: Engaging Aboriginal people in viral hepatitis, HIV and sexual health services"	"University of New South Wales"	"NSW"	"University"	"2016"	"2019"	848440.5	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"sexual health"	"viral hepatitis"	"health promotion"	"incentives"	"Aboriginal health"	"Rates of blood-borne viruses and sexually transmissible infections are high among the Aboriginal and Torres Strait Islander population. A local initiative in western Sydney has trialed a new approach to engagement and care of Aboriginal people. We will implement this approach in services across NSW and evaluate its effectiveness as a sustainable and acceptable model for engaging Aboriginal people in care and develop an implementation plan for future roll-out to other services."
1113851	2016-07-01	"A/Pr Kristine Macartney"	"Partnerships"	"Partnership Project for Better Health"	"Reducing vaccine preventable diseases in children: using national active hospital-based surveillance to evaluate and improve immunisation program performance"	"University of Sydney"	"NSW"	"University"	"2016"	"2018"	1049915.76	"Public Health"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"immunisation"	"vaccine-preventable diseases"	"prevention"	"childhood"	"effectiveness"	"This proposal aims to evaluate and improve upon immunisation policy and programs for the prevention of severe childhood influenza and pertussis. Using our successful Paediatric Active Enhanced Disease Surveillance (PAEDS) network in 6 major children's hospitals across Australia, we will identify gaps in the evidence base needed to better control influenza and pertussis and in particular to ensure programs are delivered in such a way so as to address health inequalities."
1115649	2016-07-01	"Prof Marco Peres"	"Partnerships"	"Partnership Project for Better Health"	"Delivering effective dental healthcare in 2020-2030: A national longitudinal partnership study of burden of oral diseases in Australia"	"University of Adelaide"	"SA"	"University"	"2016"	"2019"	1056521.5	"Public Health"	"DENTISTRY"	"Dentistry not elsewhere classified"	"oral health"	"epidemiology"	"cohort study"	"burden of disease"	"health services research"	"The proposed partnership project will focus on five main areas:  1. The evaluation of changes in oral diseases.  2. The assessment of the incidence of oral diseases and its relationships with service systems and individual healthcare behaviours.  3. The estimation of the burden of oral diseases in the period 2020–30.   4. The assessment of cost-effectiveness of the various patterns of dental service use.  5. The knowledge translation involving policymakers and dental service providers."
1115708	2016-07-01	"Prof Jo Salmon"	"Partnerships"	"Partnership Project for Better Health"	"Scalability of the Transform-Us! program to promote children's physical activity and reduce prolonged sitting in Victorian primary schools"	"Deakin University"	"VIC"	"University"	"2016"	"2020"	549822.96	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health Promotion"	"physical activity"	"sedentary behaviour"	"child behaviour"	"translational research"	"behavioural epidemiology"	"Transform-Us! is an innovative primary school program that has been found to substantially increase children’s physical activity levels, reduce sitting time and benefit health. With simple changes to the school and classroom environments and teaching practices (eg, standing lessons) we will work with partners in the education and health systems to translate this program across Victorian primary schools to determine the real-world implementation and impact of this program over 5 years."
1115720	2016-07-01	"Prof David Hunter"	"Partnerships"	"Partnership Project for Better Health"	"Optimising primary care management of knee osteoarthritis: the PARTNER project."	"University of Sydney"	"NSW"	"University"	"2016"	"2018"	1155443.7	"Health Services Research"	"CLINICAL SCIENCES"	"Rheumatology and Arthritis"	"exercise"	"osteoarthritis"	"self-management"	"musculoskeletal"	"clinical trial"	"Our overall aim is to implement a cost-effective, sustainable, evidence-based model of co-ordinated primary care targeting both the general practitioner and the patient that improves management and outcomes for overweight/obese people with knee osteoarthritis (OA) and reduces health care costs."
1115729	2016-07-01	"A/Pr Bamini Gopinath"	"Partnerships"	"Partnership Project for Better Health"	"‘Caring for the Carer’: implementing a comprehensive support service model for family caregivers looking after persons with age-related macular degeneration"	"University of Sydney"	"NSW"	"University"	"2016"	"2018"	218829.8	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health and Community Services"	"macular degeneration"	"caregiver health"	"cognitive behaviour therapy"	"intervention"	"caregiver burden"	"Blindness related to late age-related macular degeneration impacts not only the patient but also their family carers, placing them at risk of poor health outcomes. Together with our partners (Macular Disease Foundation Australia; Carers NSW), we will implement and evaluate a comprehensive support service that aims to help family caregivers by enhancing their psychosocial skills, so that they can manage their stress more effectively and better cope with the challenges associated with caregiving."
1115891	2016-07-01	"Prof Catherine Taylor"	"Partnerships"	"Partnership Project for Better Health"	"Pathways to better health and education outcomes for Tasmania’s children"	"University of Western Australia"	"WA"	"University"	"2016"	"2018"	593172.5	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Community Child Health"	"child health"	"education"	"child development"	"prevention"	"social determinants of health"	"For far too many of these children, a poor start predicts a poor future. This is especially true for Tasmanian children who live in amongst the most disadvantaged circumstances in Australia. This project will follow 12,000 Tasmanian children through early childhood services from birth to age five to find out if services are meeting their needs. The information will be used to improve services and improve the health and education of all Tasmanian children."
1115907	2016-07-01	"Prof Jane Pirkis"	"Partnerships"	"Partnership Project for Better Health"	"Building the Evidence Base for Prevention and Recovery Care Services"	"University of Melbourne"	"VIC"	"University"	"2016"	"2018"	365902.9	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Mental Health"	"mental disorder"	"mental health services"	"recovery"	"psychiatric"	"health economics"	"This project involves seven inter-related studies designed to evaluate the appropriateness, effectiveness and efficiency of Victoria's Prevention and Recovery Care Services (PARCS), which are residential services for people with severe mental disorders. The project represents a partnership between universities, PARCS providers, clinical services and the Victorian Government, and will actively engage service users and their carers and other experts"
