"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Start Yr"	"End Yr"	"Total"	"Broad Research Area"	"FOR Category"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1135558	2017-07-31	"A/Pr Kate Hoy"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Development of novel therapeutics for dementia: investigating tailored brain stimulation approaches for dementia prevention and treatment"	"Monash University"	"VIC"	"University"	2017	2020	723104.8	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Geriatrics and Gerontology"	"intervention"	"neuromodulation"	"ageing population"	"Alzheimer disease"	"Parkinson disease"	"Dementia is a debilitating and devastating illness impacting significantly on sufferers, carers and the wider community. Current treatment approaches are limited in their effectiveness and   alternative therapeutics are needed. My research will investigate the use of brain stimulation techniques for the treatment and prevention of dementia."
1135590	2017-07-31	"Dr Ryusuke Takechi"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Dementia associated to diabetes: prevention through the modulation of cerebrovascular integrity"	"Curtin University of Technology"	"WA"	"University"	2017	2020	719770	"Basic Science"	"MEDICAL PHYSIOLOGY"	"Medical Physiology not elsewhere classified"	"insulin resistance"	"blood-brain barrier"	"inflammation"	"oxidative stress"	"cognitive deficit"	"Diabetic insulin resistance is reported to induce cognitive decline and dementia. An accumulating body of evidence suggest that compromised integrity of neurovascular unit and following changes in cerebral lipid homeostasis may be centrally involved in the neurodegeneration and cognitive deficits. Therefore, the project aims to prevent the insulin resistance-associated cognitive impairment by modulating the integrity of cerebrovasculature and lipid homeostasis."
1135605	2017-07-31	"Dr Alex Bahar-Fuchs"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Cognition-oriented treatments for older adults on the spectrum from cognitive health to dementia: Improving methodologies and outcomes"	"University of Melbourne"	"VIC"	"University"	2017	2020	716620	"Clinical Medicine and Science"	"OTHER PSYCHOLOGY AND COGNITIVE SCIENCES"	"Psychology and Cognitive Sciences not elsewhere classified"	"cognition"	"dementia"	"mild cognitive impairment"	"rehabilitation"	"methodology"	"Older adults, with and without memory problems, frequently seek ‘brain stimulating’ activities to reduce their dementia risk. Many such activities are available, but the evidence behind them is not clear and more research is needed to improve our understanding of these treatments. The proposed research programme aims to support older adults interested in these types of activities in their efforts to remain cognitively healthy and functionally independent irrespective of age and clinical status"
1135639	2017-07-31	"Prof Sharon Naismith"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Novel assessment and intervention for dementia: an inter-disciplinary translational approach"	"University of Sydney"	"NSW"	"University"	2017	2020	720021.2	"Clinical Medicine and Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"dementia"	"mild cognitive impairment"	"early intervention"	"sleep"	"risk factors"	"This program of research focuses on i) a highly novel internationally competitive program of work focusing on the neural network correlates of sleep in dementia, sleep as a risk factor and the efficacy of sleep-wake interventions in reducing cognitive decline;  ii) Innovative technologies for widespread screening of preclinical dementia and early intervention and iii) clinical trials focused on the testing of a of novel, highly translatable dementia risk reduction interventions."
1135657	2017-07-31	"A/Pr David Nisbet"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Treating parkinson's disease dementia with nanoscaffolds"	"Australian National University"	"ACT"	"University"	2017	2020	665144	"Basic Science"	"NEUROSCIENCES"	"Central Nervous System"	"dementia"	"Parkinson disease"	"biomaterials"	"nanotechnology"	"neurotrophins"	"Several diseases, including Parkinson’s disease (PD), result in dementia. Currently, pharmacological therapy is the only treatment for PD dementia, which only offers symptomatic relief with diminished efficacy. Therefore, there is a need to develop new strategies that prevent or slow the onset of dementia. This study will utilize nanoscaffolds that facilitate the controlled delivery of therapeutic proteins to prevent or slow the death of neurons associated with dementia in PD patients."
1135676	2017-07-31	"Dr Hannah Keage"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Vascular contributions to dementia: prevention in those at high-risk"	"University of South Australia"	"SA"	"University"	2017	2020	718104.8	"Clinical Medicine and Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"cognition"	"mild cognitive impairment"	"dementia"	"vascular dementia"	"cardiovascular"	"10,000 older adults undergo surgeries on their heart every year.  These adults are at high risk for dementia, as the factors that bring them to cardiovascular surgery are the same as those that associate with dementia: hypertension, type II diabetes, etc.  This population is in fact not only at increased risk of dementia due to vascular ill-health, but also because of undergoing the surgery itself.  This project aims to prevent dementia in this vulnerable group."
1135683	2017-07-31	"A/Pr Adam Vogel"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Optimising speech assessment and treatment in frontotemporal dementia"	"University of Melbourne"	"VIC"	"University"	2017	2020	722210.4	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Rehabilitation and Therapy (excl. Physiotherapy)"	"motor speech disorders"	"rehabilitation"	"aphasia"	"frontotemporal dementia"	"differential diagnosis"	"Frontotemporal dementia has a devastating impact on our ability to speak and understand others. This proposal aims to improve our understanding of how to best assess, diagnose and treat these debilitating impairments. By bringing together an international consortium of clinics, these findings will lead to significant advances in our understanding of disease progression and patient care."
1135705	2017-07-31	"A/Pr Lee-Fay Low"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Rehabilitation for people with dementia"	"University of Sydney"	"NSW"	"University"	2017	2020	722358	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"dementia"	"dementia care"	"rehabilitation"	"aged care"	"implementation"	"At the moment, people with dementia are not offered rehabilitation, even though this may help them communicate, function and live better. I will test and advocate for rehabilitation interventions immediately post-diagnosis and as part of home and residential care. As a leader in dementia research at the University of Sydney I will grow my research team and lead new cross-disciplinary collaborations. I will also continue to influence policy and services."
1135720	2017-07-31	"Dr Lezanne Ooi"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Neuronal membranes and connections in dementia: targets for intervention"	"University of Wollongong"	"NSW"	"University"	2017	2020	720144	"Basic Science"	"NEUROSCIENCES"	"Cellular Nervous System"	"Alzheimer disease"	"stem cells"	"neuronal degeneration"	"neuronal cell death"	"membrane biology"	"This research aims to understand why some people with Mild Cognitive Impairment (MCI) progress to dementia, whilst others do not. The fact that some people’s cognitive abilities can improve provides an opportunity to study the mechanisms that protect their brain cells from the degeneration associated with dementia. Understanding the cellular changes will lead to therapies that can be tested in the lab for individuals."
1135727	2017-07-31	"Dr Joanne Ryan"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Comprehensive risk prediction models and presymptomatic biomarkers for dementia"	"Monash University"	"VIC"	"University"	2017	2020	720144	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Epidemiology"	"dementia"	"risk factors"	"epigenetics"	"Alzheimer disease"	"biomarkers"	"Extensive information on a large population of over 15,000 older Australians will be used to determine more precisely which factors increase or reduce the risk of developing dementia, and thus will provide valuable information on how to reduce the number of Australians with dementia. In parallel, this research will identify new ways to accurately diagnose dementia at an earlier stage, even before symptoms appear."
