"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1150337	2018-04-23	"A/Pr Dina LoGiudice"	"Targeted Calls for Research"	"Dementia in Indigenous Australians"	"Let's CHAT (Community Health Approaches To) -Dementia in Indigenous Communities."	"University of Melbourne"	"VIC"	"University"	2661502	"Clinical Medicine and Science"	"Geriatrics and Gerontology"	"indigenous Australians"	"dementia"	"cognitive impairment"	"geriatrics"	"health care delivery"	"The Let's CHAT (Community Health Approaches To) Dementia in Indigenous Communities program is a culturally responsive model of care designed to optimise the detection and management of dementia and its precursor cognitive impairment not dementia in Aboriginal and Torres Strait Islander older people attending Aboriginal Primary Care services. This will result in better health outcomes for older people with dementia, their carers and their communities."
1150361	2018-04-23	"Prof Robert Sanson-Fisher"	"Targeted Calls for Research"	"Dementia in Indigenous Australians"	"Addressing health and care needs of Aboriginal and Torres Strait Islander people living with dementia and their communities: A cluster RCT"	"University of Newcastle"	"NSW"	"University"	3046293.9	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"dementia"	"Aboriginal"	"indigenous Australians"	"randomised controlled trial (RCT)"	"community intervention"	"Dementia is a significant issue for Indigenous Australians which affects people living with dementia, their families and communities. Yet the issue of dementia in Indigenous communities remains poorly understood.This study will test a community-based intervention aimed at improving dementia diagnosis and care for Indigenous people in communities across Australia."
1151782	2018-04-23	"Dr Kate Smith"	"Targeted Calls for Research"	"Dementia in Indigenous Australians"	"Dementia prevention and risk Management Program for Aboriginal Australians (DAMPAA)"	"University of Western Australia"	"WA"	"University"	2543423.3	"Clinical Medicine and Science"	"Geriatrics and Gerontology"	"dementia"	"indigenous Australians"	"cognitive impairment"	"cognitive outcome"	"risk management"	"The best approach to delay or prevent dementia in Aboriginal Australians is unknown. This study aims to produce and trial a dementia prevention program specifically for Aboriginal people at risk of dementia, and a toolkit for services on its delivery. The dementia prevention program consists of an Aboriginal health practitioner coordinated physical activity and cardiovascular risk management program."
1151848	2018-04-23	"Prof Sandra Eades"	"Targeted Calls for Research"	"Dementia in Indigenous Australians"	"Multifactorial, multidisciplinary nurse led Aboriginal dementia prevention through cardio-metabolic risk reduction, behaviour change and other strategies: a pragmatic RCT"	"Baker Heart and Diabetes Institute"	"VIC"	"Research Institutes"	2811179.8	"Health Services Research"	"Preventive Medicine"	"dementia"	"prevention"	"clinical trial"	"Aboriginal"	"health services research"	"Effective, pragmatic and scalable interventions are required urgently to address the disproportionate burden of dementia in Aboriginal and Torres Strait Islander people. This project aims to establish an integrated research partnership based within the Aboriginal Community Controlled Health Sector (ACCHS) to develop, implement and quantify the acceptability, feasibility and effectiveness of a multifaceted nurse-led program to reduce the risk of cognitive decline and dementia in"
1151851	2018-04-23	"Dr Kylie Radford"	"Targeted Calls for Research"	"Dementia in Indigenous Australians"	"Our MOB (Mind Our Brain): Dementia prevention across the life course with Aboriginal Australians"	"University of New South Wales"	"NSW"	"University"	3020383.2	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"Alzheimer disease"	"healthy ageing"	"cerebrovascular disease"	"social determinants of health"	"prevention"	"The current project engages with partner Aboriginal communities and organisations in NSW to: (1) investigate the underlying causes of dementia in Aboriginal Australians, along with the prominent life course social and biomedical risk factors for dementia; (2) translate these findings into implementation of a healthy ageing program that has been co-developed with older Aboriginal people, and (3) identify priorities and strategies for future dementia prevention in young Aboriginal people."
1150014	2018-04-26	"Prof Jane Hocking"	"Partnerships"	"Partnership Project for Better Health"	"Implementation of an integrated model of chlamydia case management in general practice"	"University of Melbourne"	"VIC"	"University"	1497232.34	"Public Health"	"Primary Health Care"	"chlamydia"	"pelvic inflammatory disease (PID)"	"general practice"	"prevention"	"management"	"Chlamydia is the most commonly diagnosed bacterial STI worldwide with serious complications – in women, 17% of infections will develop into pelvic inflammatory disease which can lead to infertility. While screening is needed, chlamydia control policy must prioritise case management to reduce complications associated with infection. We aim to reduce the burden of chlamydia infection and its complications by implementing a model of chlamydia case management in general practice."
1151572	2018-04-26	"Prof Steven Allender"	"Partnerships"	"Partnership Project for Better Health"	"RESPOND: Reflexive Evidence and Systems Interventions to Prevent Obesity and Non-Communicable Disease"	"Deakin University"	"VIC"	"University"	1496140.8	"Public Health"	"Community Child Health"	"obesity"	"child health"	"prevention"	"epidemiology"	"randomised controlled trial (RCT)"	"We will assess the effectiveness of a new approach to community-wide childhood obesity prevention. We will work with partners to improve the health of children from birth to 12 years in the Ovens Murray and Goulburn region of Victoria. We will work with 10 Local Government Authorities, 14 health services and 116 schools, reaching more than 30,000 children."
1151837	2018-04-26	"Dr Jane Davies"	"Partnerships"	"Partnership Project for Better Health"	"A Partnership Approach to Sustainably eliminating Chronic Hepatitis B in the Northern Territory: Hep B PAST"	"Menzies School of Health Research"	"NT"	"Research Institutes"	1432909.3	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"hepatitis B virus"	"indigenous health"	"health literacy"	"primary care"	"health services research"	"The goal of this partnership project is to improve the care of Indigenous people living with chronic hepatitis B in the Northern Territory. This will be achieved by developing an educational app about hepatitis B in 11 Indigenous languages and training Aboriginal Health Practitioners to use the app. A register of people living with chronic hepatitis B will be created and a core clinical care team allocated to allow organised delivery of recommended care to be available to everyone who needs it."
1151843	2018-04-26	"Dr Allison Milner"	"Partnerships"	"Partnership Project for Better Health"	"Youth cohort: Improving Disability Employment Study (Y-IDES)"	"University of Melbourne"	"VIC"	"University"	816466.7	"Public Health"	"Health Information Systems (incl. Surveillance)"	"disability"	"employment"	"young adults"	"psychosocial factors"	"employment conditions"	"Intervening early to enable young Australians with disabilities to transition into meaningful, sustainable work is likely to have enormous payoffs for their health and wellbeing, as well as reduce economic costs to society. We will produce new evidence about the individual, service-related, workplace and contextual factors that contribute to successful employment and health outcomes for young people with a disability and will identify when and where it might be most cost-effective to intervene."
1151853	2018-04-26	"Prof John Newnham"	"Partnerships"	"Partnership Project for Better Health"	"An Australian multi-state partnership to prevent preterm birth"	"University of Western Australia"	"WA"	"University"	1096408.48	"Clinical Medicine and Science"	"Foetal Development and Medicine"	"pregnancy complications"	"prematurity"	"prevention"	"fetus"	"birth"	"Being born too early is the major cause of death and disability in young children. In WA, early birth has been reduced by a state-wide program including new clinical guidelines, a public health campaign and a new clinic. We now aim to expand this program into NSW and Vic with modifications for their different health care environments. The knowledge gained will then enable a national program that can be expected to prevent death and disability in children and reduce the cost of health care."
