"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field(s) of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
"2002047"	2021-03-16	"A/Pr Victoria Palmer"	"Special Initiative"	"Special Initiative in Mental Health"	"ALIVE - A National Research Translation Centre to implement Mental Health Care at Scale"	"University of Melbourne"	"VIC"	"University"	1e+07	"Health Services Research"	"Mental Health"	"mental health"	"implementation"	"translation"	"aboriginal mental health"	"intervention"	"ALIVE is a national research translation Centre to implement mental health care at scale. Our vision is to reduce the individual, social and economic impacts of mental illness burden and health inequities by transforming the primary care and community settings to: 1) embed novel preventive life course models; 2) implement mental-physical health tailored models of care with priority populations; 3) be informed by lived-experience models and leadership."
"2007001"	2021-03-26	"Prof Juha Toyras"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Revolution of sleep diagnostics and personalized health care based on digital diagnostics and therapeutics with health data integration"	"University of Queensland"	"QLD"	"University"	499999.75	"Clinical Medicine and Science"	"Respiratory Diseases"	"obstructive sleep apnoea"	"apnoea"	"biomedical engineering"	"sleep"	"somnolence"	"Almost 1 billion people suffer from sleep apnoea. Unfortunately, the current diagnostic metric relates poorly to the symptoms and comorbidities of sleep apnoea merely measuring the frequency of breathing cessations. We aim to develop machine learning techniques to better estimate sleep apnoea severity. These techniques are implemented to high-end wearables developed in this project. Finally, we aim to design a digital diagnostic platform and create new standardised guidelines for sleep medicine."
"2007006"	2021-03-26	"A/Pr George Moschonis"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"DigiCare4You - An intersectoral innovative solution involving DIGItal tools, empowering families and integrating community CARE services for the prevention and management of type 2 diabetes and hypertension"	"La Trobe University"	"VIC"	"University"	489307.09	"Public Health"	"Public Nutrition Intervention"	"community health care"	"health promotion"	"diabetes prevention"	"behaviour change"	"electronic health information"	"The overall aim of the research is to design and implement an innovative intervention that will bring together the available community-care infrastructure, human resources and services, as well as technological advancements on digital health, for the early prevention and treatment of type 2 diabetes and hypertension. The active involvement of Australian researchers in this international collaboration ensures that this innovation and its benefits will be transferred to Australia in the future."
"2007014"	2021-03-26	"Prof H. Peter Soyer"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Intelligent total body scanner for early detection of melanoma"	"University of Queensland"	"QLD"	"University"	499963	"Clinical Medicine and Science"	"Medical Biotechnology Diagnostics (incl. Biosensors)"	"melanoma"	"artificial neural networks"	"diagnostic imaging"	"multiple risk factors"	"risk assessment"	"Melanoma is the 4th most common cancer in Australia; the main screening tool is a time-consuming total body examination with a hand-held dermoscope. This project aims to develop a total body scanner using fast-refocusing lenses to take total body dermoscopy images of all skin lesions in approximately 6 minutes, integrated with a computer aided diagnostic tool providing a risk score for each lesion incorporating medical history, genotypic and phenotypic risk markers."
"2007048"	2021-03-26	"A/Pr Helga Zoega"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"ManagemenT of chronIc cardioMetabolic diseasE and treatment diScontinuity in adult ADHD PAtieNts (TIMESPAN)"	"University of New South Wales"	"NSW"	"University"	499612.5	"Health Services Research"	"Mental Health"	"attention deficit hyperactivity disorder (adhd)"	"cardiovascular disease"	"type 2 diabetes mellitus (non-insulin dependent diabetes mellitus)"	"pharmacoepidemiology"	"data linkage"	"The aim of TIMESPAN is to improve the management of patients with Attention Deficit Hyperactivity Disorders (ADHD) and co-occurring cardiometabolic disease (i.e. obesity, type-2 diabetes, and cardiovascular disease). Inadequate treatment of these common conditions can lead to premature death and substantial societal costs. We will use linked electronic health records and novel research methods to improve clinical outcomes and quality of life of adults with ADHD and cardiometabolic disease."
"2007059"	2021-03-26	"Prof Sarah Bekessy"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Re-imagining Environments for Connection and Engagement: Testing Actions for Social Prescribing in Natural Spaces"	"RMIT University"	"VIC"	"University"	499749.5	"Public Health"	"Mental Health"	"mental health"	"social health issues"	"psychosocial"	"environmental influences"	"environmental intervention"	"This project will evaluate whether and how nature-based social prescribing (NBSP) can address mental well-being. We will experimentally test the effectiveness of NBSP in promoting connection among populations experiencing social isolation and loneliness with socially oriented opportunities in safe, inclusive and accessible, green and blue outdoor urban spaces. The project will build the evidence base for the value of NBSP investments in improving mental health."
"2002381"	2021-03-27	"Prof Kirsten McCaffery"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Parenting+ Improving health and service-use outcomes through health literacy training for new parents: an effectiveness-implementation hybrid trial"	"University of Sydney"	"NSW"	"University"	495760.8	"Public Health"	"Family Care"	"health literacy"	"maternal and child health"	"socioeconomic"	"health education"	"ethnic health"	"The Parenting+ project will evaluate an educational program for socio-economically and culturally diverse new parents. The study will assess the impact of the program on parents' health literacy, parent and infant health and psychosocial outcomes and health service use over one year. It additionally will identify key characteristics and reproducible steps in the successful implementation of the program in order to support wider adoption by other health services."
"2002625"	2021-03-27	"Prof Martin Holt"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Enhancing behavioural surveillance to address gaps and disparities in Australia's HIV response in a changing HIV epidemic"	"University of New South Wales"	"NSW"	"University"	1268159	"Public Health"	"Health Information Systems (incl. Surveillance)"	"human immunodeficiency virus (hiv)"	"sexual behaviour"	"prevention"	"social identity"	"social and cultural issues"	"This project will test and evaluate changes to Australia's HIV behavioural surveillance system, increasing recruitment and data collection from overseas-born, bisexual and heterosexual men who have sex with men (MSM). This is necessary because Australia's HIV epidemic is changing, with falling infections among Australian-born gay men, but rising infections in other groups, such as Asian-born MSM. The project will use technological advancements in recruitment, survey research and interviews."
"2003399"	2021-03-27	"Prof Marcus Chen"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Novel strategies for improving syphilis testing and control"	"Monash University"	"VIC"	"University"	1256040.8	"Public Health"	"Venereology"	"syphilis"	"sexually-transmitted infections (sti)"	"public health"	"screening"	"surveillance"	"Syphilis has been resurgent in many countries including Australia. Our research will evaluate novel strategies to improve syphilis testing, surveillance, and control and ensure these new strategies are effective at targeting affected groups attending health services. The research findings will help guide better syphilis testing and control by health care providers, pathology services and health policy makers."
"2005191"	2021-03-27	"Dr Nikki McCaffrey"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Defining and optimising the economic and social return on investment of telephone cancer information and support services for all Australians"	"Deakin University"	"VIC"	"University"	936786.7	"Health Services Research"	"Health Economics"	"evidence-based health care"	"cancer"	"health care delivery"	"health care evaluation"	"economic analysis"	"The economic and social value of telephone cancer information and support services (CISS) for Australia is undefined thus hindering decisions about the future direction of services and levels of funding. This research will identify and compare the broad monetised, social benefits of CISS with the costs of providing the service. We will identify different strategies to deliver, promote and target services to improve cancer outcomes for all Australians and maximise the return on investment."
"2005403"	2021-03-27	"Prof Kate Curtis"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Improving the safety and quality of emergency nursing care"	"University of Sydney"	"NSW"	"University"	1498877.45	"Health Services Research"	"Clinical Nursing: Secondary (Acute Care)"	"nursing practice"	"emergency medicine"	"deterioration"	"adverse events"	"patient safety"	"Failure to assess, treat comprehensively and escalate emergency patient care can be catastrophic. However, there is no emergency nursing framework in use for the 29,000+ emergency nurses working in Australia. We aim to improve access, consistency, safety and quality of emergency care for the best possible patient outcomes through system wide implementation of HIRAID - the only validated framework designed to teach emergency nurses how to systematically assess and manage emergency patients."
"2005589"	2021-03-27	"Prof Andrea Driscoll"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"I-HEART - Implementation of HEArt failure guidelines in Regional AusTralia"	"Deakin University"	"VIC"	"University"	1266172.55	"Health Services Research"	"Clinical Nursing: Secondary (Acute Care)"	"heart failure"	"nursing"	"translational research"	"health services"	"regional health"	"Heart failure (HF) is a common disease of the heart with a high rehospitalisation and mortality rate. Regional HF patients rarely receive the full benefits of evidence-based care simply due to inaccessibility to a HF specialist team. This translational project will implement key recommendations from clinical guidelines in regional health services and improve access to specialist services. It has the potential to keep patients out of hospital and save lives."
"2005759"	2021-03-27	"A/Pr Bianca Brijnath"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Improving interpreting for dementia assessments: The MINDSET Study"	"National Ageing Research Institute"	"VIC"	"Research Institutes"	271586.2	"Health Services Research"	"Aged Health Care"	"cognitive assessment"	"cross-cultural"	"communication skills"	"translational research"	"dementia"	"The MINDSET Study aims to improve the quality of communication in an interpreter mediated cognitive assessment for dementia. Working with interpreters, clinicians, culturally and linguistically diverse people with dementia, and their carers we will co-design, trial, and implement national online training targeted at interpreters. This training will enable interpreters to be prepared and confident in performing their role impartially, effectively, and accurately."
"2005779"	2021-03-27	"Prof Robert Adams"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Improving the management of Obstructive Sleep Apnea and Insomnia in General Practice"	"Flinders University"	"SA"	"University"	1439099.7	"Health Services Research"	"Primary Health Care"	"primary care"	"obstructive sleep apnoea"	"insomnia"	"general practice"	"health service management"	"The two most common clinical sleep disorders, insomnia and obstructive sleep apnea (OSA), affect >4 million Australians, costing Australia over $66 billion annually. People with sleep disorders are receiving care that is far from best practice and is potentially dangerous. This novel partnership study represents a major step towards improving management of sleep disorders in primary care (PC) using new, evidence-based, models of care for insomnia and OSA, designed specifically for PC."
"2005790"	2021-03-27	"Prof Gemma Figtree"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"Partnership for Precision Prevention in CAD (PPP-CAD)"	"University of Sydney"	"NSW"	"University"	1413165.5	"Clinical Medicine and Science"	"Cardiology (incl. Cardiovascular Diseases)"	"cardiovascular risk factors"	"cohort study"	"implementation"	"health economics"	"primary care"	"There is an urgent need for new tools to improve risk prediction for coronary artery disease which accounts for one fifth of deaths in Australia. Polygenic risk scores that incorporate the information from millions of genetic variants have shown great promise, but need prospective evaluation. Our team of clinical, research, industry and government leaders will develop clinical pathways and implement polygenic risk scores in primary care to improve precision of preventative strategies."
"2005797"	2021-03-27	"Prof John Beltrame"	"Partnership Projects"	"Partnership Projects - 1st call for 2020"	"The Personalising Acute Myocardial Infarction Care to improve Outcomes (PAMICO Project)"	"University of Adelaide"	"SA"	"University"	1499233.8	"Health Services Research"	"Cardiology (incl. Cardiovascular Diseases)"	"acute myocardial infarction (ami)"	"acute care"	"evidence-based health care"	"quality of care"	"clinical practice"	"The modern management of heart attacks has improved survival dramatically, however, not all patients receive the best care available, leading to variation in quality and health outcomes. The PAMICO Project (Personalising Acute Myocardial Infarction Care to improve Outcomes) aims to bridge this gap using sophisticated electronic data systems and integrated care teams to produce personalised clinical management pathways so that care is patient-centered and aligned with best practice."
"2006408"	2021-05-11	"Prof Catherine Hill"	"International Collaborations"	"2019 NHMRC-NIHR Collaborative Research Grants Round 3"	"Steroid-Reducing Options for ReLapsING PMR (STERLING-PMR): a pragmatic, randomised trial to compare the clinical and cost-effectiveness of adding immunosuppression to steroid-tapering treatment for patients with relapsing PMR, versus steroid-tapering"	"University of Adelaide"	"SA"	"University"	823722	"Clinical Medicine and Science"	"Rheumatology and Arthritis"	"clinical trial"	"methotrexate"	"glucocorticoids"	"rheumatic diseases"	"musculoskeletal disorders"	"Polymyalgia rheumatica (PMR) is a common inflammatory disease of older people, treated with prednisolone (steroid tablet). About 50% will relapse and often suffer from steroid side effects (eg diabetes, bone fracture). This study will determine whether an extra treatment can reduce prednisolone use in people with relapsing PMR; and improve quality of life. The study will include participants in UK and Australia and provide a unique opportunity for further research in this under-researched area."
