Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant - PA: INMHA (bridge funding),200809INO,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"                 $84,923","                      $0","1 yr 0 mth "
"Abou Elela, Sherif; Batist, Gerald; Beaulieu, Jean-François; Carrier, Julie; Chabot, Benoit; Perreault, Jean-Pierre; Rivard, Nathalie; Wellinger, Raymund J",Universit&eacute; de Sherbrooke,"Emerging Team Grant: From Genes to Proteins, Cells, Tissues and Patients - LOI",200810GPL,"Emerging Team Grant: From Genes to Proteins, Cells, Tissues and Patients",Identification and functional analysis of colon cancer associated splice variants,"                      $0","                      $0","1 yr 0 mth "
"Adamson, S. Lee",Sinai Health System (Toronto),Operating Grant,200809MOP,Endocrinology,"Role of placental VEGF-A and FLT1/sFLT1 in placental vascularity, fetal growth, and maternal function in mice","              $1,028,010","                      $0","5 yrs 0 mth "
"Adler, Andy",Carleton University (Ottawa),Collaborative Health Research Projects (NSERC partnered),200812CPG,Special Cases,Electrical Impedance Tomography for prolonged continuous monitoring of mechanically ventilated patients of any age.,"                $246,699","                      $0","3 yrs 0 mth "
"Affleck, William P",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,The Moral Experience of Bereaved Fathers,"                $105,000","                      $0","3 yrs 0 mth "
"Agrawal, Babita",University of Alberta,Operating Grant,200809MOP,Experimental Medicine,Immune responses and regulation in hepatitis C virus infection: Implications for immunotherapy,"                $602,481","                      $0","5 yrs 0 mth "
"Ahmed, Shaimaa",University of Toronto,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Investigating the cross-talk between the aryl hydrocarbon receptor and estrogen receptor alpha,"                $105,000","                      $0","3 yrs 0 mth "
"Ahmed, Sofia B",University of Calgary,New Investigator Award - Priority Announcement: Clinical Research,200809CNI,Health Professional Awards - New Investigators,Evaluation of the Renin-Angiotensin System in Aboriginal People,"                $300,000","                      $0","5 yrs 0 mth "
"Aiken, Alice B; Brouwer, Brenda J","Queen's University (Kingston, Ontario)","Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",200809IMH,Biological and Clinical Aspects of Aging,"Measuring Objective Changes in the Physical, Psychological, and Radiographic Status of Patients Awaiting Hip or Knee Replacement Surgery","                 $76,207","                      $0","1 yr 0 mth "
"Aitken, Nicole M",Carleton University (Ottawa),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,"Better together: Moderating the relationship between job insecurity, mental health, and engagement","                $105,000","                      $0","3 yrs 0 mth "
"Akoum, Ali",Universit&eacute; Laval,Operating Grant,200809MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Anomalies dans le contrôle de la réponse des cellules endométriales à l'IL-1 : rôle dans la physiopathologie de l'endométriose.,"                $615,074","                      $0","5 yrs 0 mth "
"Alexander, Robert T",University of Alberta,CIHR Clinician Scientist - Phase 2,200809MC2,Clinician Scientist,THE MOLECULAR DETERMINANTS OF PROXIMAL TUBULAR CALCIUM ABSORPTION,"                $300,000","                      $0","3 yrs 0 mth "
"Ali, Suhad",Research Institute of the McGill University Health Centre,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",200809NMD,Endocrinology,Regulation of Prolactin Signaling by Protein Tyrosine Phosphatases,"                $100,000","                      $0","1 yr 0 mth "
"Allan, David S",Ottawa Hospital Research Institute,CIHR New Investigator,200809MSH,Health Professional Awards - New Investigators,Expanding the utility of hematopoietic stem cell products for vascular repair,"                $300,000","                      $0","5 yrs 0 mth "
"Allen-Vercoe, Emma",University of Guelph,Catalyst Grant: Human Microbiome,200808CHM,Catalyst Grant: Human Microbiome,Investigating the potential effects of host-derived stress hormones on the human gut microflora,"                 $98,460","                      $0","1 yr 0 mth "
"Almeida, Stephanie M",Sinai Health System (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,"Using the zebrafish to understand the roles of the novel gene, Gumby, in angiogenesis","                $105,000","                      $0","3 yrs 0 mth "
"Amed, Shazhan",University of British Columbia,Operating Grant: Maternal and Child Health,200809MCH,Maternal and Child Health: Secondary Analysis of Provincial and National Databases,Developing a framework for evaluating a comprehensive provincial health care model for children with diabetes using existing population databases,"                 $49,000","                  $2,000","2 yrs 0 mth "
"Ammari, Narmeen","York University (Toronto, Ontario)",Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Cognitive Impairment and Exceptionality and the Neurobiology of Schizophrenia,"                $105,000","                      $0","3 yrs 0 mth "
"Amrani, Abdelaziz",Universit&eacute; de Sherbrooke,Operating Grant,200809MOP,Cell Biology & Mechanisms of Disease,Molecular mechanisms of T cell tolerance by dendritic cells in type 1 diabetes,"                $386,892","                      $0","3 yrs 0 mth "
"Andersen, Devon R",University of Saskatchewan,Regional Partnership Program Doctoral Research Award,200810RDR,Doctoral Research Awards - B,Cancer and Young Adults: Understanding Illness through Metaphors and Narratives,"                 $33,000","                      $0","3 yrs 0 mth "
"Anderson, Colin C",University of Alberta,Operating Grant,200809MOP,Immunology & Transplantation,Mechanisms of natural peripheral tolerance of self and alloantigens,"                $657,300","                      $0","5 yrs 0 mth "
"Anderson, Gerald H",University of Toronto,Operating Grant,200809MOP,"Nutrition, Food & Health",The Role of Vitamins Consumed During Pregnancy by the Wistar Rat in the Development of Food Intake and Metabolic Regulation of the Offspring,"                $384,711","                      $0","3 yrs 0 mth "
"Andrews, Brenda J; Boone, Charles M",University of Toronto,Operating Grant - PA: Institute of Genetics (Bridge Funding),200809IG1,Genomics: Systems and computational biology,Global Exploration of Cellular Networks and Pathways in Yeast,"                 $50,000","                      $0","0 yr 6 mths "
"Andrews, Julie",CIUSSS de l'Ouest-de-l'Ile-de-Montr&eacute;al-Douglas Hospital,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,Interindividual differences in stress reactivity as risk factor for mental disease in teenagers,"                $105,000","                      $0","3 yrs 0 mth "
"Andrulis, Irene L",Sinai Health System (Toronto),Operating Grant,200809MOP,Cancer Progression & Therapeutics,Discovery and characterization of clinically important changes in axillary node-negative breast cancer.,"                $866,726","                      $0","5 yrs 0 mth "
"Anema, Aranka",University of British Columbia,Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - B,Assessing the impact of food insecurity and malnutrition on HIV treatment outcomes,"                $150,000","                      $0","3 yrs 0 mth "
"Anisman, Hymie",Carleton University (Ottawa),Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cytokines and stressors influence depression: sensitization and cross sensitization,"                $823,380","                      $0","5 yrs 0 mth "
"Ansari, Daniel",University of Western Ontario,Operating Grant,200809MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Brain mechanisms underlying the typical and atypical development of the mathematical brain,"                $667,110","                      $0","5 yrs 0 mth "
"Apel, Dmitry",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Characterization of the RacRS two-component system in Campylobacter jejuni,"                $105,000","                      $0","3 yrs 0 mth "
"Archer, Norman P; Mckibbon, Kathleen Ann; Straus, Sharon E; Willison, Donald J",McMaster University,"Operating Grant: Genetics (Ethics, Law and Society)",200803FFO,"Operating Grant: Genetics (Ethics, Law and Society)",Environmental Scan and Stakeholder Consultation on Electronic Personal Health Records in Canada,"                 $75,000","                      $0","1 yr 0 mth "
"Armony, Jorge",CIUSSS de l'Ouest-de-l'Ile-de-Montr&eacute;al-Douglas Hospital,Operating Grant,200809MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Neural processing of emotional expressions across modalities: From perception to memory,"                $257,535","                      $0","3 yrs 0 mth "
"Arndt, Jody E",University of Alberta,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,The Impact of Dialectical Behavioural Therapy on Emotion Regulation and Attention in Patients with Borderline Personality Disorder,"                $105,000","                      $0","3 yrs 0 mth "
"Arnold, Paul D",Hospital for Sick Children (Toronto),Operating Grant - PA: INMHA (bridge funding),200809INO,Behavioural Sciences - B: Clinical Behavioural Sciences,Genome-wide Association Study of Childhood Obsessive-Compulsive Traits in a General Population Sample,"                $100,000","                      $0","1 yr 0 mth "
"Arocha, Jose F; Donelle, Lorie F; Hoffman-Goetz, Laurie",University of Waterloo (Ontario),Operating Grant - Priority Announcement: Aging (Bridge Funding),200809IAO,Knowledge Translation & Exchange,"Comprehension of cancer risk information on the Internet: Role of graphical, numerical, and text formats by older adults","                 $60,000","                      $0","1 yr 0 mth "
"Arrieta Mendez, Marie C",University of Alberta,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,The role of small intestinal permeability in the pathogenesis of colitis.,"                 $70,000","                      $0","2 yrs 0 mth "
"Arsenault, Dominique",Universit&eacute; de Sherbrooke,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Impact of hypoxia on furin trafficking and its role in invadopodia formation and tumorigenesis,"                $105,000","                      $0","3 yrs 0 mth "
"Arstikaitis, Pamela V",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Involvement of palmitoylation by novel palmitoyl transferases in activity-dependent localization and protrusion formation by paralemmin-1,"                 $70,000","                      $0","2 yrs 0 mth "
"Asdaghi, Negar",University of Alberta,CIHR Fellowship,200810MFE,Health Professional Awards - Fellowships,Cerebral Blood Flow Following Acute Arterial Pressure Reduction in Intracerebral Hemorrhage,"                $110,000","                      $0","2 yrs 0 mth "
"Asfaha, Samuel",Direct Payment,CIHR Clinician Scientist - Phase 1,200809MC1,Clinician Scientist,The role of bone marrow-derived stem cells (BMDCs) in the development of and progression to gastric cancer.,"                $125,000","                      $0","2 yrs 0 mth "
"Assadian, Sarah",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Identification of novel mechanisms of angiogenesis inhibition by p53,"                $105,000","                      $0","3 yrs 0 mth "
"Asselin, Eric",Universit&eacute; du Qu&eacute;bec &agrave; Trois-Rivi&egrave;res,Operating Grant - Priority Announcement: Institute of Gender and Health,200809IGO,Endocrinology,The central role of TGF-beta3 through the Akt pathway in endometrial cancer chemoresistance and cell invasiveness.,"                $100,000","                      $0","1 yr 0 mth "
"Atkins, Stella","Simon Fraser University (Burnaby, B.C.)",Collaborative Health Research Projects (NSERC partnered),200812CPG,Special Cases,Improving diagnosis of atypical moles,"                $166,000","                      $0","3 yrs 0 mth "
"Aubert, Isabelle","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,200809MOP,Biological and Clinical Aspects of Aging,Brain degeneration and regeneration in preclinical models of Alzheimer's disease,"                $855,595","                      $0","5 yrs 0 mth "
"Aubin, Michèle",Universit&eacute; Laval,Knowledge Synthesis Grant,200810KRS,Knowledge Synthesis Grant,Interventions to Improve Continuity of Care in the Follow-up of Patients with Cancer: A Cochrane Systematic Review,"                $100,000","                      $0","1 yr 0 mth "
"Audet-Walsh, Étienne",Universit&eacute; Laval,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Métabolisme des estrogènes chez la femme et cancers hormonaux-dépendants,"                 $70,000","                      $0","2 yrs 0 mth "
"Auger, François A",Universit&eacute; Laval,Catalyst Grant: Skin Diseases and Conditions,200802SAC,Catalyst Grant: Skin Diseases and Conditions,Modèles d'étude nouveaux et polyvalents produits par génie tissulaire pour l'analyse des cancers de la peau,"                $100,000","                      $0","1 yr 0 mth "
