Identifiant	Label	Type	Date de début	Date de fin	Budget total	Budget financé	URL	URL du project	Nombre de participant	Nom de l'appel à projet	Label de l'action	Durée	Lien vers fiche scanR	Date d'export	Contexte de recherche
these-ADEME-2014-152	Territoire durable, mobilité innovante et santé des usagers du sillon Lorrain.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2014-152	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2011-157	Evaluation environnementale de flux de biomasse valorisant les résidus organiques en agriculture - Application au Territoire de la Côte Ouest, Réunion	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2011-157	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2010-158	Développement d'un modèle de ligand biotique générique pour évaluer la phytodisponibilité des ETM (Cu et Zn) de sols agricoles contaminés	Thèses co-financées ADEME							1				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2010-158	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2012-159	Valorisation chimique des co-produits condesables issus de la torrefaction de biomasses lignocellulosiques	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2012-159	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2012-160	Prise en compte des impacts des usages de l'eau dans l'Analyse du Cycle de Vie (ACV) de produits agricoles. Analyse et développement méthodologique, et application à un système horticole.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2012-160	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2012-161	Prétraitement de la biomasse par une nouvelle stratégie de pyrolyse catalytique en vue d'une co-valorisation matière/énergie des bio-huiles	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2012-161	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2012-162	Réactivité des matières organiques dissoutes dans le système sol-plante en contexte de recyclage agricole de produits résiduaires organiques Â– Conséquence pour l'évaluation de la phytodisponibilité des ETM	Thèses co-financées ADEME							3				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2012-162	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2006-163	Nouvelles stratégies catalytiques pour la gazéification de la biomasse : Génération in-situ de nanoparticules à base de nickel ou de fer au cours de l'étape de pyrolyse	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2006-163	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2016-166	Estimation et suivi de la ressource en bois énergie en France par valorisation des séries multi-temporelles d'images satellites à haute résolution spatiale, optique (de type Sentinel-2) et radar (Sentinel-1, ALOS-2)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2016-166	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2017-167	Utilisation combinée de données multi-temporelles à haute résolution optique et radar pour la simulation spatialisée des productions et bilans de C et eau pour des rotations de cultures	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2017-167	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2006-168	Exploitation des observations satellitaires IASI couplées à un modèle régional pour l'amélioration de la prévision des épisodes de pollution en ozone	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2006-168	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-170	Quantification de l'impact relatif des sources locales et lointaines sur le bilan de pollution : analyse couplée d'observations satellitaires Â (A-Train, METOP) et modélisation (CHIMERE)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-170	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-171	Quantification et étude du transport des espèces polluantes dans la troposphère tropicale (Ile de la Réunion)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-171	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2006-172	Purification et caractérisations physico-chimiques et électriques de silicium d'origine métallurgique destiné à la conversion photovoltaïque.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2006-172	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2014-173	Spectroscopie sans contact de durée de vie en température pour la détermination des contaminants présents dans le silicium destiné à la réalisation de cellules photovoltaïques	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2014-173	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-174	Vulnérabilité des forêts méditerranéennes aux événements climatiques extrêmes : impact sur les échanges de CO2, d'eau et d'énergie entre l'atmosphère et la végétation.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-174	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2015-175	Rôle de la diversité sur la stabilité du fonctionnement des écosystèmes forestiers dans un contexte de changement climatique.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2015-175	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-178	Comment repenser les villes européennes et les modes de vie dans une société post-carbone ?	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-178	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2007-179	Etude expérimentale et numérique des phénomènes de mélange turbulent et de transfert thermique en présence de vorticité	Thèses co-financées ADEME							1				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2007-179	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
