"Projet.Code_Decision_ANR";"Action.Edition";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-22-PETQ-0010";2022;"QCommTestbed";"ANR-22-PETQ-0010-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0009";2022;"Qmemo";"ANR-22-PETQ-0009-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0008";2022;"DIQKD";"ANR-22-PETQ-0008-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0007";2022;"PQ-TLS";"ANR-22-PETQ-0007-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0006";2022;"EPiQ";"ANR-22-PETQ-0006-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0005";2022;"NISQ2LSQ";"ANR-22-PETQ-0005-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0004";2022;"QAFCA";"ANR-22-PETQ-0004-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0003";2022;"QubitAF";"ANR-22-PETQ-0003-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0002";2022;"RobustSuperQ";"ANR-22-PETQ-0002-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PETQ-0001";2022;"PRESQUILE";"ANR-22-PETQ-0001-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PEHY-0007";2022;"SOLHYD";"ANR-22-PEHY-0007-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PEHY-0006";2022;"PROTEC";"ANR-22-PEHY-0006-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PEHY-0005";2022;"PEMFC95";"ANR-22-PEHY-0005-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PEHY-0004";2022;"HYperStock";"ANR-22-PEHY-0004-01";True;"Université de Franche Comté";"Universités, INSA et INP";"";"";"Besancon";"Bourgogne-Franche-Comté";"France"
"ANR-22-PEHY-0003";2022;"FlexiSOC";"ANR-22-PEHY-0003-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PEHY-0002";2022;"DuraSyS PAC";"ANR-22-PEHY-0002-01";True;"Université de Franche Comté";"Universités, INSA et INP";"STEINER";"Nadia";"Besancon";"Bourgogne-Franche-Comté";"France"
"ANR-22-PEHY-0001";2022;"CELCER-EHT";"ANR-22-PEHY-0001-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-22-PAVH-0004";2022;"KAPPA";"ANR-22-PAVH-0004-01";True;"INED Paris";"Organismes de type EPST";"";"";"Aubervilliers CEDEX";"Île-de-France";"France"
"ANR-22-PAVH-0003";2022;"COMPAC";"ANR-22-PAVH-0003-01";True;"Université de Bordeaux";"Universités, INSA et INP";"";"";"Talence";"Nouvelle Aquitaine";"France"
"ANR-22-PAVH-0002";2022;"AtOrI";"ANR-22-PAVH-0002-01";True;"Université Sorbonne Paris Nord";"Universités, INSA et INP";"";"";"Villetaneuse";"Île-de-France";"France"
"ANR-22-PAVH-0001";2022;"AURELIA";"ANR-22-PAVH-0001-01";True;"INED Paris";"Organismes de type EPST";"";"";"Aubervilliers CEDEX";"Île-de-France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-08";False;"Ecole Nationale Supérieure des Arts et Industries Textiles Roubaix";"Grandes écoles publiques";"TOULOUSE";"Nil";"Roubaix";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-01";True;"Université de Lille";"Universités, INSA et INP";"TOULOUSE";"Nil";"Lille";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-02";False;"Fondation I-SITE Université Lille Nord-Europe";"Universités, INSA et INP";"TOULOUSE";"Nil";"Lille";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-03";False;"Centrale Lille Institut";"Grandes écoles publiques";"TOULOUSE";"Nil";"Villeneuve-D'Ascq";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-04";False;"Ecole Nationale Supérieure d'Architecture Lille";"Grandes écoles publiques";"TOULOUSE";"Nil";"Villeneuve-D'Ascq";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-05";False;"Ecole Supérieure de journalisme de Lille";"ENS et grands établissements";"TOULOUSE";"Nil";"Lille CEDEX";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-07";False;"Institut Mines Telecom Douai";"Grandes écoles publiques";"TOULOUSE";"Nil";"Douai";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-06";False;"Institut Etudes Politiques Lille";"IEP";"TOULOUSE";"Nil";"Lille";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-09";False;"JUNIA";"Associations";"TOULOUSE";"Nil";"Lille Cedex";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-10";False;"CHU de Lille";"Organismes Médicaux (Hôpitaux)";"TOULOUSE";"Nil";"Lille Cedex";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-11";False;"CNRS Hauts-de-France";"Organismes de type EPST";"TOULOUSE";"Nil";"Lille Cedex";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-12";False;"INSERM Délégation Nord Ouest";"Organismes de type EPST";"TOULOUSE";"Nil";"Lille";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-13";False;"INRIA Lille Nord Europe";"Organismes de type EPST";"TOULOUSE";"Nil";"Villeneuve D'Ascq";"Hauts de France";"France"
"ANR-21-SFRI-0005";2021;"GRAEL";"ANR-21-SFRI-0005-14";False;"Institut Pasteur Lille";"Fondations";"TOULOUSE";"Nil";"Lille Cedex";"Hauts de France";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-06";False;"INRAE Centre Occitanie - Montpellier";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier Cedex 01";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-01";True;"Université de Montpellier";"Universités, INSA et INP";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-03";False;"CNRS délégation Occitanie Est";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier Cedex";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-04";False;"Ecole Nationale Supérieure de Chimie de Montpellier";"Grandes écoles publiques";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-05";False;"IFREMER";"Organismes de Type EPIC";"FICHARD-CARROLL";"Agnès";"Issy Les Moulineaux Cedex";"Île-de-France";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-02";False;"CIRAD - Montpellier";"Organismes de Type EPIC";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-07";False;"INRIA Sophia Antipolis (Valbonne)";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Sophia Antipolis";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-09";False;"IRD Montpellier";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-10";False;"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement";"Autres établissements (publics)";"FICHARD-CARROLL";"Agnès";"Paris";"Île-de-France";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-08";False;"INSERM Délégation Occitanie Méditerranée";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0003";2021;"GREEN";"ANR-21-SFRI-0003-04";False;"INRIA Bordeaux Sud-ouest";"Organismes de type EPST";"PANNIER";"Florence";"Talence";"Nouvelle Aquitaine";"France"
