"Projet.Code_Decision_ANR";"Projet.Date_debut";"Action.Edition";"Action.Titre.Francais";"Projet.Acronyme";"Projet.Titre.Francais";"Projet.Resume.Francais";"Projet.Aide_allouee"
"ANR-22-PETQ-0010";"";2022;"PETQ";"QCommTestbed";"Quantum communication testbeds";"";0.0
"ANR-22-PETQ-0009";"";2022;"PETQ";"Qmemo";"Mémoires optiques fontctionnelles pour les réseaux de communication quantique à grande distance";"";0.0
"ANR-22-PETQ-0008";"";2022;"PETQ";"DIQKD";"Distribution Quantique de clés avec des boites noires";"";0.0
"ANR-22-PETQ-0007";"";2022;"PETQ";"PQ-TLS";"Post-quantum padlock for web browser";"";0.0
"ANR-22-PETQ-0006";"";2022;"PETQ";"EPiQ";"Etude de la pile quantique : Algorithmes, modèles de calcul et simulation pour l’informatique quantique";"";0.0
"ANR-22-PETQ-0005";"";2022;"PETQ";"NISQ2LSQ";"From NISQ to LSQ: Bosonic and LDPC codes";"";0.0
"ANR-22-PETQ-0004";"";2022;"PETQ";"QAFCA";"Capteurs Quantiques à Atomes Froids : mesure du Champ de pesanteur A toutes les échelles";"";0.0
"ANR-22-PETQ-0003";"";2022;"PETQ";"QubitAF";"Qubits à Atomes Froids pour la Simulation et le Calcul Quantiques";"";0.0
"ANR-22-PETQ-0002";"";2022;"PETQ";"RobustSuperQ";"Robust superconducting and hybrid quantum bits";"";0.0
"ANR-22-PETQ-0001";"";2022;"PETQ";"PRESQUILE";"Préparation des Si-Qubits pour l'Intégration à Large Echelle";"";0.0
"ANR-22-PEHY-0007";"";2022;"PEHY";"SOLHYD";"SOLid storage of HYDdrogen: new strategies, new materials";"";0.0
"ANR-22-PEHY-0006";"";2022;"PEHY";"PROTEC";"Development of electrolysis cells based on proton conducting ceramics";"";0.0
"ANR-22-PEHY-0005";"";2022;"PEHY";"PEMFC95";"Development of a PEMFC cell that can durably operate at 95°C";"";0.0
"ANR-22-PEHY-0004";"";2022;"PEHY";"HYperStock";"High pressure HYdrogen Storage Frame of reference and methodologies for materials";"";0.0
"ANR-22-PEHY-0003";"";2022;"PEHY";"FlexiSOC";"FLEXIbilité des cellules SOC vis-à-vis du combustible";"";0.0
"ANR-22-PEHY-0002";"2022-04-01";2022;"PEHY";"DuraSyS PAC";"Durability of Fuel Cell Systems";"";0.0
"ANR-22-PEHY-0001";"";2022;"PEHY";"CELCER-EHT";"Ceramic Cells for durable performant and cost efficient HTE";"";0.0
"ANR-22-PAVH-0004";"";2022;"PAVH";"KAPPA";"Conditions d’accès aux aides et politiques publiques de l’autonomie - Origines, implications et perspectives d’évolution de la segmentation par âge";"";0.0
"ANR-22-PAVH-0003";"";2022;"PAVH";"COMPAC";"Approches comparées des politiques de l’autonomie";"";0.0
"ANR-22-PAVH-0002";"";2022;"PAVH";"AtOrI";"Caractérisation des Interventions Autonomisantes dans l’accompagnement des personnes âgées et handicapées";"";0.0
"ANR-22-PAVH-0001";"";2022;"PAVH";"AURELIA";"Régimes d'autonomie et configuration d'accomppagnement : instrumentation et territoires";"";0.0
"ANR-21-SFRI-0005";"2020-09-01";2021;"SFRI";"GRAEL";"Graduate Research And Education in Lille";"";11000000.0
"ANR-21-SFRI-0004";"2021-05-01";2021;"SFRI";"UMGS";"Uniersité de Montpellier Graduate School";"";12000000.0
"ANR-21-SFRI-0003";"2021-04-15";2021;"SFRI";"GREEN";"GRaduate schools pour l'innovation Energétique et ENvironnementale";"";4000000.0
"ANR-21-SFRI-0002";"2020-06-20";2021;"SFRI";"UCA-GS";"GradSchools: Restructuration pour conjoindre Formation, Recherche et Innovation";"";10000000.0
"ANR-21-SFRI-0001";"";2021;"SFRI";"GRADUATE+";"Structuration de la formation par la recherche à l'Université de Lyon";"";0.0
"ANR-21-RHUS-0017";"";2021;"RHUS";"IMMUNOLIFE";"Microbiota-centered interventions to solve antibiotics-induced primary resistance to immune checkpoint inhibitors";"";0.0
"ANR-21-RHUS-0016";"";2021;"RHUS";"EpCART";"Epigenetic re-programming of CAR T cells for solid tumors";"";0.0
"ANR-21-RHUS-0015";"";2021;"RHUS";"Digital Urology 3D";"Enhanced surgical kidney cancer care through digital and 3D technologies";"";0.0
"ANR-21-RHUS-0014";"";2021;"RHUS";"Primus";"Transforming the care of patients with Multiple Sclerosis using a multidimensional data-driven clinical decision support system";"";0.0
"ANR-21-RHUS-0013";"";2021;"RHUS";"REVEAL";"Reset the EVAluation during follow-up of patients with Lung cancer";"";0.0
"ANR-21-RHUS-0012";"";2021;"RHUS";"OPERANDI";"Optimisation and imProved Efficacy of targeted RAdioNuclide therapy in Digestive cancers by Imagomics";"";0.0
"ANR-21-RHUS-0011";"";2021;"RHUS";"ENDOVX";"New technologies for a fast and personalized treatment of aortic lesions";"";0.0
"ANR-21-RHUS-0010";"";2021;"RHUS";"CONDOR";"Precision Medicine and Immunotherapy of Sarcoma";"";0.0
