"Projet.Code_Decision_ANR";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-09-VPTT-0015";"ATAC-CONCEPT";"ANR-09-VPTT-0015-01";True;"AucuneAide";"Laboratoire public";"CARDARELLI";"Felice";"";"";"France"
"ANR-09-VPTT-0015";"ATAC-CONCEPT";"ANR-09-VPTT-0015-02";False;"ALSTOM TRANSPORT SA";"Entreprise autre que TPE ou PME";"GIELCZINSKI";"Gerard";"";"";"France"
"ANR-09-VPTT-0015";"ATAC-CONCEPT";"ANR-09-VPTT-0015-03";False;"UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS";"Laboratoire public";"HARMAND";"Souad";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-05";False;"INSTITUT Français DES SCIENCES ET TECHNOLOGIES DES TRANSPORTS, DE L AMENAGEMENT ET DES RESEAUX ( IFSTTAR)";"Divers public";"DUPIN";"Francis";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-01";True;"UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS";"Laboratoire public";"Pudlo";"Philippe";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-06";False;"JTEKT EUROPE";"Entreprise autre que TPE ou PME";"KADA";"Tomoyasu";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-04";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-ALPES SECTEUR ALPES";"Divers public";"CANUDAS-DE-WIT";"Carlos";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-02";False;"CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE LILLE";"Divers public";"THEVENON";"André";"";"";"France"
"ANR-09-VPTT-0014";"VOLHAND";"ANR-09-VPTT-0014-03";False;"FONDATION HOPALE";"Laboratoire public";"Bouilland";"Stéphane";"";"";"France"
"ANR-09-VPTT-0013";"TAYLRUB";"ANR-09-VPTT-0013-01";True;"RHODIA OPERATIONS SAS";"Entreprise autre que TPE ou PME";"ODONI";"Ludovic";"";"";"France"
"ANR-09-VPTT-0013";"TAYLRUB";"ANR-09-VPTT-0013-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"LEQUEUX";"François";"";"";"France"
"ANR-09-VPTT-0013";"TAYLRUB";"ANR-09-VPTT-0013-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-AUVERGNE";"Divers public";"LONG";"Didier";"";"";"France"
"ANR-09-VPTT-0012";"SYNERGIE";"ANR-09-VPTT-0012-08";False;"FAURECIA SYSTEMES DECHAPPEMENT";"Entreprise autre que TPE ou PME";"RAGOT";"Denis";"Bavans";"Bourgogne-Franche-Comté";"France"
"ANR-09-VPTT-0012";"SYNERGIE";"ANR-09-VPTT-0012-03";False;"ECOLE CENTRALE DE NANTES";"Laboratoire public";"CHESSE";"PASCAL";"";"";"France"
