Identifiant	Label	Type	Date de début	Date de fin	Budget total	Budget financé	URL	URL du project	Nombre de participant	Nom de l'appel à projet	Label de l'action	Durée	Lien vers fiche scanR	Date d'export	Contexte de recherche
ANR-20-STHP-0001	Biomécanique, Entraînement perceptif, Stratégie, Transfert scientifique pour améliorer la performance au service et au retour des joueurs de tennis	PIA							1		STHP		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-STHP-0001	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-SFRI-0013	Stratégie de formation Active basée sur la Recherche centrée sur l'étudiant d'Université de Paris	PIA			21000000				2		SFRI		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-SFRI-0013	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-SFRI-0002	Graduate Programs pour les études doctorales	PIA			9000000				4		SFRI		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-SFRI-0002	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-PCPA-0010	Cultivating the grapevine without pesticides : towards agroecological wine-producing socio-ecosystems	PIA							1		PCPA		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-PCPA-0010	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-STHP-0006	Très haute performance en cyclisme et en aviron 2024	PIA							1		STHP		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-STHP-0006	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-STHP-0005	Optimiser l'entraînement mental pour atteindre l'or olympique; approche psycho-physiologique innovantes de la performance en escrime	PIA							1		STHP		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-STHP-0005	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-STHP-0004	Optimisation de la performance grâce à la réalité virtuelle	PIA							1		STHP		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-STHP-0004	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-STHP-0003	Analyse in situ de la performance	PIA							1		STHP		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-STHP-0003	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-SFRI-0012	Façonner les talents en formation et en recherche à l'Université de Strasbourg	PIA			20000000				3		SFRI		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-SFRI-0012	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-SFRI-0006	SFRI@CY Initiative	PIA			8000000				3		SFRI		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-SFRI-0006	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
ANR-20-SFRI-0014	Formations par la recherche en Santé et Industrie pour NANTES UNIVERSITE	PIA			12000000				4		SFRI		https://scanr.enseignementsup-recherche.gouv.fr/project/ANR-20-SFRI-0014	2022-07-06T19:19:24.860Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22PIA%22%5D%7D%7D&query=&view=list
