Identifiant	Label	Type	Date de début	Date de fin	Budget total	Budget financé	URL	URL du project	Nombre de participant	Nom de l'appel à projet	Label de l'action	Durée	Lien vers fiche scanR	Date d'export	Contexte de recherche
INCA83	N’aurait-t-on pas sous-estimé, pour ne pas dire occulté, la composante inflammatoire et le rôle des TAMs dans la réponse à la radiothérapie synchrotron par microfaisceaux des tumeurs gliales	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA83	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-1	Accélérons le progrès avec le numérique : prévention / dépistage des cancers / handicap	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-1	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-2	Handicap & cancer: coopérons-nous	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-2	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-3	La prévention des cancers pour les personnes handicapées vieillissantes en structures médico-sociales et à domicile : promouvoir et accompagner le dépistage	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-3	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-4	Mise en place d’une politique de prévention et d’information des maladies cancéreuses auprès des patients atteints de handicap au sein du centre mutualiste de rééducation fonctionnelle	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-4	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-5	Création d’une chaire de recherche en Sciences Humaines et Sociales « Enjeux sociaux de la médecine personnalisée et de l’innovation en cancérologie »	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-5	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-6	Etude des mécanismes de développement des cancers anorectaux dans un modèle de néoplasie intraépithéliale	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-6	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-7	Interactions paracrines immunes dans le pancréas pre-néoplasique	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-7	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-8	Macrophages résidant dans les tissus et transition maligne dans le cancer de l'ovaire	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-8	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-9	Caractérisation des populations cellulaires de néoplasies intra-epithéliales prostatiques et de leur plasticité	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-9	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
