"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","All India Council for Technical Education","Remote sensing of noise and vibration using VLSI","M.R. Gunasekhar","Aruna Engineering College"," ",675000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_1"
"2","All India Council for Technical Education","Dynamic & Thermal characterisation of AI-SICP composites","R.S. Naagarazan","Aruna Engineering College"," ",500000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_2"
"3","All India Council for Technical Education","Odour control through biofiltration technique in dairy operations","S. Iqbal Ali","Aligarh Muslim University","Department of Civil Engineering",850000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_3"
"4","All India Council for Technical Education","Estability evaluation of poly (D.L. Lactide-co-Glycolide) (PLGA) Microspheres containing anticancer agent","Rajesh H. Parikh","A.R. College of Pharmacy","Department of Pharmacy",675000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_4"
"5","All India Council for Technical Education","Phytochemical investigation, biological screening formulation development clinical evaluation and Q","T. Satyanarayana","Andhra University","Department of Pharmacy",925000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_5"
"6","All India Council for Technical Education","Centre for research in architecture and town planning","A.N. Sachithanandan","Anna University","Sardar Patel Road",850000,17,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_6"
"7","All India Council for Technical Education","Application of neural network concept to the analysis of multi drug pharmaceutical formulation","K. Kannan","Annamalai University","Department of Computer",200000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_7"
"8","All India Council for Technical Education","Development of ceramic foam filter for controlling particular emission from Diesel Engine","C.G. Saravanan","Annamalai University","Department of Mechanical Engineering",900000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_8"
"9","All India Council for Technical Education","Explicit consideration of reliability in multi objective stochastic dynamic programming models for reservoir planning and operation problems","Bipul Talukdar","Assam Engineering College","Department of Civil Engineering",250000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_9"
"10","All India Council for Technical Education","Development of a weighted index model for site suitability assessment for flood prone urban areas of","Arup Sarkar","Bengal Engineering College","Department of Architect",475000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_10"
"11","All India Council for Technical Education","Development of optimal load balancing and location update strategies in movile cellular environment","Sipra Das","Bengal Engineering College","Department of Computer",350000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_11"
"12","All India Council for Technical Education","Development of super conducting substrate & core element for microstrip antenna at room temp on a la","Sudha Kanti Ghosh","Bengal Engineering College","Department of E&C",550000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_12"
"13","All India Council for Technical Education","Analysis of interface stresses in implant-bone configuration","Sanjay Gupta","Bengal Engineering College","Department of Material",500000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_13"
"14","All India Council for Technical Education","Development of a sensor integrated servo controlled hydraulic robot with stewart platform basedantho","Subhasish Bhaumik","Bengal Engineering College","Department of Mechanical Engineering",750000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_14"
"15","All India Council for Technical Education","Phytochemical studies & pharmacological evaluation of some potential neurololeptic Indian Medical Intelligent monitoring system for syncopic patients in varied postures","S.L. Bodhankar","Bharti Vidyapeeth's","College of Pharmacy, Lal Bahadur Shastri Marg",1000000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_15"
"16","All India Council for Technical Education","Phytochemical and biological evaluation of some plant medicines used in Diabete & development of formulations","S. Ganapathy","Andhra University","Waltair",500000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_16"
"17","All India Council for Technical Education","Development of recombinant antigen based diagnostic assay for filariasis","R.B. Narayanan","Anna University","Sardar Patel Road",420000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_17"
"18","All India Council for Technical Education","Control of microbiologically influenced corrosion in cooling water systems","N. Rajendran","Anna University","Sardar Patel Road",736000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_18"
"19","All India Council for Technical Education","Development of high draft ring spinning machine","A. Peer Mohamed","Anna University","Sardar Patel Road",700000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_19"
"20","All India Council for Technical Education","Studies on organotin complexes as inhibitors for corrosion of steels in organic solvents","Rashmi Bala Rastogi","Banaras Hindu University","Department of Chemical Science",518000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_20"
"21","All India Council for Technical Education","Modelling and simulation of fluidised bed combustor for both conventional & non conventional fuels","S.N. Saha","Beant College of Engineering & Technology","Department of Chemical Science, Barriar Village",600000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_21"
"22","All India Council for Technical Education","Catalytic characterisation of human serum cholinesterase in hydrophobic environment","R. Boopathy","Bharathidasan University","Department of Biotechnology",450000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_22"
"23","All India Council for Technical Education","Intelligent monitoring system for syncopic patients in varied postures","B.N. Das","Birla Institute of Technology & Science","Department of Biotechnology, Mesra",425000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_23"
"24","All India Council for Technical Education","Development of grooved rubber pads for Indian Railways","Sanjoy Datta","Birla Institute of Technology & Science","Department of Chemical Science, Mesra",790000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_24"
"25","All India Council for Technical Education","Studies on flow behaviour of hetrogeneous gelled propellants","Mohan Varma","Birla Institute of Technology & Science","Department of Chemical Sciences, Mesra",920000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_25"
"26","All India Council for Technical Education","Transient analysis of laminated composite plates by finite element method","Saral Kumar Jain","Birla Institute of Technology & Science","Department of Mechanical Engineering, Mesra",200000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_26"
"27","All India Council for Technical Education","To investigate tumour suppressors activity and profile of pharmacological activity of pheophytins and allied phytochemicals","S.R. Kulkarni","The Bombay College of Pharmacy","Department of Pharmaceutics",1135000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_27"
"28","All India Council for Technical Education","Establishment and metabolic characterization of a human liver bank","K.R. Iyer","The Bombay College of Pharmacy","Department of Pharmaceutics",860000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_28"
"29","All India Council for Technical Education","Design, synthesis and evaluation of novel chemosensitising agents for cancer (MDR)","C.L. Viswanathan","The Bombay College of Pharmacy","Department of Pharmaceutics",850000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_29"
"30","All India Council for Technical Education","Design & investigation of hydrocyclone electrolyser for the treatment of dye-house effluents","T. Kannadasan","Coimbatore Institute of Technology","Civil Aerodrome Post, Avinashi Road,",546000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_30"
"31","All India Council for Technical Education","Investigation on prediction of residual serv. life & rehabilitation tech. for R.C. structures subjected to rebar corrosion","S. Shanmugam","Coimbatore Institute of Technology","Civil Aerodrome Post, Avinashi Road",1000000,36,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_31"
"32","All India Council for Technical Education","Enhancing the power system performance using flexible AC transmission systems (FACTS) devices","Narendra Kumar","Delhi College of Engineering","Shahabad Daulatpur, Bawana Road",1200000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_32"
"33","All India Council for Technical Education","Characterisation of fiber bragg grating (FBG)","Abhay Kumar","Devi Ahilya Vishwavidyalaya","Department of E & C",700000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_33"
"34","All India Council for Technical Education","Status of mycotoxins' contamination in stored food in Assam & Evaluation of their toxicity","A.K. Dolui","Dibrugarh University","Department of Pharmacy",845000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_34"
"35","All India Council for Technical Education","Glucose triggered insulin delivery system","S.K. Jain","Dr. Harisingh Gaur Vishwavidyalaya","Department of Pharmacy",1035000,24,"2000-01","AICTE","Indian Rupees","Months","AICTE_2000-01_35"
