"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of AYUSH","An investigation for testing efficacy and mehanism of action of certain potentized homoeopathic drugs in combating artificial induced hepatocarcinoma in mice and rats","A.R.K. Bukhsh","Kalyani University","Department of Zoology",1713000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_1"
"2","Department of AYUSH","Effect of some Potensialised Drugs on alcohol included Cardiac Newropathy","N.C. Sukul","Visva Bharati","Department of Zoology",1607000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_2"
"3","Department of AYUSH","Clinical Trial of TRILLIUM PENDULAM in Dysfunctional Uterine Bleeding in Woman of above 40 years","A.V. Gokhale","Bharti Vidyapeeth","Department of Medical Science, Homoeopathic Medical College",1069000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_3"
"4","Department of AYUSH","Experimental and Clinical Evaluation of Standardized Krishnsvajrabhraka Bhasma for its Rasayana Karma in Shwasa Vyadhi","A.A. Wele","Bharti Vidyapeeth","Department of Medical Science, Dhankwadi Campus, Pune-Satar Road",2495000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_4"
"5","Department of AYUSH","A study in Relation to Blood groups and four Temperaments","S.M. Ali","Jamia Hamdard","Faculty of Medicine",2135000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_5"
"6","Department of AYUSH","Role of Certain Unani Medicines in the prevention of Alzheimer's Disease","F. Islam","Jamia Hamdard","Faculty of Science",1750000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_6"
"7","Department of AYUSH","Evaluation and Standardisation of Unani Herbs for the Treatment of Vaginal and Reproductive Tract Infections and Developing a Herbal Bioadhesive Vaginal Drug Delivery System","F.J. Ahmad","Jamia Hamdard","Faculty of Pharmacy",1440000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_7"
"8","Department of AYUSH","Evaluation of Antiproliferative Activity of Unani Drugs in Cancer Chemoprevention: A Mechanistic approach","S. Sultana","Jamia Hamdard","Department of Medical Sciences",2050000,36,"2003-04","AYUSH","Indian Rupees","Months","AYUSH_2003-04_8"
"9","Department of AYUSH","Consciousness in the tradition of classicial Yoga-integral studies and researches in the field of consciousness to build a bridge between Ancient Spiritual wisdom and modern scientific knowledge","T.R. Anantharaman","Ashram Atmadeep","Post Box No 3, G-9/14. DLF City - 1",1900000,36,"2004-05","AYUSH","Indian Rupees","Months","AYUSH_2004-05_1"
"10","Department of AYUSH","An approach to acute Diarrhoeal disorders through sector & constitutional Homoeopathic treatment in adivasi children attending balwadis in Palgarh & Vikramgarh Talukas, Thane Distt.","M.K. Patel","Dr. M.L. Dhawale Memorial Trust","184, Gitanjali, 15th Road, Chembur",1073000,36,"2004-05","AYUSH","Indian Rupees","Months","AYUSH_2004-05_2"
