"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Council of Scientific and Industrial Research","Synthesis and characterization of polymer matrix composites","U.S. Rai","Banaras Hindu University","Department of Chemistry",688000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_1"
"2","Council of Scientific and Industrial Research","AB initio study of excited states of some biololgically important molecules and other molecules in gas phase and aqueous solution, and study of off-atomic site charges","P.C. Mishra","Banaras Hindu University","Department of Physics",588000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_2"
"3","Council of Scientific and Industrial Research","Quantum chemistry of solvation and its influence on spectroscopic parameters and nonlinear optical properties of ICT molecules","Prasanta K Nandi","Bengal Engineering College","Department of Chemistry",508000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_3"
"4","Council of Scientific and Industrial Research","Manganese complexes with polydentate ligands, synthesis, spectra, redox, magnetic and structural studies along with their biological relevances","Swapan K Chandra","Burdwan University","Department of Chemistry, Rajbati",688000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_4"
"5","Council of Scientific and Industrial Research","Synthesis, structure, magnetism and redox behaviour of homo-hetero-polymetallic complexes containing some (N,N) end-capping chelators","Barindra K Ghosh","Burdwan University","Department of Chemistry, Rajbati",688000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_5"
"6","Council of Scientific and Industrial Research","Synthesis of Heterocycles from 1-Benzopyran-4-ones","Chandra Kanta Ghosh","Calcutta University","Department of Biochemistry",588000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_6"
"7","Council of Scientific and Industrial Research","Design, synthesis and complexation properties of fluorogenic and chromogenic macrocyclic molecular receptors and their applications","Shobhana K Menon","Gujarat University","Department of Chemistry P.B. No. 4010, Navrangpura",688000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_7"
"8","Council of Scientific and Industrial Research","Development and application of state-specific many body formulations for strongly correlated electronic states","D. Mukherjee","Indian Association for the Cultivation of Science","Department of Physical Chemistry",763000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_8"
"9","Council of Scientific and Industrial Research","Synthetic approach to y-Lactone and y-Lactol fused bicycles via photobicyclisation","Subrata Ghosh","Indian Association for the Cultivation of Science","Department of Organic Chemistry",888000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_9"
"10","Council of Scientific and Industrial Research","Chemistry of bridging ligand (e.g. SCN-, SeCN-, N3-, NCO-,C204=ETC.) in metal (Ni(II), Cu(II) and Cd(II) Amine and its derivatives","N R Chaudhuri","Indian Association for the Cultivation of Science","Department  of Inorganic Chemistry",738000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_10"
"11","Council of Scientific and Industrial Research","Analysis of weak interactions in Fluorine containing compounds via charge density measurements: Inputs to drug design","T.N. Guru Row","Indian Institute of Science","Solid State & Structural Chemical Unit",738000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_11"
"12","Council of Scientific and Industrial Research","Investigations into the influence of microstructural characteristics on the dielectric and ferroelectric properties of glass-ceramic nanocomposites","K B R Verma","Indian Institute of Science","Materials Research Centre",838000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_12"
"13","Council of Scientific and Industrial Research","Activation of small organic molecules across intermetallic stanna templates &  in-situ diagnostics","Sujit Roy","Indian Institute of Technology (Kh)","Department of Chemistry",888000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_13"
"14","Council of Scientific and Industrial Research","Development of multinuclear ruthenium and osmium complexes as effective photo-redox assemblies","G K Lahiri","Indian Institute of Technology (B)","Department of Chemistry",738000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_14"
"15","Council of Scientific and Industrial Research","Synthesis of steroid-polyquinane hybrids and angular triquinanes","V.K. Singh","Indian Institute of Technology (B)","Department of Chemistry",988000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_15"
"16","Council of Scientific and Industrial Research","Spectroscopic study of solvation dynamics and photochemical reactions in solution and organized assemblies","Nilmoni Sarkar","Indian Institute of Technology (Kh)","Department of Chemistry",638000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_16"
"17","Council of Scientific and Industrial Research","Synthesis of novel spiroketals and biological evaluation","S.V. Bhat","Indian Institute of Technology (B)","Department of Chemistry",392000,"24","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_17"
"18","Council of Scientific and Industrial Research","Porphyrin versus nonporphyrin complexes in the catalytic oxidation reactions","D. Bandyopadhyay","Indian Institute of Technology (D)","Department of Chemistry, Haus Khas",648000,"36","2000-01","CSIR","Indian Rupees","Months","CSIR_2000-01_18"
