"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of Atomic Energy","Mathematical Modelling of the CVD&C20 chralski crystal growth systems, role of magnetic fields and their effects on thermomechanical properties","K. Muralidhar","Indian Institute of Technology (K)","Department of Mechanical Engineering",1959230,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_1"
"2","Department of Atomic Energy","Development of silicon photodiodes for use with scintillating crystals for detection of Gamma rays","S.N. Singh","National Physical Laboratory","Electronics Materials Division, Dr. K.S. Krishnan Marg",2110000,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_2"
"3","Department of Atomic Energy","Preparation and studies of some glass ceramics","M.S. Jogad","Sharanbasaveshwar College of Science","Department of Physics",1610430,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_3"
"4","Department of Atomic Energy","Characteristics of mechanical properties of structural materials at cryogenic temperatures for applications in super-conducting magnets for accelerators, tokamaks, MRI, superconducting RF cavities, cryopanel pumps, cryogenic transfer lines, etc.","Pritish Majumdar","Jadavpur University","Schpool of Material Science & Technology, Department of Metallurgy",1831450,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_4"
"5","Department of Atomic Energy","Modelling of heat transfer and fluid flow in Plasma Melting System","Ashwin W. Patwardhan","Bombay University","Department of Chemical Technology, Matunga",985080,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_5"
"6","Department of Atomic Energy","To develop Brewsten Angle Microscope","Neelima S. Iyer","National Chemical Laboratory","Physical Chemistry Division",651750,24,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_6"
"7","Department of Atomic Energy","Development as a product, High Temperature Superconducting (HTS) tubes for magnetic shielding in SQUID system","U. Syamaprasad","Regional Research Laboratory"," ",982750,24,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_7"
"8","Department of Atomic Energy","Development of epoxy based composites by electron beam curing process","Madhumita Saroop","Shriram Institute for Industrial Research","19, University Road",983350,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_8"
"9","Department of Atomic Energy","Development of optical flow algorithms for motion estimation","C.N. Ajit","Electronics Research & Development Centre","Block EP & GP, Webel Bhavan, Sector V",950450,18,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_9"
"10","Department of Atomic Energy","Synchronizing chaotic circuits; Experiments with cellular neural networks","Syamal Kumar Dana","Indian Institute of Chemical Biology","4, Raja S.C. Mullick Road",640530,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_10"
"11","Department of Atomic Energy","Development and characterization of advanced materials and systems for storage, delivery and purification of deuterium","O.N. Srivastava","Banaras Hindu University","Department of Physics",22777000,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_11"
"12","Department of Atomic Energy","Spectrally resolved white light interferometer","M.P. Kothiyal","Indian Institute of Technology (M)","Department of Physics, Applied Optics Lab.",2015210,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_12"
"13","Department of Atomic Energy","MOVPE growth and characterisation of III-V compounds and alloys for fabrication of 808nm diode lasers","S.K. Lahiri","Indian Institute of Technology (Kh)","Department of Electronics & Comm.Engineering",2225060,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_13"
"14","Department of Atomic Energy","Improvement of monsooned coffee quality through irradiation processing","Rasheed Ahmad","Mangalore University","Department of Botany, Mangalagangothri",921680,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_14"
"15","Department of Atomic Energy","Vitamin D and its relationship to coronary artery disease in tropical population","C.C. Kartha","Sree Chitra Tirunal Institute for Medical Sciences & Technology"," ",1407000,24,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_15"
"16","Department of Atomic Energy","Proximate chemical analysis of nutrient and antinutritional factors of Trombay pulses & groundnut varieties","V.H. Mullimani","Gulbarga University","Department of Biochemistry",2069330,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_16"
"17","Department of Atomic Energy","Environmental isotope studies on the largest fresh water lame in Kerala","C. Unnikrishnan Warrier","Centre for Water Resources Development & Management","Kunnamangalam",988860,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_17"
"18","Department of Atomic Energy","Radiation induced muttion for resistance to Alternia Helianthi in sunflower","D. Theertha Prasad","Agricultural Sciences University","Department of Biotechnology",964360,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_18"
"19","Department of Atomic Energy","Radiation processing of natural fibre reinforced phenol-formaldehyde and unsaturated polyesters","Sabu Thomas","Mahatma Gandhi University","School of Chemical Sciences, Priyadarshini Hills PO",741180,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_19"
"20","Department of Atomic Energy","Development of determinate, high yielding, disease resistant and low trypsin inhibitor varieties of Moth Bean (vigna aconitifolia jacq. Marechal)","V.S. Kothekar","Dr. Babasaheb Ambedkar Marathwada University","Department of Botany",931930,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_20"
"21","Department of Atomic Energy","Establishment of Radiotracer Laboratory and Multilocation Testing & Seed Production of crop varieties developed at BARC","V.S. Kavadia","Rajasthan Agricultural University","Research Division",12614000,48,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_21"
"22","Department of Atomic Energy","Development of different idiotypes, high yielding, disease resistant varieties of blackgram (vigna. Radiatata (Linn.) Hepper and mungbean (Vigna. Radiatata (Linn.) Wilezek) for New Alluvial zone of West Bengal","Gurupada Sarkar","Bidhan Chandra Krishi Vishwavidyalaya","New Alluvial Zone, Gayespur Distt.",997860,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_22"
"23","Department of Atomic Energy","Development of High yielding Genotypes with improved oil quality in Niger (Guizotica abyssinica L)","Tadikamalla Srinivasu","Institute of Science","Department of Botany, 15, Madame Cama Road",989780,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_23"
"24","Department of Atomic Energy","Investigation on the radioproductive effect of the Ocmium flaronoids and their analogues","P. Uma Devei","Kasturba Medical College","Department of Radiobiology",972640,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_24"
"25","Department of Atomic Energy","Analysis, design & development of Hyper-redundant manupulator for maintenance in inaccessible regions","Bhaskar Dasgupta","Indian Institute of Technology (K)","Centre for Robotics",2140950,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_25"
"26","Department of Atomic Energy","Development of high thermal conductivity carbon-carbon composites for TOKAMAKSSTI","L.M. Manocha","Sardar Patel University","Department of Material Science",3768780,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_26"
"27","Department of Atomic Energy","Investigation on the inelastic behaviour of RC beam column joints under cyclim laod reversals","T.S. Thandavamoorthy","Structural Engineering Research Centre","Taramani",2832200,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_27"
"28","Department of Atomic Energy","Development of General Purpose Neural Network Software as applied to Fracture Mechanics, earthquake engineering. Miniature samples test data & other reactor applications","Prem Kumar Kalra","Indian Institute of Technology (K)","Department of Electronic Engineering",1697150,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_28"
"29","Department of Atomic Energy","Microtextural investigations on zirconium based alloys in use in the nuclear industry","I. Samajdar","Indian Institute of Technology (B)","Powai",1284950,36,"2000-01","DAE","Indian Rupees","Months","DAE_2000-01_29"
