"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of Bio-Technology","Molecular charaterisation of different breeds or goat by DNA fingerprinting using BKM probe and microsatellite markers","Pramod Kumar Rout","Central Institute for Research on Goats","Genetics & Breeding Division, Farah",1804000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_1"
"2","Department of Bio-Technology","Establishment of embryo cloning by somatic cell nuclear transfer: Application in generation of transgenic animals","S. Majumdar","National Institute of Immunology","Embryo Biotechnology Laboratory, Aruna Asaf Ali Road",5342000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_2"
"3","Department of Bio-Technology","Establishment of ultrasound guided transvaginal oocyte retrieval (TVOR) from cows and buffalo for in vitgro embryo production","Chaitanya H. Pawshe","Dr. Panjabrao Deshmukh Krishi Vidyapeeth","Department of Gynocology and Animal",4924000,"48","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_3"
"4","Department of Bio-Technology","Studies on embroyo development in primates: Production of multiple embryos by ovarian hyperstimulation using gonadotrophins","Polani B Seshagiri","Indian Institute of Science","Department of Molecular Reproduction",2654000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_4"
"5","Department of Bio-Technology","Genetick engineering of sugarcane for developing resistance against borers and red rot disease","S.S. Gosal","Panjab Agricultural University","Department of Biotechnology Centre",2719000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_5"
"6","Department of Bio-Technology","Investigations on the anticlastogenic and antitumor effects of certain common seaweeds from the westcoast region in Karnataka State","K.K. Vijaylaxmi","Bangalore University","Department of Applied Zoology, Mangalgangotri",1371000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_6"
"7","Department of Bio-Technology","Mud crab culture technology and demonstration","D.E. Babu","Andhra University","Department of Zoology, PO Box 385",1410000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_7"
"8","Department of Bio-Technology","Study of the changes in sulphated polysaccharide contents of seaweeds as a function of life stages and season","K.H. Mody","Central Salt & Marine Chemicals Research Institute","Department of Biosalinity",1072000,"24","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_8"
"9","Department of Bio-Technology","Demonstration and validation of the nitrifying bioreactors developed for pehaeio and non penaeid closed hatchery system","I.S. Bright Singh","Cochin University of Science & Technology","Department of Microbiology",393000,"12","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_9"
"10","Department of Bio-Technology","Cloning and expression of aeronomas spp. Outer membrance potin for the development of recombinant and DNA vaccine","Aparna Dixit","Jawaharlal Nehru University","Centre for Biotechnology",3748000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_10"
"11","Department of Bio-Technology","Diversity and enzymes of deep sea fungi: life under an extreme environment","C. Raghukumar","National Institute of Oceanography","Biological Oceanography Division, Dona Paula",2360000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_11"
"12","Department of Bio-Technology","Modeling the effect of environmental factors on the water quality and aquaculture production of freshwater ponds","Girija Jayaraman","Indian Institute of Technology (D)","Haus Khas",1215000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_12"
"13","Department of Bio-Technology","Protein folding by ribosome and its RNA","C.K. Dasgupta","Calcutta University","Department of Biophysics, Mol. Biology & Gene., 92 APC Road",2520000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_13"
"14","Department of Bio-Technology","Treatment of industrial effluents by innovative flotation and specific biological techniques","P. Ramachandra Rao","National Metallurgical Laboratory"," ",2801000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_14"
"15","Department of Bio-Technology","Simulation facility for scale up and economic evaluation of biotechnologcial processes","Subhrangsu S. Maitra","Jawaharlal Nehru University","Centre for Biotechnology",540000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_15"
"16","Department of Bio-Technology","Development of a non-linear geometric controller for bioprocesses: Application to methionine production","James Gomes","Indian Institute of Technology (D)","Haus Khas",2724000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_16"
"17","Department of Bio-Technology","Modelling and experimental optimisation of a fermentation-cum-recovery process for stgrepiokinase","P.R. Patnaik","Institute of Microbial Technology","Department of Mathematical Modelling Centre",1922000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_17"
"18","Department of Bio-Technology","Fermentative production of chitosan from fungi and its industrial applications","B.P. Chatterjee","Indian Association for the Cultivation of Science","Department of Biological Chemistry",1976000,"36","2000-01","DBT","Indian Rupees","Months","DBT_2000-01_18"
