"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of Coal","Study for early detection of the occurrence of spontaneous heating in blasting gallery method and to evaluate suitable measures to prevent and control spontaneous heating in thick coal seams","V.K. Singh","Central Mining Research Institute","Barwa Road",2632000,31,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_1"
"2","Department of Coal","Developing a suitable floor treatment method to work ovwer weak floor with semi mechanised  B&P system at Makardhokra II U/G mine of WCL","K. Chakrovorty","Central Mine Planning & Design Institute","Kasturba Nagar, Jaripatka",875000,12,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_2"
"3","Department of Coal","Application of roof bolting in depillaring operation for replacement of timber under roof conditions difficult to cave at Kuardih/Patmohnal/Methani Collieries of ECL","S.N. Maity","Central Mining Research Institute","Barwa Road",2635000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_3"
"4","Department of Coal","Development of suitable subsidence prediction model for single seam workings in South Eastern Coalfields Ltd. Area","S.N. Singh","Central Mining Research Institute","Barwa Road",1000000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_4"
"5","Department of Coal","Study on the effect of delay timing, total charge and direction of initiation on blast induced ground vibration","P.K. Singh","Central Mining Research Institute","Barwa Road",4358000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_5"
"6","Department of Coal","Development of light weight steel props for underground coal mines","S.K. Chaudhuri","Steel Authority of India Ltd.","Research & Development Centre for Iron & Steel, PO Doranda",5511300,30,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_6"
"7","Department of Coal","Investiation to optimise blast design and charge loading parameters in coal andring hole blasingand in stone for induced blasting in degree - 1 seams for blasting gallery method in underground mindes of the SCCL","P.P. Roy","Central Mining Research Institute","Barwa Road",3830000,24,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_7"
"8","Department of Coal","Studies on the advance detection of fires in coal mines with special reference to SCCL","N. Someswara Rao","Andhra University","Department of Inorganic & Analytical Chemistry",5166000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_8"
"9","Department of Coal","Dry beneficiation of high ash non coking coal using air dense medium fluidised bed separator","S.K. Biswal","Regional Research Laboratory","(CSIR)",1700000,24,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_9"
"10","Department of Coal","Development of 25 KW industiral power generator using high ash coal in an oscillatory combustor","T.S. Sheshadri","Indian Institute of Science"," ",926000,24,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_10"
"11","Department of Coal","Bio-restoration of OB dumps through the plantation of selected efficient phtosynthetic/soil conserver species in Eastern Jharia Area, BCCL","N.K. Srivastava","Central Fuel Research Institute","PO FRI",4308000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_11"
"12","Department of Coal","Field Studies on application of lignite humic acid on various crop response in differnent agro climatic conditions","V. Manoharon","Tamil Nadu Agricultural University"," ",5868000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_12"
"13","Department of Coal","Bioprocessing of lignite and bioremediation of its sulphus rich wastes for development of environment friendly value added products","V. Manoharon","Tamil Nadu Agricultural University"," ",7445000,36,"2000-01","DOC","Indian Rupees","Months","DOC_2000-01_13"
"14","Department of Coal","Trial of fibre reinformced shotcrete - bolt support system in an underground gallery in coal subjected to high induced stresses-MT/127","U.K. Singh","Indian School of Mines"," ",2413400,36,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_1"
"15","Department of Coal","Studies on Kelsey Centrifugal Jig Coal Finest - CP/37","T.C. Rao","Regional Research Laboratory","Hosangabad Road, Near Habib Ganj Naka",1280000,24,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_2"
"16","Department of Coal","Installation of Modular Demonstration plant at Swang Washery (CCL) with Column flotation for upgradation of fine coal and horizontal travelling belt filter for its better recovery - CP/38","M.N. Singh","Central Mine Planning & Design Institute","Gondwana Place, Kanke Road",12380000,36,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_3"
"17","Department of Coal","Studies on Multi Gravity Separator for treating fine Coal","C.K. Sagar","Central Mine Planning & Design Institute","Gondwana Place, Kanke Road",6450000,21,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_4"
"18","Department of Coal","Development of reconstituted coal - water emulsion as clean coal technology for power generation - CU/40","K.N. Bhattacharya","Central Fuel Research Institute","PO: FRI",12284000,24,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_5"
"19","Department of Coal","Development of equivalencey chart between UHV & GCV - CU/41","S. Biswas","Central Fuel Research Institute","PO: FRI",15000000,12,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_6"
"20","Department of Coal","Development of equivalency chart between UHV & GCV - cu/42 (2nd Phase)","S. Biswas","Central Fuel Research Institute","PO: FRI",9000000,19,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_7"
"21","Department of Coal","Production of clean fuel gas from coal derived gases using reactive, regenerable sorbents for sulphus removal and candle filters for the particulates control - CU/43","K.B.B.S. Prasad","Indian Institute of Chemical Technology","Uppal Road",6948000,24,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_8"
"22","Department of Coal","Frequency Analysis and modelling of Noise Pollution for an Opencast Coal Project - EE/23","Y.V. Rao","Karnataka Regional Engineering College","Surathkal",630000,24,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_9"
"23","Department of Coal","Development of support guidelines for depillaring panels in Indian Coal Mines - MT/126","S.K. Singh","Central Mining Research Institute","Barwa Road",2178000,36,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_10"
"24","Department of Coal","Reclamation of mining wastelands and restoration of native vegetation through microbial technology in Rajmahal Coalfield area of ECL - EE/24","A.K. Roy","Tilka Manjhi Bhagalpur University","University Department of Botany",848400,36,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_11"
"25","Department of Coal","Characterisation and Leaching Studies of Indian fly ashes for evaluation of their suitability as mine fill material - EE/25","B. Prasad","Central Mining Research Institute","Barwa Road",1992000,36,"2001-02","DOC","Indian Rupees","Months","DOC_2001-02_12"
"26","Department of Coal","Evaluation of combustion behaviour of coal at different ash levels","A. Mukherjee","Central Fuel Research Institute","P.O. Fuel Science Division",19080000,24,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_1"
"27","Department of Coal","Study on enhancement of recharge potential in the recharge area to the Neyveli deep sealed aquiffers","M. Radhakrishnan","Neyveli Lignite Corporation Ltd.","Regional Geology Division",11554000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_2"
"28","Department of Coal","Air Polution resistance and filtering capacities in trees and shrubs of surrounding opencast coal mines area","A.N. Prasad","Vinoba Bhave University","Department of Botany",945000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_3"
"29","Department of Coal","Application of high pressure water injection for hard roof management at Churcha West Colliery, SECL","G. Banerjee","Central Mining Research Institute","Barwa Road",4960000,18,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_4"
"30","Department of Coal","Development of emission factors for various mining machineries and operations in opencast coal mines","S. Kumar","Central Mine Planning & Design Institute","Gondwana Place, Kanke Road",7801000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_5"
"31","Department of Coal","Effect of production blast, ground water and geo-technical properties on pit wall and dump stability in open pit coal mines","P.K. Singh","Central Mining Research Institute","Barwa Road",3941600,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_6"
"32","Department of Coal","Standardisation of blast vibration damage threshold for the residential structures in mining areas","P.P. Roy","Central Mining Research Institute","Barwa Road",325000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_7"
"33","Department of Coal","Studies on the advance detection of fires in coal mines with special reference to SCCL","N.S. Rao","Andhra University","Department of Inorganic & Analytical Chemistry",5661000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_8"
"34","Department of Coal","Study into extent of abutment loading trend and design of advance support during pillar extraction by stowing in a coal mines","V. Venkateswarlu","National Institute of Rock Mechanics","Kolar Gold Fields, Champion Reefs",3579000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_9"
"35","Department of Coal","To study the role of blast design parameters on ground vibration and co-relation of vibration level to blasting damage to surface structures","G.R. Adhikary","National Institute of Rock Mechanics","Kolar Gold Fields, Champion Reefs",3760000,36,"2002-03","DOC","Indian Rupees","Months","DOC_2002-03_10"
"36","Department of Coal","Fly ash characterisation for mine void reclamation","S. Kumar","Central Mine Planning & Design Institute Limited","Gondwana Place, Kanke Road",28768400,36,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_1"
"37","Department of Coal","Optimisation of production from underground coal mines by achieving longer pull","S.K. Roy","Central Mining Research Institute","Barwa Road",1361000,18,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_2"
"38","Department of Coal","Design and development of wireless multimedia monitoring system for coal mines","S. Mohan","Indian Institute of Science"," ",1298500,12,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_3"
"39","Department of Coal","Stability of parting between coal pillars workings in level contiguous seams during depillaring","R. Singh","Central Mining Research Institute","Barwa Road",5054000,48,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_4"
"40","Department of Coal","A study on effect of undergroound blasting on surface structures vis-a-vis standardisation of blast vibration damage threshold","P.K. Singh","Central Mining Research Institute","Barwa Road",3038800,24,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_5"
"41","Department of Coal","Efficacy of rock bolt in underground fire zones and water bearing excavations","V.K. Shanke","Anna University","Departmet of Mining & Engineering, College of Engineering",8820500,36,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_6"
"42","Department of Coal","Development of high strength corrosion roof bolts and guidelines for selection of bolts and accessories","S.K. Chaudhury","Steel Authority of India Ltd.","Research and Development Centre for Iron & Steel. P.O. Doranda",7291200,30,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_7"
"43","Department of Coal","Development of a mining method for final extraction of a critical thick coal seam standing on pillars and the development made along the roof horizon","P.K. Mandal","Central Mining Research Institute","Barwa Road",2430000,36,"2003-04","DOC","Indian Rupees","Months","DOC_2003-04_8"
