"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of Secondary and Higher Education","Acoustic combustor for clean combustion of low grade coal","T.S. Sheashadri","Indian Institute of Science"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_1"
"2","Department of Secondary and Higher Education","Monitoring of land deformation due to earthquake & landslides using defferential sar interferometre","K.S. Rao","Indian Institute of Technology (B)","Powai",1200000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_2"
"3","Department of Secondary and Higher Education","Recovery of suyper resolved depth from deforcused images","Subhasis Chaudhuri","Indian Institute of Technology (B)","Powai",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_3"
"4","Department of Secondary and Higher Education","Functional poly (3,4-Alkylenedioxythiophenes jmaterial for this millenium","Anil Kumar","Indian Institute of Technology (B)","Powai",1050000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_4"
"5","Department of Secondary and Higher Education","Chemical modification of lipoproteinlipase for modulation of transvascular transport","M.N. Gupta","Indian Institute of Technology (D)","Haus Khas",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_5"
"6","Department of Secondary and Higher Education","Programmable and virtual instruments","A.L. Vyas","Indian Institute of Technology (D)","Haus Khas",700000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_6"
"7","Department of Secondary and Higher Education","Design & development of air slides system for handling bulk materials","V.K. Agarwal","Indian Institute of Technology (D)","Haus Khas",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_7"
"8","Department of Secondary and Higher Education","Distribution, factionation and deposition of phosphorous in the flood plain sediments","Chandan Mahanta","Indian Institute of Technology (G)"," ",250000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_8"
"9","Department of Secondary and Higher Education","Wavelength Division multiplexed (WDM) fiber optic link","S.P. Survaiya","Indian Institute of Technology (G)"," ",700000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_9"
"10","Department of Secondary and Higher Education","Development of new technique of nano writing usisng pulsed high power laser intwerferometry","Alika Khare","Indian Institute of Technology (G)"," ",650000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_10"
"11","Department of Secondary and Higher Education","Scalable architectures for large WEB server system","Dheeraj Sanghi","Indian Institute of Technology (K)"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_11"
"12","Department of Secondary and Higher Education","Improvement of operational performance of integrated AC/DC power system through multiple controllable devices","Sachchidanand","Indian Institute of Technology (K)"," ",1300000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_12"
"13","Department of Secondary and Higher Education","Ohmic contact to GAN","Monika Katiyar","Indian Institute of Technology (K)"," ",650000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_13"
"14","Department of Secondary and Higher Education","Development of an SAEV (Semi autonomous electric vehicle)","Aurolbinda Routray","Indian Institute of Technology (Kh)"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_14"
"15","Department of Secondary and Higher Education","Hybrid systems safety analysis","R.B. Mishra","Indian Institute of Technology (Kh)"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_15"
"16","Department of Secondary and Higher Education","Synthesis and processing of nano sized oxide cedramic powders for use as feed materials in plasma spray","D. Bhattacharyya","Indian Institute of Technology (Kh)"," ",950000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_16"
"17","Department of Secondary and Higher Education","Study of breakdown characteristics of SF6-Air mixtures under different voltage profiles","R. Sarathi","Indian Institute of Technology (M)"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_17"
"18","Department of Secondary and Higher Education","Development of desiccant assisted air conditioner for low humidity applications","M. Prakash Maiya","Indian Institute of Technology (M)"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_18"
"19","Department of Secondary and Higher Education","Corrosion protection of alluminium alloys by surface modifications","K. Prasad Rao","Indian Institute of Technology (M)"," ",1050000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_19"
"20","Department of Secondary and Higher Education","Benchmarking and process mapping of supply chain in indian industries","Rajluxmi Murthy","Indian Institute of Management (B)"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_20"
"21","Department of Secondary and Higher Education","Institutional analysis of collective management of minor irrigation works in Kerala","A.H. Kalro","Indian Institute of Management (K)"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_21"
"22","Department of Secondary and Higher Education","Knowledge systems architecture in indian organisation","R. Srinivasan","Indian Institute of Management (L)"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_22"
"23","Department of Secondary and Higher Education","Creating and developing facilities for numerical modelling for advanced R&D work in the area","S.B. Srivastava","Indian School of Mines"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_23"
"24","Department of Secondary and Higher Education","An efficient and cost effective approach to use artificial neural networks for design of 3rd GENERAN","S.S. Pattnaik","North Eastern Regional Institute of Science & Technology","Nirjuli",650000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_24"
"25","Department of Secondary and Higher Education","Development of low cost indigenous acqustic material for North Eastern Region","K.K. Shrivastava","North Eastern Regional Institute of Science & Technology","Nirjuli",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_25"
"26","Department of Secondary and Higher Education","The development of an ergonomic toolbox with reference to technology transfer in Development","Amitabha De","National Institute of Industrial Engineering"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_26"
"27","Department of Secondary and Higher Education","Assessment of land use, land cover pattern crop, vegitation classification, water area","Gulab Singh","Motilal Nehru Regional Engineering College"," ",700000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_27"
"28","Department of Secondary and Higher Education","Design development of governors and controls for small hydro plants","Saroj Ragnekar","Maulana Azad College of Technology"," ",1200000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_28"
"29","Department of Secondary and Higher Education","Study of applications of re-engineering in indian industry","Somesh Kumar Sharma","Regional Engineering College"," ",100000,12,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_29"
"30","Department of Secondary and Higher Education","Studies on machining characteristics of Al-Si Base alloys","D.K. Dwivedi","Regional Engineering College"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_30"
"31","Department of Secondary and Higher Education","Cross-Platform gamma and color correction withloss-less image transmission over a network","Neeta Nain","Malaviya Regional Engineering College"," ",600000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_31"
"32","Department of Secondary and Higher Education","Design of millimeter wave planar antennas for wireless mobile applications","Vijay Janyani","Malaviya Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_32"
"33","Department of Secondary and Higher Education","Quality upgradation of aluminium base materials by surface treatment","Ashok Sharma","Malaviya Regional Engineering College"," ",600000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_33"
"34","Department of Secondary and Higher Education","Evaluation of causal factors of road accidents","N.T. Rao","Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_34"
"35","Department of Secondary and Higher Education","Reliability analysis & optimization","Krishan Gopal","Regional Engineering College"," ",1000000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_35"
"36","Department of Secondary and Higher Education","Application of advanced DSP techniques in image processing and image restoration using MRF models","Rameshwar Baliarsingh","Regional Engineering College"," ",700000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_36"
"37","Department of Secondary and Higher Education","Reactive power control problems and management in power and process industry","P.C. Panda","Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_37"
"38","Department of Secondary and Higher Education","Development of a 2D/3D finite element based device simulator for simulating S1/SiGe devices for VLSI application","A.K. Aditya","Regional Engineering College"," ",750000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_38"
"39","Department of Secondary and Higher Education","Performance study of tribological parameters on a multi cylinder 4 stroke petrol engine","K.N. Mistry","Sardar Vallabhbhai Regional College of Engineering & Technology"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_39"
"40","Department of Secondary and Higher Education","Hydrogeological techniques in ground water harvesting and recharge of lateritic terrains in Dakshina","D. Venkat Reddy","Karnataka Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_40"
"41","Department of Secondary and Higher Education","Design & development of computer control techniques for electrical distribution systems","P.N. Sreedhar","Karnataka Regional Engineering College"," ",600000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_41"
"42","Department of Secondary and Higher Education","Characterisation of tribological properties of polymer composite materials under sliding wear","H.S. Hebbar","Karnataka Regional Engineering College"," ",550000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_42"
"43","Department of Secondary and Higher Education","Heat transfer studies during nuclear pool boiling of liquids and their mixtures at subatmospheric pressures","S.K. Pandey","Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_43"
"44","Department of Secondary and Higher Education","Design and development of multipurpose low cost farm equipment","K.S. Narayanaswamy","Regional Engineering College"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_44"
"45","Department of Secondary and Higher Education","Design of thickness and microdisplacement photonics sensors","D. Satis Kumar","Regional Engineering College"," ",650000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_45"
"46","Department of Secondary and Higher Education","Intelligent control based distribution system planning and management","M. Sydulu","Regional Engineering College"," ",700000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_46"
"47","Department of Secondary and Higher Education","Performance evaluation of eco-friendly refrigerants","J.E.B. Nelson","Regional Engineering College"," ",800000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_47"
"48","Department of Secondary and Higher Education","Design, development & fabrication of holospeckle interferometer for its use in speckle metrology","Hira Lal Yadav","Regional Institute of Technology"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_48"
"49","Department of Secondary and Higher Education","Development of pet-waste based polyurethanes and its modeling studies","Manohar Singh Saini","Sant Longowal Institute of Engineering & Technology"," ",500000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_49"
"50","Department of Secondary and Higher Education","Improvement of strength and durability of recycles aggregate concrete","M. Chakraborty","Technical Teacher's Training Institute"," ",900000,42,"2000-01","DOSHE","Indian Rupees","Months","DOSHE_2000-01_50"
"51","Department of Secondary and Higher Education","Bioprocess development for the lipase catalyzed modification of oils and fats to produce value added products","P. Mishra","Indian Institute of Technology (D)","Haus Khas",1200000,42,"2001-02","DOSHE","Indian Rupees","Months","DOSHE_2001-02_1"
"52","Department of Secondary and Higher Education","Development and Implementation of a unified model for synchronous and asynchronous concurrent systems","S.A. Kumar","Indian Institute of Technology (D)","Haus Khas",1000000,42,"2001-02","DOSHE","Indian Rupees","Months","DOSHE_2001-02_2"
"53","Department of Secondary and Higher Education","DSP based sensorless controller for SRM","G. Bhuvaneshwari","Indian Institute of Technology (D)","Haus Khas",700000,42,"2001-02","DOSHE","Indian Rupees","Months","DOSHE_2001-02_3"
"54","Department of Secondary and Higher Education","Technology Development and Utilisation of Photovoltaic/Thermal/Solar Energy Systems for building energy demand","G.N. Tiwari","Indian Institute of Technology (D)","Haus Khas",1000000,42,"2001-02","DOSHE","Indian Rupees","Months","DOSHE_2001-02_4"
