"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Defence Research and Development Organisation","Development of a Prototype of Field Emission Display (FED)","D.S. Joag","Pune University","Department of Physics",596280,"12","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_1"
"2","Defence Research and Development Organisation","Development of High Birefringent PM/SPSM Optical Fibre for use at 1550 NM","Kamal Das Gupta","Central Glass & Ceramic Research Institute","196, Raja S.C. Mullick Road",3294000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_2"
"3","Defence Research and Development Organisation","Growth of Lithium Metasilicate and Lithium metagermanate Single Crystals by Bridgman and Czochralski Techniques and their Characterisation for Piezoelectric and Electro Optic Applications","R. Gopalakrishnan","Anna University","Department of Physics",2507560,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_3"
"4","Defence Research and Development Organisation","The assessment of infrared propagation under normal and anamolous refractive conditions over the sea to aid in the evaluation of infrared sensors","T. Krishnan","Helios System & Software","234, Avvai Shanmugam Road",2475000,"12","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_4"
"5","Defence Research and Development Organisation","Photonic Band Gap Structure at Microwave Frequency using magnetic materials","V. Subramanian","Indian Institute of Technology (M)","Department of Physics",1245000,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_5"
"6","Defence Research and Development Organisation","Investigations of ultrafast response vacuum tunnel junction","S. Kasiviswanathan","Indian Institute of Technology (M)","Department of Physics",1889000,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_6"
"7","Defence Research and Development Organisation","A regenerative amplifier for the Ti:Sapphire fs laser : Studies on measurement of excited state dynamics, optical limiting and medical applications","D. Narayana Rao","Hyderabad University","School of Physics, Gachiblowli",2448000,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_7"
"8","Defence Research and Development Organisation","Flow stabilisation & destabilisation using viscosity stratification as a flow control option","Rama Govindarajan","Jawaharlal Nehru Centre for Advanced Scientific Research","Fluid Dynamics Unit",725000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_8"
"9","Defence Research and Development Organisation","A fundamental approach to combustor dynamics : focus on flame acqustic vortex interations","S.R. Chakravarthy","Indian Institute of Technology (M)","Department of Aerospace Engineering",2498000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_9"
"10","Defence Research and Development Organisation","High bonding phenolics & multifunctional epoxies for defence applications","C.K.S. Pillai","Regional Research Laboratory"," ",1828600,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_10"
"11","Defence Research and Development Organisation","Chemical routes for surface passivation of mercury cadmium telluride for for IR Detectors","Rajendra K. Pandey","Barkatullah Vishwavidyalaya","Institute of Physics & Electronics",2446640,"30","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_11"
"12","Defence Research and Development Organisation","Studies for development of pressure swing Absorption Tech for purification of crude helium","M.O. Garg","Indian Institute of Petroleum","Refining Technology",2500000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_12"
"13","Defence Research and Development Organisation","Organohypervalent Iodine compounds as unique reagents in organic synthesis","Om Prakash","Kurukshetra University","Department of Chemistry",2124000,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_13"
"14","Defence Research and Development Organisation","Control of the plant viruses through bioviruses inhabitors under the vitro and filed conditions","Yaswant Singh","Parmar University","Horticulture and Forestry, Nauni",2742244,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_14"
"15","Defence Research and Development Organisation","Effect of REM Sleep Deprivation on Free Radical Scavenging system","D.C. Mathangi","Sri Ramachandra Medical College & Research Institute","Department of Psychology, Porur",294000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_15"
"16","Defence Research and Development Organisation","Biorelease multinutrient fertilizer for high altitude agriculture","C. Varadachari","Raman Centre for Applied and Interdisciplinary Sciences","16A, Jheel Road",460000,"12","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_16"
"17","Defence Research and Development Organisation","Development of synthesisable VHDL cores for DSP","S. Srinivasan","Indian Institute of Technology (M)","Department of Electrical Engineering",489000,"24","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_17"
"18","Defence Research and Development Organisation","Development of a dynamic surface force apparatus","S.K. Biswas","Indian Institute of Science","Department of Mechanical Engineering",6049000,"36","2000-01","DRDO","Indian Rupees","Months","DRDO_2000-01_18"
