"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Department of Scientific and Industrial Research","Interactive small Arms Training Software-Intensive Computer Based Training Aid Meant to help trainees perfect advanced marksmanship skills including skills based on judgement and reflex","Managing Director The","Zen Technologies Ltd."," ",6000000,18,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_1"
"2","Department of Scientific and Industrial Research","Setting up a pilot plant for production of cellulose silica lignin and protein rich food for human consumption from rice straw","Managing Director The","Punjab Agro Industries Corporation"," ",10000000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_2"
"3","Department of Scientific and Industrial Research","Development of Miniature DC/DC convertor for line cards","Managing Director The","S M  Creative Electronics Ltd."," ",1000000,12,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_3"
"4","Department of Scientific and Industrial Research","Design & Development of ATM Access Multiplexer","Managing Director The","United Telecoms Group"," ",4050000,18,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_4"
"5","Department of Scientific and Industrial Research","Cast Design System for aiding in the intelligent computer aided design of castings","Managing Director The","Orient Software Pvt. Ltd."," ",2500000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_5"
"6","Department of Scientific and Industrial Research","Development and indgenising of Asbestos free cylinder head gaskets for Tata Indica Diesel cars","Managing Director The","Sankar Sealing Systems (P) Ltd","Sivapriya, Plot No. 1721, 6th Avenue, Annanagar",22300000,12,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_6"
"7","Department of Scientific and Industrial Research","Manufacturing of water-based Flexo and UV radiation curing Inks","Managing Director The","Organic Coatings Ltd.","Bldg. No. A/2, Flat No. 1, Bamanpuri Village, Andheri(E)",2500000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_7"
"8","Department of Scientific and Industrial Research","Development of next generation amino silicone based on Hydrosilation Process","Managing Director The","Elkay Chemicals Pvt. Ltd."," ",3000000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_8"
"9","Department of Scientific and Industrial Research","Development of Stable Oil in water ink emulsion, based upon water reducible nigrosine dye for ink jet computer printers","Managing Director The","Anirox Pigments Ltd.","7/1, Lord Sinha Road",5000000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_9"
"10","Department of Scientific and Industrial Research","Integrated Pilot demonstration plant for fruit processing","Managing Director The","Mata Foundation"," ",10000000,18,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_10"
"11","Department of Scientific and Industrial Research","Development of optical pick-up for compact discs","Managing Director The","Trident Industries Ltd."," ",4000000,18,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_11"
