"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Indian Council of Agricultural Research","Farming systems modeling resource management for sustainable Agriculture in Eastern dry zone of Karnataka","G.N. Nagaraja","Agricultural Sciences University","Extension Education Unit,GKVK, Hebbal,",1957124,36,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_1"
"2","Indian Council of Agricultural Research","Impact of Agricultural infrastructures on economic development of Arunachal Pradesh: A micro analysis","B.D. Nayak","North Eastern Regional Institute of Science & Technology","Nirjuli,",1714437,36,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_2"
"3","Indian Council of Agricultural Research","Ground Water potential in Orissa: its utilization and management","Radha Mohan Mallik","Nabakrishna Choudhary Centre for Development Studies"," ",914710,18,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_3"
"4","Indian Council of Agricultural Research","Changing pattern of Agrarian system from subsistence farming to market oriented agriculture in Garhwal Himalaya","M.C. Sati","Hemwati Nandan Bahuguna Garhwal University","Department  of Economics,",925880,36,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_4"
"5","Indian Council of Agricultural Research","Agri-business opportunities in Kerala: constraints analysis to ensure sustainable efficiency","P. Indira Devi","Kerala Agricultural University","Department of Agricultural Economics, College of Horticulture, Main Campus, Vellanikkara",915760,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_5"
"6","Indian Council of Agricultural Research","Nexus among population, food, productrion & environment of Manipur State","N. Ram Singh","Central Agricultural University","Department of Agricultural Economics, College of Agriculture, Iroisemba",994820,36,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_6"
"7","Indian Council of Agricultural Research","Natural research accounting and management in river basin application of GAMs","K. Palanisami","Tamil Nadu Agricultural University","Department of Agricultural Economics, Water Technology Centre",624040,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_7"
"8","Indian Council of Agricultural Research","Studies women in agriculture in India with special emphasis on crop production technologies","Y.V.R. Reddy","Central Research Institute for Dryland Agriculture","Section of Design Analysis, Santoshnagar, Saidabad",1026000,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_8"
"9","Indian Council of Agricultural Research","Impact assessment of salinity of agriculture in the coastal area of Western Gujarat","K.A. Khunt","Gujarat Agricultural University","Department of Agricultural Economics, Junagarh Campus",570768,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_9"
"10","Indian Council of Agricultural Research","Prospects and determinants of crop diversification with high valued crops in marginal and small farming in the flood affected areas of Assam","K.C. Talukdar","Assam Agricultural University","Department of Agricultural Economics",1275068,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_10"
"11","Indian Council of Agricultural Research","Technical efficiency analysis of Rice-Wheat system in Punjab","S.S. Kutaula","Indian Agricultural Statistics Research Institute","Library Avenue",562600,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_11"
"12","Indian Council of Agricultural Research","Socio-economic perspectives equine rearers in the mountains : A study of Himachal Pradesh","S.K. Chauhan","Choudhary Saravan Kumar Himachal Pradesh Krishi Viswavidyalaya,","Department of Agricultural Economics",617300,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_12"
"13","Indian Council of Agricultural Research","Computer Aided apparel designing","Mary Jacob","Acharya N.G. Ranga Agricultural University","College of Home Science, Rajendranagar,",1203640,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_13"
"14","Indian Council of Agricultural Research","Rural Women Economic Empowerment","Suman Prasad Maurya","Narendra Dev University of Agriculture & Technology","Kumarganj",1440620,24,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_14"
"15","Indian Council of Agricultural Research","Organizational System and Climate in Agricultural Universities in India- a SWOT Analysis","M.A. Zahir","Punjab Agricultural University","Department of Business Management",1261560,36,"2000-01","ICAR","Indian Rupees","Months","ICAR_2000-01_15"
