"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Indian Council of Medical Research","Studies on suicide behaviour","K.A. Kumar","Medical College and SAT Hospital for Women & Children","Department of Psychiatry",4346640,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_1"
"2","Indian Council of Medical Research","Sudies on suicide behaviour","N.G. Desai","Institute of Human Behaviour and Allied Sciences","G.T. Road, Post Box No.9520, Jhilmil",4346640,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_2"
"3","Indian Council of Medical Research","A study of psychosocial cultural and service factors affecting reproductive morbidity amongst rural women in India","Rajesh Kumar","P.G. Institute of Medical Education & Research","Department of Community Medicine, Sector-12",894375,27,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_3"
"4","Indian Council of Medical Research","A study of psychosocial cultural and service factors affecting reproductive morbidity amongst rural women in India","S.K. Mishra","Child in Need Trust","Daulatpur, Via Joka, P.O. Pailon",894375,27,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_4"
"5","Indian Council of Medical Research","A study of psychosocial, cultural and service factors affecting reproductive morbidity amongst rural women in India","Ravi Verma","International Institute for Population Sciences","Department of Extramural Studies, Govandi Station Road, Deonar",894375,27,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_5"
"6","Indian Council of Medical Research","A study of psychosocial, cultural and service factors affecting reproductive morbidity amongst rural women in India","Catherine Barnard","Service & Research Foundation of Asia on Family & Culture","P.Box No.12, Patel Road, Nehru Nagar, Chrompet",894375,27,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_6"
"7","Indian Council of Medical Research","Prevention  of disability among pre-school children","H.C. Goyal","Safdarjung Hospital","Department of Rehabilitation",3146240,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_7"
"8","Indian Council of Medical Research","Prevention of disability among pre-school children","J.V. Singh","King George Medical College","Upgraded Department of Social And Preventive Medicine",3469360,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_8"
"9","Indian Council of Medical Research","Prevention of disability among pre-school children","M.K. Mathur","S.M.S. Medical College and Hospital","Department of Physical Med. and Rehabilitation",3469360,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_9"
"10","Indian Council of Medical Research","Prevention of Disability among pre-school children. Technical Wing","Bela Shah","Indian Council of Medical Research","Division of Non-Communicable Diseases, Ansari Nagar",100000,48,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_10"
"11","Indian Council of Medical Research","Role of integrin and lectin cell surface molecules in tumor metastasis","Amitava Chatterjee","Chittaranjan Cancer Research Institute","Department of Biochemistry, 37, S.P. Mukherjee Road,",115000,36,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_11"
"12","Indian Council of Medical Research","Role of IEC/Counselling in facilitating couples informed choice between conventional and no-scalpel vasectomy procedures","Yogiraj Sharma","Government of Madhya Pradesh, Directorate of Health Services","Department of Public Health and Family Welfare, Ivth Floor, Satpura Bhawan",1392840,24,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_12"
"13","Indian Council of Medical Research","Role of IEC/Counselling in facilitating couples informed choice between conventional and no-scalpel vasectomy precedures","S.K. Gupta","State Health & Family Welfare","Training Centre, Parimahal",1382040,24,"2000-01","ICMR","Indian Rupees","Months","ICMR_2000-01_13"
