"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Indian Space Research Organisation","Role of metal cyanogen complexes as prebiotic catalyst","Kamaluddin","Roorkee University","Department of Chemistry",547000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_1"
"2","Indian Space Research Organisation","Two phase flows in composite domains under microgravity conditions","N. Rudraiah","Bangalore University","Department of Mathematics",515000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_2"
"3","Indian Space Research Organisation","Auroral Electrodynamics by Kinetic alfven waves","M.S. Tiwari","M.S. Gour University","Department of Physics",307000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_3"
"4","Indian Space Research Organisation","Mosabauer spectroscopic investigation of meteorites and correlation with their preterrestrial history","H.C. Verma","Indian Institute of Technology (K)","Department of Physics",557000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_4"
"5","Indian Space Research Organisation","Study of meteorities and their impacts on earch","M.S. Sisodia","Jai Narain Vyas University","Department of Geology",915000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_5"
"6","Indian Space Research Organisation","Non-linear studies group at IISc","P.L. Sachdev","Indian Institute of Science"," ",3910000,60,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_6"
"7","Indian Space Research Organisation","Indian concepts of cosmology","M.A. Lakshmithathachar","Academy of Sanskrit Research"," ",500000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_7"
"8","Indian Space Research Organisation","Development of automated dat analysis techniques for spectroscopic and photometric astronomical data","H.P. Singh","Sri Venkateswara College"," ",489000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_8"
"9","Indian Space Research Organisation","Monsoon Onset Boundary Layer Experiment","C.A. Babu","Cochin University of Science & Technology","Department of Atmospheric Sciences",657000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_9"
"10","Indian Space Research Organisation","Setting up of simulation test facility at IIT, Bombay","K. Sudhakar","Indian Institute of Technology (B)","Powai",1285000,12,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_10"
"11","Indian Space Research Organisation","Structure property correlations in ultra high strength steels","D.S. Sarma","Banaras Hindu University","Department of Metallurgical Engineering",578000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_11"
"12","Indian Space Research Organisation","Development of linear motor","G.K. Govindaraj","P.S.G. College of Technology","Peelamedu",561000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_12"
"13","Indian Space Research Organisation","Corrosion behaviour characterisation of 18 Ni 250 grade maraging steel in alkaline and neutral media","A.O. Surendranathan","Karnataka Regional Engineering College","Surathkal,",346000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_13"
"14","Indian Space Research Organisation","Performance of Isogrid and some stiffening arrangement in composite arrangement in composite stiffened shells","A.H. Sheikh","Indian Institute of Technology (Kh)","Department of Ocean Engineering & Navai Architecture",742000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_14"
"15","Indian Space Research Organisation","A study of lglass and silicon carbide short fiber reinformed A1(6061)hybrid composite for space applications","B.M. Satish","R.V. College of Engineering","Department of Mechanical Engineering",330000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_15"
"16","Indian Space Research Organisation","The diffused UV sky on astrosat modelling","Jayant Murthy","Indian Institute of Astrophysics"," ",483000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_16"
"17","Indian Space Research Organisation","Design and analysis of impact resistance structures","R. Velumurgan","Mepco Schlenk Engineering College"," ",500000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_17"
"18","Indian Space Research Organisation","Microlevel planning of forest resources development using high resolution satellite data","S. John Britto","St. Joseph's College","Department of Botany",374000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_18"
"19","Indian Space Research Organisation","Cotton Growth and Yield Modelling using Spectral-Agromet Observation and GIS","I.S. Hooda","Haryana Agricultural University","Department of Soil Science",981000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_19"
"20","Indian Space Research Organisation","Resoures Utilisation Pattern and its impact on the biodiversity in the Lake Region of District Nainital, Kumaon Himalaya, using RS & GIS","P.C. Tiwari","Kumaun University","Department of Geography",683000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_20"
"21","Indian Space Research Organisation","Estimation of Rain parameters from doppler radars","Sanjay Sharma","Kohima Science College","Jotsoma",350000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_21"
"22","Indian Space Research Organisation","Satellite astrometry using radio interferometric techniques","C.R. Subramanya","Raman Research Laboratory","C.V. Raman Avenue",2460000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_22"
"23","Indian Space Research Organisation","Special course at the M.Sc.(Physics) level in Space Physics and Astronomy","S.B. Patel","Bombay University","Department of Physics, Lokmanya Tilak Bhawan, Vidyanagari, Santacruz (E)",665000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_23"
"24","Indian Space Research Organisation","Fluid dynamic analysis of capillary flow in satellite fuel tanks under microgravity conditions","P.N. Shankar","National Aerospace Laboratories","CTFD Division",241000,12,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_24"
"25","Indian Space Research Organisation","Study of Microwave Ceramics","S.L. Srivastava","Allahabad University","Department of Physics",501000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_25"
"26","Indian Space Research Organisation","Mathematical modelling of the Atmosphere: GCM & Chaos Models","A.C. Pandy","Allahabad University","Department of Physics",1008000,36,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_26"
"27","Indian Space Research Organisation","Study of laser induced fluorescnce (LIF) spectra of vegetation & water bodies","Ram Gopal","Allahabad University","Department of Physics",586000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_27"
"28","Indian Space Research Organisation","Investigations of Middle Atmosphere using MST Radar","I.M.l. Das","Allahabad University","Department of Physics",300000,24,"2000-01","ISRO","Indian Rupees","Months","ISRO_2000-01_28"
