"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Electronics & Information Technology","Open source CAD (Computer Aided Designing) tool for the weaving of Banarasi sarees","B.P. Yerrapalli","Media Lab Asia","708-723, 7th Floor, Devika Tower, 6 Nehru Place",8104000,31,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_1"
"2","Ministry of Electronics & Information Technology","Development of improved unipolar modulation based inverter for transformerless grid connected photovoltaic system","A. Datta","Mizoram University"," ",1956000,24,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_2"
"3","Ministry of Electronics & Information Technology","Smart warehouse with application of frontier EM & electronics based technology","R. Harsh","Society for Applied Microwave Electronics Engineering & Research","I.I.T. Campus, Powai, Post Box No: 8448",45976000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_3"
"4","Ministry of Electronics & Information Technology","Smart campus water management: Closing the IoT loop from network to knowledge","Y. Simmhan","Indian Institute of Science","C.V. Raman Road",4980000,24,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_4"
"5","Ministry of Electronics & Information Technology","Parallax: Lightweight code self-verification for IoT devices","C. Hota","Birla Institute of Technology & Science (Pilani)","Shamirpet-Keesara Road, Jawahar Nagar, Shameerpet",3830000,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_5"
"6","Ministry of Electronics & Information Technology","Big Imaging data approach for Oncology in a Netherlands India Collaboration (BIONIC)","G. Sunder","Centre for Development of Advanced Computing (C-DAC)","Innovation Park, Panchavati, Pashan",5033334,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_6"
"7","Ministry of Electronics & Information Technology","Big Imaging data approach for Oncology in a Netherlands India Collaboration (BIONIC)","V. Rangarajan","Tata Memorial Centre","Dr. E. Borges Road, Parel",5033333,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_7"
"8","Ministry of Electronics & Information Technology","Big Imaging data approach for Oncology in a Netherlands India Collaboration (BIONIC)","Director","Homi Bhabha National Institute","BARC Training School Complex, Anushakti Nagar",5033333,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_8"
"9","Ministry of Electronics & Information Technology","The Kumb Mela experiment measuring & understanding the dynamics of mankind","A. Verma","Indian Institute of Science","C.V. Raman Road",6700000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_9"
"10","Ministry of Electronics & Information Technology","The Kumb Mela experiment measuring & understanding the dynamics of mankind","Director","Indian Institute of Technology (Kanpur)","Kalyanpur",6700000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_10"
"11","Ministry of Electronics & Information Technology","Development of PZT actuators & Piezo-composites for vibration energy harvesting","P.K. Panda","CSIR-National Aerospace Laboratories"," ",9910000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_11"
"12","Ministry of Electronics & Information Technology","Development of PZT actuators & Piezo-composites for vibration energy harvesting","S. Sen","CSIR-Central Glass & Ceramic Research Institute"," ",9910000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_12"
"13","Ministry of Electronics & Information Technology","System Apparoach towards data mining and Prediction in Airlines Operations (SAPPAO)","D.K. Saxena","Indian Institute of Technology (Roorkee )","Haridwar Highway",11370000,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_13"
"14","Ministry of Electronics & Information Technology","Cooperating Objects for Privacy Aware Smart public building (COPAS)","D. Das","Indian Institute of Information Technology","26/C, Hosur Road, Electronics City Phase I",14820000,48,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_14"
"15","Ministry of Electronics & Information Technology","QoS provisioning in Internet of Things (IoT), NEHU, Shillong","M.I. Hussain","North-Eastern Hill University","Umshing Mawkynroh",8240000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_15"
"16","Ministry of Electronics & Information Technology","Analysis of brain waves & development of intelligent model for silent speech","N. Sinha","National Institute of Technology (Silchar)","Fakiratilla",2500000,24,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_16"
"17","Ministry of Electronics & Information Technology","Development of an Intra-Domain mobility management scheme for single gateway wireless mesh network to handle highly mobile mesh client","A. Majumdar","Tripura University"," ",1689000,24,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_17"
"18","Ministry of Electronics & Information Technology","5G research & building next gen solutions for Indian market","N.B.  Mehta","Indian Institute of Science"," ",4100000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_18"
"19","Ministry of Electronics & Information Technology","5G research & building next gen solutions for Indian market","P. Chaporkar","Indian Institute of Technology (Bombay)","Powai",46946000,36,"2015-16","MEITY","Indian Rupees","Months","MEITY_2015-16_19"
