"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Food Processing Industries","Design and Fabrication of continuous/Automatic Systems for convenience Food Technology to cater to the Defence & Civil requirements","A.S. Bawa","Defence Food Research Laboratory","Siddarthanagar",2100000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_1"
"2","Ministry of Food Processing Industries","Development of low cost value added food products","U. Singh","Rajendra Agricultural University","Department of Food & Nutrition, College of Home Science, Pusa",1550000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_2"
"3","Ministry of Food Processing Industries","Development of Microbial based on-farm rapid kits for the detection of antibiotic residues in raw milk during production & Processing","N. Kumar","National Dairy Research Institute","Dairy Microbiology Division",4100000,48,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_3"
"4","Ministry of Food Processing Industries","Development of process for ready-to-use chilled and frozen traditional chicken products","D.N. Rao","Central Food Technological Research Institute","Department of Food & Nutrition",2287000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_4"
"5","Ministry of Food Processing Industries","Development of Technologies for processing of Sweet Toddy and Coconut Honey","V. Prakash","Central Food Technological Research Institute","Department of Food & Nutrition",1200000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_5"
"6","Ministry of Food Processing Industries","Development of Technologies for production of Plant growth regulators","A.V. Shekdar","National Environmental Engineering Research Institute","Nehru Marg",1000000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_6"
"7","Ministry of Food Processing Industries","Enhancing the shelf life of Banana using diffusion channels","N. Varadaraju","Tamil Nadu Agricultural University","Department of Agro Processing, College of Agriculture Engeneering",3430000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_7"
"8","Ministry of Food Processing Industries","Establishment of a state-of-the art food irradiation facility based on linear accelerator","V. Prakash","Central Food Technological Research Institute"," ",25000000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_8"
"9","Ministry of Food Processing Industries","Establishment of pilot scale multipurpose processing plant for vaccum sterilization of cereals, pulses, rice etc. using a suitable fumigant","D. Gupta","Frontline Agro Food Ltd.","2, Gurukrupa Group Flour, 66, Dr. Pradhan Road, Hindu Colony, Dadar (E)",1800000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_9"
"10","Ministry of Food Processing Industries","Microbial proteases and lipases for the production of food related value added products","R. Gupta","Delhi University","Department of Microbiology, South Campus, Benito Jaurez Road",3700000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_10"
"11","Ministry of Food Processing Industries","Quality improvement of two traditional rice products of Assam namely Bhaja Chawal & Sandahuri","C.L. Mahanta","Assam Agricultural University","Department of Food and Nutrition, Faculty of Home Science",1274000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_11"
"12","Ministry of Food Processing Industries","Slaughterhouse by products processing, packaging and shelf life evaluation for pet foods","J.N. Singh","Bihar Veterinary College","Department of Livestock Products Technology & Veterinary Biochemistry",2324000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_12"
"13","Ministry of Food Processing Industries","Studies on application of Annatto Dye in foods","D.G. Rao","Central Food Technological Research Institute","Habsiguda, Uppal Road",400000,12,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_13"
"14","Ministry of Food Processing Industries","Studies on Modification of Fat Absorption Characteristics in Deep Fried Products","J. Prakash","Mysore University","Department of Studies in Food Science & Nutrition, Manasa Gangotri",788000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_14"
"15","Ministry of Food Processing Industries","Study of enhancing the commercial viability of improving shelf life of processed and unprocessed apples by gamer Irradiation","A. Malik","Shriram Institute for Industrial Research","19 University Road,",2500000,36,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_15"
"16","Ministry of Food Processing Industries","Technology Development for commercialisation of Ready-to-eat Indian Foods","S. Goomer","Lady Irwin College","Department of Food Technology, Sikkandara Road",1800000,24,"2002-03","MFPI","Indian Rupees","Months","MFPI_2002-03_16"
