"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Non-Conventional Energy  Sources","Development of Novel Metal Hydride Reactors for Environment Friendly Energy Conversion Devices","S. Srinivasa Murthy","Indian Institute of Technology (M)","Department of Mechanical Engineering",2762300,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_1"
"2","Ministry of Non-Conventional Energy  Sources","Development of novel route synthesis, characterization and electrochemical studies of high quality cathode materials for lithium batteries","B.B. Kale","Centre for Materials for Electronics Technology"," ",1657000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_2"
"3","Ministry of Non-Conventional Energy  Sources","Design of polymer membranes for fuel cell and battery applications","K.S. Dhathathreyan","Centre for Electrochemical & Energy Research","SPIC Science Foundation, 110 Mount Road, Guindy",4600000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_3"
"4","Ministry of Non-Conventional Energy  Sources","Development of 250 watt liquid feed direct methanol fuel cell (DMFC) stack","B. Vishwanathan","Indian Institute of Technology (M)","Department of Chemistry",3890000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_4"
"5","Ministry of Non-Conventional Energy  Sources","Conversion of Mesua Ferrea L. Seed oil Biodiesel","D. Konwer","Tezpur University","Department of Energy, Distt. Sonitpur",879000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_5"
"6","Ministry of Non-Conventional Energy  Sources","Development of high energy lithium polymer batteries of 1 Ah capacity with a cycle life of 350 for vehicular traction","N. Muniyandi","Central Electrochemical Research Institute","CECRI Nagar",9080000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_6"
"7","Ministry of Non-Conventional Energy  Sources","Reva Electric Car Pre-production Models Testing","Chetan Maini","Reva Electric Car Co. (P) Ltd.","122 E, Bommasandra Industrial Area",3500000,12,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_7"
"8","Ministry of Non-Conventional Energy  Sources","Construction of 100 watt solid polymer electrolyte direct methanol fuel cell","A.K. Shukla","Indian Institute of Science","Solid State & Structural Chemistry Unit",1471000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_8"
"9","Ministry of Non-Conventional Energy  Sources","PEM Fuel Cell based uninterrupted power supply system (UPS) - A precommercial technical assessment study","G. Velayutham","SPIC Science Foundation","111 Mount Road, Guindy",1756000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_9"
"10","Ministry of Non-Conventional Energy  Sources","Development of prepaid electronic energy meters","S.N. Vijayavergiya","Rajasthan Electronics & Instruments Ltd.","2 Kankpur Industrial Area",1000000,9,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_10"
"11","Ministry of Non-Conventional Energy  Sources","Development and evaluation of spectrally selective coatings for solar energy utilization","G.B. Reddy","Indian Institute of Technology (D)","Haus Khas",4836000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_11"
"12","Ministry of Non-Conventional Energy  Sources","Dish Stirling Unit","Principal","Vellore Engineering College","Centre for Industry, Institute Interaction (CII)",3835000,12,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_12"
"13","Ministry of Non-Conventional Energy  Sources","Solar Photocatalytic treatment for colour removal from textile waste water","S.N. Kaul","National Environmental Engineering Research Institute","Nehru Marg",1050000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_13"
"14","Ministry of Non-Conventional Energy  Sources","Solar plhotocatalytic deteoxyfication of industrial wastewater","C.K. Joshi","Thapar Institute of Engineering & Technology","Department of Chemical Engineering",442000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_14"
"15","Ministry of Non-Conventional Energy  Sources","To evaluate techno-economic feasibility of the solar boiler based on line focus parabolic concentrators","M.G. Takwale","Pune University","School of Energy Studies",1023500,12,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_15"
"16","Ministry of Non-Conventional Energy  Sources","Development of biomass gasifier based thermal application package for substitution of fuel oil in steel rerolling mill furnaces","P.P. Parikh","Indian Institute of Technology (B)","Department of Mechanical Engineering, Powai",9265000,12,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_16"
"17","Ministry of Non-Conventional Energy  Sources","Experimental investigations to compare the various practiced methods for tar and particulate measurement and identify any correlation existing for standardization of tar and particulate measurement in producer gas from gasifier system","Anuradha Ganesh","Indian Institute of Technology (B)","Energy Systems Engineering, Powai",1488000,18,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_17"
"18","Ministry of Non-Conventional Energy  Sources","Development of low cost microbial technology to enhance biogas production from cattle dung at different temperatures","D.R. Ranade","Agarkar Research Institute","Agarkar Road",2101500,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_18"
"19","Ministry of Non-Conventional Energy  Sources","Comparative study of traditional and improved chulhas with respect to indoor air pollution, health impact, socio-economic benefits particularly to women and girl children etc. - Assessement of indoor pollution of tribal population in Western Maharashtra","Usha Thakare","Indian Women Scientist's Association","Plot No. 20, Sector 10A, Vashi",700000,15,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_19"
"20","Ministry of Non-Conventional Energy  Sources","Design, demonstration & evaluation of an integrated gasifier - solar termal power generation system","V.V.N. Kishore","Tata Energy Research Institute","India Habitat Centre, Darbari Seth Block, Lodhi Road",3103000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_20"
"21","Ministry of Non-Conventional Energy  Sources","Development of solid electrolyte materials for electrochemical double layer supercapacitors","S. Sampath","Indian Institute of Science"," ",2904000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_21"
"22","Ministry of Non-Conventional Energy  Sources","Towards an alternative fuel: Biocatalytic conversion of natural glycerides (oils) to higher value products","Anju Chadha","Indian Institute of Technology (M)"," ",2300000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_22"
"23","Ministry of Non-Conventional Energy  Sources","Preparation and characterization of carbonaceious composite materials for ultra capacitors","K. Vijayamohnan","National Chemical Laboratory","Dr. Homi Bhaba Road",3583000,36,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_23"
"24","Ministry of Non-Conventional Energy  Sources","Biological hydrogen production pre-commercial and industrial systemization","T.M. Vatsala","Shri AMM Murugappa Chettiar Research Centre","Tharamani",7500000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_24"
"25","Ministry of Non-Conventional Energy  Sources","Energy for the masses a project proposal for R&D and Demonstration Centres for briquetting from Biomass in Chamba Block, Tehri Garhwal Distt. Uttranchal","M.L. Dewan","HIMCON","N-44, Panchshila Park",1746000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_25"
"26","Ministry of Non-Conventional Energy  Sources","Pilot installation of a one million KCL gasification sstem in an oil industry in the cooperative sector","B.S. Pathak","Sardar Patel Renewable Energy Research Institute","Post Box No. 2",1650000,24,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_26"
"27","Ministry of Non-Conventional Energy  Sources","Village Eletrification project","P.V.R. Iyer","Indian Institute of Technology (D)","Department of Chemical Engineering,Haus Khas",4043353,15,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_27"
"28","Ministry of Non-Conventional Energy  Sources","Market development of solar dryers in the industrial and agricultural sectors of Gujarat","S.K. Philip","Sardar Patel Renewable Energy Research Institute","Post Box No. 2",1278000,30,"2000-01","MNES","Indian Rupees","Months","MNES_2000-01_28"
