"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of New & Renewable Energy","A parametric study of the Proton Exchange Membrane (PEM) Fuel Cell performance","S.D. Manjare","Birla Institute of Technology & Science","Chemical Engineering Group",792000,36,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_1"
"2","Ministry of New & Renewable Energy","Demonstration of solar drying technologies for drying industrial products","N.S. Rathore","College of Technology & Engineering","Dept. of Renewable Energy Sources",1547000,36,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_2"
"3","Ministry of New & Renewable Energy","Design & development of biological hydrogen production reactors from renewable organic wastes","Y. Anjaneyulu","Jawaharlal Nehru Technological University","Institute of Science & Technology",1952000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_3"
"4","Ministry of New & Renewable Energy","Design & development of White LED based Solar Lighting System","V.K. Devi","Agency for Non-Conventional Energy & Rural Technology"," ",1449000,12,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_4"
"5","Ministry of New & Renewable Energy","Development & evaluation of PEM Fuel Cell stacks for transportation application","G.S. Kumar","SPIC Science Foundation"," ",6431000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_5"
"6","Ministry of New & Renewable Energy","Development of Catalytic Materials for storage & supply of clean hydrogen through liquid organic hydrides","R. Biniwale","National Environmental Engineering Research Institute","Environmental Materials Unit",2887000,36,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_6"
"7","Ministry of New & Renewable Energy","Development of Directo Methanol Fuel Cell & Speciat Proton Exchange Membranes Impervious to Methanol","A. Kumar","Indian Institute of Technology (K)","Department of Chemical Engineering",1903000,36,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_7"
"8","Ministry of New & Renewable Energy","Development of nanostructured semiconductor chalcogenides spinels - visible light photo-catalyst for hydrogen generation","B.B. Kale","Centre for Materials for Electronics Technology"," ",2328000,36,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_8"
"9","Ministry of New & Renewable Energy","Development of Test Procedure for Solar Concentrators & its implementation on two types of Dish Concentrators","J.K. Nayak","Indian Institute of Technology (B)","Energy System Engineering",1881000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_9"
"10","Ministry of New & Renewable Energy","Development, testing & evaluation of Tubular skylights for passive day lighting of Indian manufacture","R.R. Easow","Sardar Patel College of Engineering","Department of Mechanical Engineering",520000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_10"
"11","Ministry of New & Renewable Energy","Enzymatic conversion of indigenous Non-Conventional oils & fats for Bio-diesel production","R.K. Saxena","Delhi University"," ",2263000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_11"
"12","Ministry of New & Renewable Energy","Field survey of constructed Solar passive building in cold region of Himachal Pradesh","Director","State Council for Science, Technology & Environment"," ",546000,12,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_12"
"13","Ministry of New & Renewable Energy","Modeling & experiments of Water Management Problem in a PEM Fuel Cell","S.K. Das","Indian Institute of Technology (M)"," ",894000,24,"2006-07","MNRE","Indian Rupees","Months","MNRE_2006-07_13"
"14","Ministry of New & Renewable Energy","Design & development of Stirling engine for net 1.5 KWe electrical output","S.L. Bapat","Indian Institute of Technology (B)","Department of Mechanical Engineering",6148000,36,"2007-08","MNRE","Indian Rupees","Months","MNRE_2007-08_1"
