"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Communications & IT","An integrated Info system using text, graphics and audio through Samadhan Kendras for the Development of rural communicty in West Godavari Distt. Of A.P","U.S.N. Murthy","Indian Institute of Chemical Technology","tarnaka",2234000,36,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_1"
"2","Ministry of Communications & IT","Establishment of Village Info-cum-Counselling Centres at Lugyakhedi Panchayahat of Tarana Block of Ujjain, M.P","V. Sarat","National Centre for Human Settlement & Environment","E-5/A Grish Kunj Area Colony",1547000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_2"
"3","Ministry of Communications & IT","IT for Integrated Rural Development (Samadhan) Centres","Shashikant Tripathy","Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyala,","Chitrakoot",890000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_3"
"4","Ministry of Communications & IT","Multimedia Software for Implementation of Available Agriculture Technologies of various crops","S N Murthy","Jawaharlal Nehru Krishi Vishwavidyalaya","Adhartal",2224000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_4"
"5","Ministry of Communications & IT","The integrated Machine Aided Translation System from English to Hindi","R.M.L. Sinha","Indian Institute of Technology (K)","Department of Computer Science & Engg.",7468000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_5"
"6","Ministry of Communications & IT","Localisation of LINUX","S.P. Mudur","National Centre for Software Technology","9, Gulmohar Cross Road, Juhu",3900000,18,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_6"
"7","Ministry of Communications & IT","Development of Operating System for Smart Card","Rajat Moona","Indian Institute of Technology (K)","Department of Computer Science & Engg.",1000000,12,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_7"
"8","Ministry of Communications & IT","Tools for Testing Quality of Programs","S.K. Aggarwal","Indian Institute of Technology (K)"," ",522000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_8"
"9","Ministry of Communications & IT","Implementation of a Pilot Project on E-governance Citizen IT Interface in the O/of Dy. Commissioner, Fatehgarh Sahib Punjab","Navneet Kukreja","Punjab State Unit","SCO 69, Sector 17D",8000000,6,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_9"
"10","Ministry of Communications & IT","Implementation of an Electronic Governance Model for Indian Universities","C N Krishnan","Anna University","AU-KBC Centre for Internet & Telecom Technology, MIT Campus, Chrompet",8596000,24,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_10"
"11","Ministry of Communications & IT","Implementation of Paperless Office for MIT upgradation of Integrated Office Automation System of MIT","Sujatha Aggarwal","CMC Ltd.","1 Ring Road, Kilokri, Opp. Maharani Bagh",1850000,5,"2000-01","MOCIT","Indian Rupees","Months","MOCIT_2000-01_11"
