"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Environment and Forests","GIS based Forest Density Stratification and Time Series Analysis for resources mapping and monitoring in J&K state using Remote Sensing Techniques","Gurcharan Singh","Jammu & Kashmir Government","Environment & RS",4629952,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_1"
"2","Ministry of Environment and Forests","Setting up of a demo plant on technology options for treatment of sewage with emphasis on fecal coliform removal","S. Rajamani","Central Leather Research Institute","CSIR, Department of Environmental Technology & Science Secretariat, Adyar",1693200,12,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_2"
"3","Ministry of Environment and Forests","Nutrient flux at some interfaces in Mangrove ecosystem","Sayeeda Wafar","National Institute of Oceanography","Dona Paula",884120,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_3"
"4","Ministry of Environment and Forests","Cytotaxonomic studies and preparation of choromosome atlas of indian mangroves","A.B. Das","RPRC"," ",454250,24,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_4"
"5","Ministry of Environment and Forests","Photo catalytic treatment of non bio-degradable industrial waste water","S.N. Kaul","National Environmental Engineering Research Institute"," ",1906800,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_5"
"6","Ministry of Environment and Forests","Biological removal of color from distillery effluent in the tertiary treatment system for aqua-culture","P. Ramachandra","Industrial Toxicology Research Centre"," ",1574000,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_6"
"7","Ministry of Environment and Forests","Microbial technology for Rehabilitation of fir and spruce seedling on degraded sites","Y.M. Zargar","Sher-e-Kashmir University of Agriculture & Technology of Kashmir","Shalimar",1661060,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_7"
"8","Ministry of Environment and Forests","Fruit brats and damage of orchard","G. Marimuthu","Madurai Kamaraj University","Department of Animal Behaviour & Physiology",499744,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_8"
"9","Ministry of Environment and Forests","Butterfly ranching/farming in South Andaman","K. Veena Kumari","Central Agricultural Research Institute"," ",990104,12,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_9"
"10","Ministry of Environment and Forests","Habitat evaluation and ecological stdies on some wildlife species in Pakhui species in Pakhui Wildlife Sanctuary, Arunachal Pradesh","G.S. Solanki","North Eastern Regional Institute of Science & Technology","Department of Applied Science (Forestry), Nirjuli",722736,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_10"
"11","Ministry of Environment and Forests","Assessment of Genotype X environment Interaction Response for secondary metabolite production in selected medicinal and aromatic plants","Samresh Diwedi","Central Institute of Medicinal & Aromatic Plants"," ",266000,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_11"
"12","Ministry of Environment and Forests","Conservation of Cheer Pheasant in Garhwal Himalaya, Current Statues, Distribution, Habitat, Ecology and Behaviour","M.S. Bisht","Hemwati Nandan Bahuguna Garhwal University","Department of Zoollogy, Pauri Campus,",684250,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_12"
"13","Ministry of Environment and Forests","Bumble Bee Diversity and its role in the conservating the High Altitude Vegetation Germplasm in the Himalayan Region","M.S. Saini","Punjabi University","Department of Zoology",1126310,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_13"
"14","Ministry of Environment and Forests","Dynamics of the orthopteran community of Tamil Nadu - a study in biodiversity","M.C. Muralirangan","Guru Nanak College","G.S. Gill Research Institute",1261320,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_14"
"15","Ministry of Environment and Forests","Studies on water borne diseases in rural areas of western Rajasthan - Assessment of Microbial Diversity and Population Dynamics of Pathogenic Forms","Naresh Vyas","Jai Narain Vyas University","Department of Zoology",1448724,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_15"
"16","Ministry of Environment and Forests","Rapid clonal multiplication of some important conifers of Kashmir Valley through Tissue & Organ Culture Technique","A.M. Shah","Kashmir University","Centre of Research for Development",1308815,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_16"
"17","Ministry of Environment and Forests","The vegetation of the coromandal coast assessed with emphasis on plants under stressed from urbanisation","S. John Britto","St. Joseph's College","The Rapinat Herbarium",975125,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_17"
"18","Ministry of Environment and Forests","Bio-diversity of eriophis fauna (Eriophyidea:Acari) of Eastern Ghats of Tamil Nadu","G. Umapathy","Tamil Nadu Agricultural University","CAS in Entomology",597310,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_18"
"19","Ministry of Environment and Forests","Ecological studies in the upstream of Bhadra and Tunga river basins in the WesternGhats of Karnataka","S. Thippeswamy","Mangalore University","Department of Biosciences",1163386,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_19"
"20","Ministry of Environment and Forests","Biodiversity of plant parasitic predatory and entomophilic nematodes in Western Ghats region of Tamil Nadu","M. Sivakumar","Tamil Nadu Agricultural University","CAS in Entomology",672060,48,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_20"
"21","Ministry of Environment and Forests","Diversity of fungal endophytes of tropical forest trees in Western Ghats","T. Suryanarayanan","Vivekananda College"," ",732431,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_21"
"22","Ministry of Environment and Forests","Studies on the diversity of Aleyrodid fauna of South Western Ghats","R. Sundararaj","Institute of Wood Science & Technology"," ",327750,24,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_22"
"23","Ministry of Environment and Forests","Conservation of selected rare and economic rattan palms of Western Ghats through in-vitro multiplication and reintroduction","S. Seeni","Tropical Botanic Garden & Research Institute"," ",654810,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_23"
"24","Ministry of Environment and Forests","The species diversity of the algal flora of the Western Ghats of Kerla Region","M.V.N. Panikkar","Sree Narayana College"," ",598460,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_24"
"25","Ministry of Environment and Forests","Population dynamics of some endangered species (rodents) in and around Pachmarhi Sanctuary","Vinay K. Shrivastav","Barkatullah Vishwavidyalaya","Department of Zoology",5828037,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_25"
"26","Ministry of Environment and Forests","Studies on the diversity of insect fauna of Manas Biosphere Reserve with special reference to Lepidoptera","C.K. Baruah","Guwahati University","Department of Zoology",2485287,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_26"
"27","Ministry of Environment and Forests","Impact of human activities on biodiversity and biodiversity conservation strategy of Dihang Dibang Biosphere Reserve","Uma Melkonia","North Eastern Regional Institute of Science & Technology","Department of Applied Science (Forestry), Nirjuli",6681037,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_27"
"28","Ministry of Environment and Forests","Assessment of marine biological resources of Great Nocobar and its ecology","L. Kannan","Annamalai University","Centre for Advance Studies in Marine Biology,",4422787,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_28"
"29","Ministry of Environment and Forests","Impact of anthropogenic activities on Bio-resources in cold desert of Lahul Valley in North Western Himalayan","S.C.R. Vishvakarna","G.B. Pant Institute of Himalayan Environment & Development"," ",536988,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_29"
"30","Ministry of Environment and Forests","Analysis of landuse changes in and around Pachmarhi Biosphere Reserve","S. Khan","Madhya Pradesh Council of Science & Technology","Arera Hills",610000,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_30"
"31","Ministry of Environment and Forests","Phytophagous & predatory mite fauna of mangrovevegetation and agricultural/horticultural crops of Deltaic Sunderbans","S.K. Gupta","S.D. Marine Biological Research Institute","Bamamkhali, Sagar Island",497297,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_31"
"32","Ministry of Environment and Forests","Development of indicators (ecological, economic and social is institutional terms) for sustainable management of forests ecosystem in buffer zone of Pachmarhi Biosphere Reserve","R.K. Pandey","State Forest Research Institute","Polipathar",525320,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_32"
"33","Ministry of Environment and Forests","Documentation of indigenous knowledge in habitants of Pachmarhi Biosphere Reserve","R.P. Singh","Environmental Planning and Coordination Organisation","Arera Colony",6779037,36,"2000-01","MOEF","Indian Rupees","Months","MOEF_2000-01_33"
