"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Earth Sciences","A etiology of Monodon slow growth syndrome an emerging diseases in Cultural Shrimp","P. Jankiram","Andhra University"," ",1125310,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_1"
"2","Ministry of Earth Sciences","An investigation on dopamine from puffer fishes (Family: Tetraodontidae) along the Parangipettai coast","M. Arumugam","Annamalai University"," ",1700390,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_2"
"3","Ministry of Earth Sciences","Biodiversity of free-living Nematodes from Shallow marine and coastal environment of India","O.J. Fernando","Annamalai University"," ",1483500,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_3"
"4","Ministry of Earth Sciences","Biologically active compounds from marine Cyanobacteria","M. Haridas","Cochin University of Science & Technology"," ",2354000,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_4"
"5","Ministry of Earth Sciences","Biology & culture of sea stars from Indian waters","S. Rajagopal","Annamalai University"," ",2500000,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_5"
"6","Ministry of Earth Sciences","Biotracers of mangrove ecosystems along Kerala coast North of Cochin","N.C. Kumar","Cochin University of Science & Technology"," ",2001220,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_6"
"7","Ministry of Earth Sciences","Distribution characteristics of DMS & DMSP in the Cochin Estuarine system","C.H. Sujatha","Cochin University of Science & Technology"," ",2709000,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_7"
"8","Ministry of Earth Sciences","Distribution, diversity & population dynamics of sea snakes of Tamil Nadu coast, India with reference to their importance as a source of bioactive compounds","T. Balasubramanian","Annamalai University"," ",3508600,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_8"
"9","Ministry of Earth Sciences","Ecological & biological studies of harmful algae and toxic cyanobacteria in the coastal waters of Karnataka","M. Rajashekhar","Mangalore University","Manalagangotri",3637002,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_9"
"10","Ministry of Earth Sciences","Ecosystem modeling approach to generate habitat suitability for some endemic & rare fish species in estuaries of the East coast of Tamil Nadu","S. Vincent","Annamalai University"," ",2026300,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_10"
"11","Ministry of Earth Sciences","Fungal L - Asparaginases from mangroves of Bhitarkanika Regional Plant Resource Centre, Bhubaneswar, Orissa","N. Gupta","Regional Plant Resource Centre","Nayapalli",1585590,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_11"
"12","Ministry of Earth Sciences","Gentoxicity on field populations of commercially important fin fishes & shellfishes of central West coast of India","S.K. Shyama","Goa University"," ",1668000,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_12"
"13","Ministry of Earth Sciences","Germplasm conservation & establishment of Gene bank of traditionally useful coastal medicinal plant - Ipomoea pescaprae (Linn.) R. Br.","T. Ramanathan","Annamalai University"," ",1528400,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_13"
"14","Ministry of Earth Sciences","Inventorying & monitoring of intertidal biodiversity from Karnataka coast","S. Thippeswamy","Mangalore University","Manalagangotri",2108752,36,"2008-09","MOES","Indian Rupees","Months","MOES_2008-09_14"
