"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Power","Development of demonstration model for transformer oil reconditioning in remote areas","Ramoorthy","Electrical Research & Development Association","PB No. 760, Makarpura Road",620000,30,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_1"
"2","Ministry of Power","Application of artificial intelligence and digital signal processing techniques for development of high performance digital protection schemes","U.J. Shenoy","Indian Agricultural Research Institute","Department of Electrical Engineering",690000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_2"
"3","Ministry of Power","Development of a suitable material to combat excessive abrasive wear in coal grinding mix components","N. Ramakrishnan","Regional Research Laboratory","Hoshanabad Road, Near Habibganj Naka",2400000,30,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_3"
"4","Ministry of Power","Ground water quality management in areas around ash ponds of two thermal power stations","B. Chakradhar","Regional Research Laboratory","Environmental and Disaster Modeling Division, Hoshangabad Road, Near Habibganj Naka",1650000,30,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_4"
"5","Ministry of Power","Study of Effects of electrical Fast Transients, Electromagnetic and Magnetic Field on Static Energy Meters and other Electronic Gadgets","V.N. Nandakumar","Central Potato Research Institute","Instrumentation Division, Capacitor Laboratory",1694000,30,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_5"
"6","Ministry of Power","Acoustic emission Technique for online Condition Monitoring of PowerTransformers","H.N. Nagamani","Central Power Research Institute","Insulation Division/Capacitor Laboratory",2400000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_6"
"7","Ministry of Power","Analysis design and fabrication of three phase line start permanent magnet synchronous motor for fan and irrigation pump applications","B.G. Fernandes","Indian Institute of Technology (B)","Department of Electrical Engineering, Powai",1200000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_7"
"8","Ministry of Power","Development of silver-tin oxide contact material using ternary compound by Novel method of production","S.S. Godkhindi","Electrical Research & Development Association","P.B. 760, ERDA Road, Makarpura Industrial Estate",200000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_8"
"9","Ministry of Power","Development of D C MCB for 5 kA, 130 V DC to meet the requirements of railway applications","V.N. Prajapathi","Electrical Research & Development Association","P.B. 760, ERDA Road, Makarpura Industrial Estate",275000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_9"
"10","Ministry of Power","Creation of grid disturbance database","P.V. Balasubramanyam","Central Power Research Institute","Insulation Division/Capacitor Laboratory",1000000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_10"
"11","Ministry of Power","Implementation of self-tuning adaptive controller","J.K. Mendiratta","R.V. College of Engineering"," ",1304000,18,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_11"
"12","Ministry of Power","Evaluation of the performance of ball mills and suggestions for upgradation","J.D. Sundar","Tamil Nadu Electricity Board","NPKRR Maaligai, III Floor, Eastern Wingh 800, Anna Salai",215000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_12"
"13","Ministry of Power","Martensitic low alloy steel based hammer ring technology for ring granulators","G.S. Grewal","Electrical Research & Development Association","PB No.760, Makarpura Road",1995000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_13"
"14","Ministry of Power","Performance Evaluation of LT Capacitors under Tansients","H.N. Nagamani","Central Power Research Institute","Insulation Division/Capacitor Laboratory",2500000,30,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_14"
"15","Ministry of Power","Establishing correlation between non-linearity in supply voltage, load current and transformer losses","U.C. Trivedi","Electrical Research & Development Association","PB No.760, Makarpura Road",2400000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_15"
"16","Ministry of Power","Metallurgical characteristics of Duplex stainless steels and their wear behavior in Indian hydro-electric projects","M.K. Sharma","Electrical Research & Development Association","B No.760, Makarpura Road",400000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_16"
"17","Ministry of Power","Development of automatic power factor controller for LT side distribution transformer","V. Havanagi","Karnataka Power Transmission Corportion Limited","K.R. Circle",650000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_17"
"18","Ministry of Power","Development of automatic overload controllers for Bhagya Jyothi installations","V. Havanagi","Karnataka Power Transmission Corportion Limited","K.R. Circle",300000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_18"
"19","Ministry of Power","Development of automatic midnight switches for high way light circuits with sodium vapor lamps","V. Havanagi","Karnataka Power Transmission Corportion Limited","K.R. Circle",500000,24,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_19"
"20","Ministry of Power","Condition monitoring of power transformers in Karnataka grid by off/line  AC dielectric power factor and capacitance test to create a data base and fix bench mark for safe limits","V. Havanagi","Karnataka Power Transmission Corportion Limited","K.R. Circle",2500000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_20"
"21","Ministry of Power","Development of a economical variable speed constant frequency generation system suitable for wind power generation","D. Kastha","Indian Institute of Technology (Kh)","Department of Electrical Engineering",2600000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_21"
"22","Ministry of Power","Development of decision support tools for secure energy management","A.K. Sinha","Indian Institute of Technology (Kh)","Department of Electrical Engineering",2478000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_22"
"23","Ministry of Power","Development of low cost on line distribution monitoring device with wireless local loop capability","P.K. Dutta","Indian Institute of Technology (Kh)","Department of Electrical Engineering",2544000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_23"
"24","Ministry of Power","Study of infrastructure and issues involved in implementation of distributed generation in rural areas","S.A. Khaparde","Indian Institute of Technology (B)","Department of Electrical Engineering, Powai",1200000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_24"
"25","Ministry of Power","Performance assessment of electromechanical coupled systems by non-contact heat loss measurement","G. Pandian","Central Power Research Institute","Energy Research Centre, P.B. No. 3506, Srikariam",3000000,36,"2003-04","MOP","Indian Rupees","Months","MOP_2003-04_25"
"26","Ministry of Power","Field trial of thermosyphon in power transformers in the GEB grid","M.J. Patel","Electrical Research & Development Association","Post Box No 760, Makarpura Road",520000,48,"2004-05","MOP","Indian Rupees","Months","MOP_2004-05_1"
"27","Ministry of Power","Performance evaluation of LT capacitors under transients","H.N. Nagamani","Central Power Research Institute","New BEL Road, Sadashivanagara Post Office",2500000,54,"2004-05","MOP","Indian Rupees","Months","MOP_2004-05_2"
"28","Ministry of Power","Development of erosion resistance coatings for hydro turbine under water parts","D.B. Goel","Indian Institute of Technology (R )","Department of Metallurgy &  Materials Engineering",571000,36,"2004-05","MOP","Indian Rupees","Months","MOP_2004-05_3"
"29","Ministry of Power","Ways and means to remove colloidal silica from raw water and D.M. Water","S.K. Saxena","National Thermal Power Corporation Ltd.","Research & Development Centre, A-8A, Sector 24",2400000,48,"2004-05","MOP","Indian Rupees","Months","MOP_2004-05_4"
