"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Social Justice and Empowerment","Development of science activity kit for orthopaedically handicapped children of age 5-10 years","Jagdish Sagar","Delhi University","Centre for Science Education & Communication, 10 Cavalry Lane",99500,6,"2000-01","MOSJE","Indian Rupees","Months","MOSJE_2000-01_1"
"2","Ministry of Social Justice and Empowerment","Manufacture of Multifunctional wheel chair","P. Dasgupta","Indian Drugs & Pharmaceuticals Ltd","Dundahera, Delhi Gurgaon Road",200000,6,"2000-01","MOSJE","Indian Rupees","Months","MOSJE_2000-01_2"
"3","Ministry of Social Justice and Empowerment","Thermometer and Talking Weilghing balance for kitchen","Director, Marketing","Indian Drugs & Pharmaceuticals Ltd","Dundahera, Delhi Gurgaon Road",500000,36,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_1"
"4","Ministry of Social Justice and Empowerment","Designing of Adaptive clothing for the M.H.","S. Das","National Institute of Fashion Technology","Ministry of Textiles, NIFT Campus, Haus Khas, Near Gulmohar Park",110000,6,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_2"
"5","Ministry of Social Justice and Empowerment","An innovative training module for fighting childhood disability","G. Chopra","Institute of Home Economics","Department of Child Development, F-4, Haus Khas Enclave",222000,6,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_3"
"6","Ministry of Social Justice and Empowerment","Barrier free access system for disabled in public transport buses","R.S. Hirenath","Flexitron","114, 6th Cross, 6th Block, Koramangala",596000,6,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_4"
"7","Ministry of Social Justice and Empowerment","Design & Development Battery operated motorized wheelchair/tricycle & motorized wall mounted staircase lift for wheelchair users","S.M. Sundraram","Callidai Motors Works P. Ltd.","28, Desika Road, Mylapore",1610000,6,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_5"
"8","Ministry of Social Justice and Empowerment","Development of Telescopic cane and medical dispenser for visually challenged","M. Goel","Aadya","211/4A, Ras Behari Marg, Padam Nagar",395000,12,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_6"
"9","Ministry of Social Justice and Empowerment","D.C. Motors of wheelchair","Director, Marketing","Indian Drugs & Pharmaceuticals Ltd","Dundahera, Delhi Gurgaon Road",1000000,24,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_7"
"10","Ministry of Social Justice and Empowerment","Design & Development of Tele-Microscopes (using Plastic aspheric lenses as low vision aids)","S.V. Ramagopal","Central Scientific Instruments Organisation","Sector 30-C,",1875000,24,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_8"
"11","Ministry of Social Justice and Empowerment","Development of Modular cost effective light weight & corrective extremity orthosis","K.U. Varty","Vidushi Gyan Yagya Shiksha Sansthan","Flat No. 104, B.P.C.L. Housing Complex, Plot No. 23-A, Sector-10, Dwarka",113000,6,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_9"
"12","Ministry of Social Justice and Empowerment","Obstacle Climbing Wheelchair","S. Chandra","Institute of Nuclear Medicine & Allied Sciences","Brig. Majumdar Marg, Timarpur",2950000,24,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_10"
"13","Ministry of Social Justice and Empowerment","F M Hearing Aid","M. Jayaram","All India Institute of Speech & Hearing","Mansagangothri",459200,24,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_11"
"14","Ministry of Social Justice and Empowerment","Design & Development of Modular Prosthetic Appliances","S.K. Verma","Central Institute of Plastics Engineering & Technology","437/A, Hebbal Industrial Area",1138500,12,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_12"
"15","Ministry of Social Justice and Empowerment","Design of a mechatronic wheelchair with modular features","U.S. Dixit","Indian Institute of Technology (G)","Department of Mechanical Engineering, North Guwahati",425000,36,"2001-02","MOSJE","Indian Rupees","Months","MOSJE_2001-02_13"
