"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Ministry of Water Resources","Pilot study on pressurized irrigation forming adjunct with canal irrigation system in Deras irrigation command","R.C. Srivastava","Water Technology Centre for Eastern Region","Chandrasekharpur",2434152,48,"2000-01","MOWR","Indian Rupees","Months","MOWR_2000-01_1"
"2","Ministry of Water Resources","Identification quantification and control of non point source pollution of water resources from agricultural lands","R.K. Panda","Indian Institute of Technology (Kh)"," ",2740000,60,"2000-01","MOWR","Indian Rupees","Months","MOWR_2000-01_2"
"3","Ministry of Water Resources","Documentation and analysis of farmers' practices on water management of plantation crops","E.J. Joseph","Centre for Water Resources Development & Management","Kunnamangalam",637000,24,"2000-01","MOWR","Indian Rupees","Months","MOWR_2000-01_3"
"4","Ministry of Water Resources","Identification, Quantification and Control of non-point source pollution of water resources from agricultural lands","R.K. Panda","Indian Institute of Technology (Kh)","Agriculture & Food Engineering Department",5780000,60,"2001-02","MOWR","Indian Rupees","Months","MOWR_2001-02_1"
"5","Ministry of Water Resources","Fabric based material for canal lining","B.L. Deopura","Indian Institute of Technology (D)","Department of Textile Technology, Hauz Khas",3896000,18,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_1"
"6","Ministry of Water Resources","Design of stilling basin and flexible aprons for barrages under variable hydraulic conditions","D. Sen","Indian Institute of Technology (Kh)","Department of Civil Engineering",1939000,42,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_2"
"7","Ministry of Water Resources","Geohydrological studies for augmentation of spring discharge in Western Himalaya","G.C.S. Negi","G.B. Pant Institute of Himalayan Environment & Development","Kosi-Katarmal",898000,42,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_3"
"8","Ministry of Water Resources","Study of fluvial geomorphology and tectonics of the Khari-Mashi drainage basin, Rajasthan, for database preparation and ground water recharge capability assessment","S.S. Roy","Birla Institute of Scientific Research","Statue Circle",1343000,36,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_4"
"9","Ministry of Water Resources","Ascertaining arsenic mobilisation in Soil-Water-Plant system and exploring the possible remedial measure, West Bengal","S.K. Sanyal","Bidhan Chandra Krishi Vishwavidyalaya","Faculty of Agriculture, Mohanpur",957000,24,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_5"
"10","Ministry of Water Resources","Feasibility of artificial recharge study through mathematical modeling in Kongal river basin, a hard rock region in Nalgonda District, A.P.","V.S. Singh","National Geophysical Research Institute","Uppal Road,",1097000,24,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_6"
"11","Ministry of Water Resources","Ecophysiology of tree species to evaluate bio-drainage potential for waterlogged soils of Haryana","R. Angrish","Ch. Charan Singh Haryana Agricultural University","Department of Botany and Plant Physiology",4000000,60,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_7"
"12","Ministry of Water Resources","Fitting in and Evaluation of Bio-drainage in Different Angro-ecological Situations of Deltaic Region of Orissa","S.R. Chowdhury","Water Technology Centre for Eastern Region","Department of Plant Physiology, Chandrasekharpur",4011000,60,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_8"
"13","Ministry of Water Resources","Screening superior genotypes of eucalyptus for bio-drainage through eco-physiological approaches","A. Balasubramanian","Tamil Nadu Agricultural University","Forest College and Research Institute",1926000,60,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_9"
"14","Ministry of Water Resources","Study of Characteristic Features Pertaining to Bio-drainage Potential of Some Selected Tree Species","N. Bala","A.F.R.I.","Division of Forest Ecology and Desert Development, New Pali Road",4536000,60,"2003-04","MOWR","Indian Rupees","Months","MOWR_2003-04_10"
