"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Petroleum Conservation Research Association","Development of Low capacity LAP Burner (3-15 lit./hr.)","V.K. Verma","Indian Institute of Petroleum","Haridwar Road, Mohkampur",1345000,16,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_1"
"2","Petroleum Conservation Research Association","Design and development of Energy efficient tunnel Kiln for white ware Industry","P.K. Tripathi","Steel Authority of India Ltd.","Research & Development Centre for Iron & Steel",4266000,15,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_2"
"3","Petroleum Conservation Research Association","Aplications of LPG & Natural Gas in Food Industry","K.V. Murthy","Central Food Technological Research Institute","Department of Food Engineering",1798000,18,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_3"
"4","Petroleum Conservation Research Association","Development of petrol-alcohol-water micro emulsion fuel as substitute for petrol & ethanol-blended petrol","A.N. Bhaskarwar","Indian Institute of Technology (D)","Department of Chemical Engineering, Hauz Khas",1761000,7.5,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_4"
"5","Petroleum Conservation Research Association","Evaluation of Imported LPG stoves marketed in the country","M. Pal","Indian Institute of Petroleum","Haridwar Road, Mohkampur",480600,16,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_5"
"6","Petroleum Conservation Research Association","Increasing life of bituminous road by utilising waste plastics through a novel dispersant based bitumen emulsion technology","K.K. Pant","Indian Institute of Technology (D)","Department of Chemistry, Hauz Khas",4300000,24,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_6"
"7","Petroleum Conservation Research Association","Design and development of an energy efficient control system for humidification plants in textile mills","R. Prakasam","National Institute for Science","Textile Engineering & Instrumentation Division",1915000,12.7,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_7"
"8","Petroleum Conservation Research Association","Design/development of optimised Energy saving control systems for Overhead cleaners used in Textile Industry","R. Prakasam","National Institute for Science","Textile Engineering & Instrumentation Division",1990000,12.7,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_8"
"9","Petroleum Conservation Research Association","Biogas fuel from Jatropha curcas seeds as an alternative to kerosene LPG","V.R. Jogukar","Shivsadan Renewable Energy Research"," ",635000,12,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_9"
"10","Petroleum Conservation Research Association","Estimation of fuel loss at New Delhi Railway station on Paharganj side","T.S. Reddy","Central Road Research Institute","Delhi Mathura Road",291600,9,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_10"
"11","Petroleum Conservation Research Association","Estimation of fuel loss during idling of vehicles at selected intersections of Delhi","T.S. Reddy","Central Road Research Institute","Delhi Mathura Road",1007600,12.6,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_11"
"12","Petroleum Conservation Research Association","Feasiblity study for constructing new rail over bridges and rail under bridges","T.S. Reddy","Central Road Research Institute","Delhi Mathura Road",788400,13.6,"2003-04","PCRA","Indian Rupees","Months","PCRA_2003-04_12"
"13","Petroleum Conservation Research Association","Technology up-gradation of ceramic cluster at Khurja","S. Chakrabarty","Central Glass & Ceramic Research Institute","196, Raja S.C. Mallick Road, P.O.Jadavpur University",1500000,18,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_1"
"14","Petroleum Conservation Research Association","Energy savings through the use of rolle head jigger in fabricating pottery wares at Khurja","S. Chakraborty","Central Glass & Ceramic Research Institute","196, Raja S.C. Mallick Road, P.O. Jadavpur Univesity",993300,12,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_2"
"15","Petroleum Conservation Research Association","Educating and reskilling of decentralised powerloom owners/workers in better lubricant handling techniques and also develop a centralised lubrication system suitable for powerloom in textile","N.D. Mhatre","Bombay Textile Research Association","Lal Bahadur Shastri Marg, Ghatkopar (W)",1037000,13,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_3"
"16","Petroleum Conservation Research Association","Development of energy efficient and multi-fuel cooking stoves","P. Mahante","Indian Institute of Technology (G)"," ",320000,15,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_4"
"17","Petroleum Conservation Research Association","Biodesulfurisation, biodenitrogenation and biodemetallation of crude oil","D.K. Sharma","Indian Institute of Technology (D)","Centre of Energy Studies, Hauz Khas",1438500,24,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_5"
"18","Petroleum Conservation Research Association","Installation of energy efficient durable improved cooking stoves in the rural areas","N.S. Rathore","Maharana Pratap University of Agriculture & Technology","College of Technology & Engineering",610000,12,"2004-05","PCRA","Indian Rupees","Months","PCRA_2004-05_6"
