Year,Name,"Award Category",Award,"Higher Education Institution","Partner (where applicable)",Discipline,"Project Title","ORCID ID"
2019,"Adrian Bracken","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Genetics and Heredity","Understanding the impact of divergent PRC2 complex assemblies on chromatin landscapes and gene regulation",
2019,"Brendan Dooley","Principal Investigator-led","Advanced Laureate Award","University College Cork",,History,"Examining New Sources for the European Dimension of Early Modern News, integrating Ireland and elsewhere into the network of circulation, 1550-1700, to understand a forgotten but highly significant media landscape",
2019,"Christine Casey","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Art & Design","Surface Value: The Agency amd Impact of Craftmanship in the Architecture of Britain and Ireland, 1680-1780",
2019,"Colm O'Dwyer","Principal Investigator-led","Advanced Laureate Award","University College Cork",,"Materials Science","Battery Performance in Technicolor - Photonic Material Circuitry and 3D Printed Batteries for Probing Electrochemical Energy Storage Mechanisms and Cell Performance",
2019,"Igor Shvets","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Materials Science","New Concepts for Superconducting Tunnelling Junctions",
2019,"John Atkins","Principal Investigator-led","Advanced Laureate Award","University College Cork",,"Biochemistry and Molecular Biology","Codes within THE CODE: Revealing Hidden Genetic Information",
2019,"Lorraine O'Driscoll","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Cancer Research","Extracellular Vesicles in Cancer",
2019,"Michael Zaworotko","Principal Investigator-led","Advanced Laureate Award","University of Limerick",,"Materials Science","Switching Adsorbent Layered Materials",
2019,"Pádraig Ó Macháin","Principal Investigator-led","Advanced Laureate Award","University College Cork",,"Cultural Studies","The materiality of the late-medieval Gaelic vernacular manuscript (1100-1600): a study of inks and vellum in the Book of Ui Mhaine, the development of a materiality protocol from that study, and the refinement of that protocol through application to other Gaelic manuscripts from the same era",
2019,"Patricia Palmer","Principal Investigator-led","Advanced Laureate Award","Maynooth University",,Literatures,"MACMORRIS (Mapping Actors and Contexts: Modelling Research in Renaissance Ireland in the Sixteenth and Seventeenth Century)",
2019,"Seamus Martin","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Cell Biology","Death Receptors as Integrators of Cell Stress-induced Inflammation",
2019,"Stefano Sanvito","Principal Investigator-led","Advanced Laureate Award","Trinity College Dublin",,"Electrical Engineering, Electronic Engineering, Information Engineering","eMag: a computational platform for accelerated magnetic materials discovery",
2015,"Marie-Louise Coolahan","Principal Investigator-led","Basic Research Excellence Recognition Award ","National University of Ireland, Galway",,Literatures,"The Reception and Circulation of Irish Women’s Writing, 1550-1800",
2015,"Porscha Fermanis","Principal Investigator-led","Basic Research Excellence Recognition Award ","University College Dublin",,"English Studies","Realigning British Romanticism: White Settler and Indigenous Writing in the British-Controlled Southern Hemisphere, 1783-1870 (“SouthHem”)",
2016,"Roland Erne","Principal Investigator-led","Basic Research Excellence Recognition Award ","University College Dublin",,"Political Science","Labour Politics and the EU's New Economic Governance Regime",
2017,"Cara Levey","Principal Investigator-led","Basic Research Excellence Recognition Award ","University College Cork",,"Cultural Studies","Children of Exile: Transnational Memory Activism Between Latin America and Europe",
2002,Adrienne Gorman,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Role of the Notch Signalling Pathway in Neurons Exposed to Ischemia",
