Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID ID,Research Body,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date, Current Total Commitment 
11/PI/1005,SFI Principal Investigator Programme,,,Cormac Taylor,https://orcid.org/0000-0002-0946-1247,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Regulation of inflammatory gene expression during hypoxic inflammation.,2012-06-01,2018-05-31," 1,151,739.12 "
11/PI/1014,SFI Principal Investigator Programme,,,Marina Lynch,https://orcid.org/0000-0002-4631-0499,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Modulating microglial function and its impact on neuronal function,2012-10-01,2016-12-31," 1,483,870.46 "
11/PI/1020,SFI Principal Investigator Programme,,,Uri Frank,https://orcid.org/0000-0003-2094-6381,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Stem cell fate in Hydractinia: a marine cnidarian,2012-09-01,2018-12-31," 984,519.42 "
11/PI/1026,SFI Principal Investigator Programme,,,James Gleeson,https://orcid.org/0000-0003-3410-2817,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,Modelling dynamics on complex networks,2012-04-01,2016-09-30," 738,481.00 "
11/PI/1027,SFI Principal Investigator Programme,,,Finbarr O'Sullivan,https://orcid.org/0000-0002-7938-4697,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Statistical Methods for Molecular Imaging of Cancer with PET,2012-10-01,2019-05-31," 1,427,770.57 "
11/PI/1034,SFI Principal Investigator Programme,,,Desmond Higgins,https://orcid.org/0000-0002-3952-3285,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Clustal Omega and the future of Multiple Alignments,2012-07-01,2018-06-30," 1,236,856.97 "
11/PI/1036,SFI Principal Investigator Programme,,,Kingston Mills,https://orcid.org/0000-0003-3646-8222,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,New immunotherapeutic approaches based on the Th1/Th17 axis and its regulation,2012-10-01,2017-12-31," 2,820,202.00 "
11/PI/1037,SFI Principal Investigator Programme,,,Oliver Blacque,https://orcid.org/0000-0003-1598-2695,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,"Dissecting secretory and endocytic membrane transport pathways in targeting proteins to cilia, a prevalent disease-associated cellular organelle",2012-04-01,2017-12-31," 1,023,218.30 "
11/PI/1048,SFI Principal Investigator Programme,,,Hans-Benjamin Braun,https://orcid.org/0000-0003-3486-4125,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Physics behind next generation magnetic storage technologies,2012-04-01,2018-12-31," 1,142,934.17 "
11/PI/1056,SFI Principal Investigator Programme,,,Andrew Bowie,https://orcid.org/0000-0001-5316-4373,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Sensing and signalling in anti-viral innate immunity,2012-07-01,2017-11-30," 1,840,729.72 "
11/PI/1066,SFI Principal Investigator Programme,,,James O'Donnell,https://orcid.org/0000-0003-0309-3313,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Defining the molecular mechanisms responsible for clearance of the von Willebrand factor - factor VIII complex ,2012-04-01,2016-09-30," 1,129,687.00 "
11/PI/1071(X),SFI Principal Investigator Programme,,,Donal O'Shea,https://orcid.org/0000-0003-0594-4193,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,BF2-Tetraarylazadipyrromethene Based Stimuli-Responsive Near-Infrared Fluorescent Imaging Platforms,2012-04-01,2016-03-31," 193,418.43 "
11/PI/1080,SFI Principal Investigator Programme,,,Peter Humphries,https://orcid.org/0000-0003-2928-5700,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,On Prevention of Degenerative Retinopathies,2012-08-01,2017-07-31," 2,437,034.00 "
11/PI/1087,SFI Principal Investigator Programme,,,Jonathan Coleman,https://orcid.org/0000-0001-9659-9721,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,2D atomic crystal-nanoconductor hybrids: High conductivity nano-structured materials for energy applications,2012-10-01,2017-09-30," 1,075,960.00 "
11/PI/1103,SFI Principal Investigator Programme,,,Jennifer McElwain,https://orcid.org/0000-0002-1729-6755,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Predicting biome-level vegetation responses to future global change: Implications for future flood risk,2012-03-01,2018-02-28," 1,042,044.29 "
11/PI/1105,SFI Principal Investigator Programme,,,Hongzhou Zhang,https://orcid.org/0000-0002-1188-7810,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Helium-ion microscopy for graphene-based nanodevices,2012-04-01,2017-03-31," 607,852.30 "
11/PI/1108,SFI Principal Investigator Programme,,,Hugh J. Byrne,https://orcid.org/0000-0002-1735-8610,Technological University Dublin (TU Dublin),Science Foundation Ireland,10.13039/501100001602,Advancing Vibrational Spectroscopy for Cellular and Sub Cellular Analysis,2012-04-01,2018-07-31," 1,033,706.77 "
11/PI/1117,SFI Principal Investigator Programme,,,Martyn Pemble,https://orcid.org/0000-0002-2349-4520,Tyndall National Institute (TNI),Science Foundation Ireland,10.13039/501100001602,New Materials and Devices for Optical Applications via the use of Hybrid Technologies: Colloidal Crystallisation and Advanced Thin Film Deposition,2012-04-02,2016-10-01," 1,757,964.54 "
