Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado (pesos)
"Centro de Diseño y Comunicación, SC","En terra incognita: innovación para el emprendimiento, Gran Bretaña y México",Privada,707199.00
"CIATEQ, AC Centro de Tecnología Avanzada (CIATEQ)",Manufactura digital avanzada para el desarrollo regional,Pública,541553.00
Instituto Mexicano del Seguro Social,"Aplicación de métodos genómicos: inflamación, infecciones y traducción clínica",Pública,567977.62
Instituto Tecnológico y de Estudios Superiores de Monterrey,Formación dirigida a investigadores con interés en la educación de ciencia y matemáticas,Privada,708482.00
Instituto Mexicano del Petróleo,Investigación en biorrefinerías - promoviendo la colaboración internacional para soluciones innovadoras y sustentables,Pública,1020190.00
Universidad Michoacana de San Nicolás Hidalgo,"Modelado, análisis y simulación digital y física de sistemas de potencia con integración de fuentes renovables de energía, considerando su comportamiento dinámico e impacto en calidad de la energía",Pública,1540000.00
Universidad Autónoma de Nuevo León,Tecnologías innovadoras de temple para la manufactura de componentes estructurales críticos destinados al sector energético,Pública,1540000.00
Universidad Autónoma del Estado de Morelos ,Generar productos de alto valor agregado a partir de cola de caballo mexicana para aplicaciones biotecnológicas,Pública,984291.00
Instituto Tecnológico y de Estudios Superiores de Monterrey,El efecto de las redes (networks) en la adopción de nuevas medicinas en México vs reino unido: el caso de medicinas huérfanas en el tratamiento contra el cáncer,Privada,1440767.00
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,"Ciudades grises, infraestructura verde: innovación colaborativa y diseño para infraestructuras urbanas saludables",Pública,1595016.50
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina Veterinaria y Zootecnia,Identificación de biomarcadores de resistencia a bacterias de vida intracelular en ganado bovino,Pública,975000.00
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Monterrey,"Participación bilateral para el desarrollo de biotecnología aplicada en medio ambiente, agricultura y ciencias de la alimentación",Privada,1540000.00
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Investigaciones en Materiales,El ahorro de energía por medio del uso eficaz de recubrimientos nanoestructurados y lubricantes avanzados,Pública,1539970.00
Centro de Ingeniería y Desarrollo Industrial,Ecosistema Bilateral para la Innovación de Compuestos Aeroespaciales,Pública,1442800.00
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, SC",Sistema de almacenamiento de energía basado en compresión electroquímica de hidrógeno,Pública,1554900.00
Barcelona Supercomputing Center - Centro Nacional de Supercomputación,Apoyo a Estancias Posdoctorales en el Barcelona Supercomputing Center - Centro Nacional de Supercomputación vinculadas al Fortalecimiento de la Calidad de Posgrado Nacional,Extranjera,7526196.00
"El Colegio de México, AC","El Colegio Internacional de Graduados: entre Espacios: Movimientos, Acciones y Representaciones de la Globalización",Pública,701000.00
Universidad de California,Participación de México en el Mid-Scale Dark Energy Spectroscopic Instrument (DESI),Extranjera,19968000.00
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Matematicas,Laboratorio Internacional Solomon Lefschetz (LAISLA - 2015),Pública,884000.00
Instituto Nacional de Medicina Genómica,Encuentro Científico y Tecnológico México-Israel: Modelo de Transformación en Salud e Innovación,Pública,1505050.00
