NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
UNIVERSIDAD AUTONOMA METROPOLITANA,IMPACTOS SOCIALES ECONOMICOS Y CULTURALES DE LA POSIBLE INTRODUCCION DE MAIZ GENETICAMENTE MODIFICADO EN MEXICO,PUBLICO,516265.6
ASOCIACION NUEVA ANTROPOLOGIA,NUEVA ANTROPOLOGIA. REVISTA DE CIENCIAS SOCIALES,PRIVADO,100000
FUNDACION CLINICA MEDICA SUR,ANNALS OF HEPATOLOGY,PRIVADO,100000
"SOCIEDAD BOTANICA DE MEXICO, A.C.",BOTANICAL SCIENCES ANTES BOLETIN DE LA SOCIEDAD BOTANICA DE MEXICO,PRIVADO,100000
"EL COLEGIO DE MEXICO, A.C.","ESTUDIOS DE ASIA Y AFRICA,",PUBLICO,100000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,DIANOIA,PUBLICO,70000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,PERFILES EDUCATIVOS,PUBLICO,100000
UNIVERSIDAD AUTONOMA METROPOLITANA,SIGNOS FILOSOFICOS,PUBLICO,96280
"EL COLEGIO DE MEXICO, A.C.",NUEVA REVISTA DE FILOLOGIA HISPANICA,PUBLICO,100000
CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,DESACATOS. REVISTA DE ANTROPOLOGIA SOCIAL,PUBLICO,100000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ESTUDIOS DE CULTURA MAYA,PUBLICO,100000
UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,DEVELOPMENT OF NEW NANOCOMPOSITES USING MATERIALS FROM MINING INDUSTRY,PUBLICO,3342314.8
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,BOLETIN MEXICANO DE DERECHO COMPARADO,PUBLICO,100000
METALSA S.A. DE C.V.,DISENO Y DESARROLLO DE SISTEMA DE PROPULSION ELECTRICA Y SUSPENSION ACTIVA PARA VEHICULO DE CARGA LIGERA,PRIVADO,387935.12
SISTEMAS Y TELECOMUNICACIONES DIGITALES S.A. DE C.V.,PLATAFORMA UNIVERSAL INALAMBRICA EMPOTRADA PARA MONITOREO REMOTO (UWEP),PRIVADO,1000000
ADVANCED SCIENTIFIC APPLICATIONS DE MEXICO S.A. DE C.V.,UTILIZACION DE RFID Y FPGA PARA LA LOCALIZACION BAYESIANA Y LA CANCELACION ACTIVA DE RUIDO,PRIVADO,819595.2
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,SUBVARIEDADES HELICE DEL ESPACIO EUCLIDEANO,PUBLICO,20000
