Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Universidad Autónoma de Baja California,"DESARROLLO DE UN MÉTODO MULTIPLEX, ECONÓMICO Y RÁPIDO PARA LA IDENTIFICACIÓN SIMULTÁNEA DE MUTACIONES RESPONSABLES DE LA RESISTENCIA A DROGAS ANTI-TUBERCULOSAS DE PRIMERA Y SEGUNDA LÍNEA, APLICADO DIRECTAMENTE EN MUESTRAS CLÍNICAS",Servicios Educativos,"1,993,351.00"
Universidad de Occidente,DESARROLLO DE UN SISTEMA DE APOYO PARA LA TOMA DE DECISIONES BASADO EN AGENTES INTELIGENTES PARA EL DISEÑO DE NUEVOS PRODUCTOS AGROINDUSTRIALES,Servicios Educativos,"1,101,000.00"
Universidad Nacional Autónoma de México - Instituto de Geofísica,DISEÑO DE UNA ESTRATEGIA NACIONAL ANTE FENOMENOS DE CLIMA ESPACIAL,Servicios Educativos,"3,640,000.00"
Centro de Investigación Científica de Yucatán A.C. (CICY),Generación de una Variedad Intragénica de Plátano Resistente a la Enfermedad de la Sigatoka Negra para Mejorar la Economía de los Productores y Proteger al Ambiente.,"Servicios Profesionales, Cientificos Y Tecnicos","2,000,000.00"
Universidad Nacional Autónoma de México - Facultad de Medicina Veterinaria y Zootecnia,EVALUACIÓN DE UN TRATAMIENTO NOVEDOSO PARA INFECCIONES POR LEPTOSPIRA EN ANIMALES DE COMPAÑIA Y PRODUCCIÓN,Servicios Educativos,"2,000,000.00"
Universidad Nacional Autónoma de México - Facultad de Ciencias,"HONGOS MEXICANOS: FILOGENIA Y BIOGEOGRAFÍA APLICADAS A LA VALORACIÓN Y CONSERVACIÓN DE ESPECIES MEXICANAS ENDÉMICAS, CON ÉNFASIS EN AQUELLAS DISTRIBUIDAS EN BOSQUES TEMPLADOS HÚMEDOS DE MONTAÑA",Servicios Educativos,"3,150,000.00"
Universidad Nacional Autónoma de México - Instituto de Ecología,"ESTRATEGIA DE REHABILITACIÓN ECOLÓGICA EMPLEANDO BIODIVERSIDAD NATIVA, EN BOSQUE TEMPLADO AFECTADO POR ACTIVIDAD MINERA PÉTREA Y AGROPECUARIA",Servicios Educativos,"3,962,830.00"
Universidad Autónoma del Estado de Hidalgo,PROCESAMIENTO DE ARCILLAS FELDESPÁTICAS PARA LA GENERACIÓN DE EMPLEOS Y LA PRODUCCIÓN DE ALIMENTOS,Servicios Educativos,"2,000,000.00"
Universidad Nacional Autónoma de México - Centro Regional de Investigaciones Multidisciplinarias,VIOLENCIA CONTRA MUJERES Y SEGURIDAD CIUDADANA EN MÉXICO. UN ACERCAMIENTO DESDE EL ÁMBITO MUNICIPAL PARA LA FORMULACIÓN E IMPLEMENTACIÓN DE POLÍTICAS,Servicios Educativos,"4,000,000.00"
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco A.C. (CIATEJ),EFECTOS HEMATOPOYÉTICOS EN NIÑOS EXPUESTOS AMBIENTALMENTE A BENCENO,"Servicios Profesionales, Cientificos Y Tecnicos","1,128,000.00"
