NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"COMPUTADOR INTELIGENTE PARA LA ELABORACION DE MEZCLAS DE BIO-KEROSENO PARAFINICO SINTETIZADO Y TURBOSINA, Y PARA EL ASEGURAMIENTO DE LA CALIDAD DE LA BIOTURBOSINA",AEROPORTUARIO,2334000
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,DESARROLLO DE UN MODELO PARA LA IDENTIFICACION DE PATRONES ANOMALOS EN EL PROCESO DE CONTROL DE INVENTARIOS DE COMBUSTIBLES DE AVIACION,AEROPORTUARIO,874000
UNIVERSIDAD AUTONOMA CHAPINGO,MEJORAMIENTO GENETICO DE HIGUERILLA (RICINUS COMMUNIS L.),"AGRICOLA, PECUARIO Y PESCA",668000
UNIVERSIDAD AUTONOMA DE COAHUILA,DESARROLLO DE TECNOLOGIAS DE PRODUCCION DE ETANOL A PARTIR DE BIOMASA DE PLANTACIONES DE LECHUGUILLA (AGAVE LECHEGUILLA) EXISTENTES Y NUEVAS PLANTACIONES DE LA REGION SEMIDESERTICA DEL NORTE DE MEXICO,"AGRICOLA, PECUARIO Y PESCA",3035500
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",DESARROLLO DE TECNOLOGIAS DE PRODUCCION DE ETANOL Y/O METANOL CON JUGO Y BIOMASA SOLIDA DE AGAVE TEQUILERO Y/O MEZCALERO PROVENIENTE DE PLANTACIONES EXISTENTES O NUEVAS DE ,"AGRICOLA, PECUARIO Y PESCA",2250000
EL COLEGIO DE LA FRONTERA SUR,"""VALIDACION Y DESARROLLO DE TECNOLOGIA PARA EL MANEJO INTEGRADO DE MOSCAS DE LA FRUTA EN MANGO CON ENFOQUE EN AREAS GRANDES?","AGRICOLA, PECUARIO Y PESCA",5890258
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA",DESARROLLO DE ALIMENTOS FORMULADOS NUTRICIONALMENTE EFICIENTES PARA EL CULTIVO RENTABLE DE PECES,"AGRICOLA, PECUARIO Y PESCA",2897572
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS","DISENO, CONSTRUCCION, ADAPTACION Y/O EVALUACION DE MAQUINARIA Y EQUIPO PARA LA COSECHA Y PROCESAMIENTO DE LA SEMILLA DE HIGUERILLA (RICINUS COMUNIS) Y LAS PRACTICAS AGRICOLAS RELACIONADAS CON LA COSECHA","AGRICOLA, PECUARIO Y PESCA",6655000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",GENERACION Y VALIDACION DE TECNOLOGIAS DE MANEJO INTEGRADO DE LA ESCAMA BLANCA (HEMIPTERA: DIASPIDIDAE) PARA INCREMENTAR RENTABILIDAD DEL MANGO EN MEXICO ,"AGRICOLA, PECUARIO Y PESCA",1259700
UNIVERSIDAD MICHOACANA DE SAN NICOLAS HIDALGO,DESARROLLO Y PUESTA EN MARCHA DE TECNOLOGIA DE PRODUCCION DE ETANOL A PARTIR DEL APROVECHAMIENTO INTEGRAL DEL JUGO Y LA BIOMASA SOLIDA DEL AGAVE TEQUILERO Y MEZCALERO,"AGRICOLA, PECUARIO Y PESCA",860000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",CONTROL INTEGRADO DE PLAGAS Y ENFERMEDADES Y USO EFICIENTE DEL AGUA DE RIEGO EN EL CULTIVO DE NOGAL PECANERO,"AGRICOLA, PECUARIO Y PESCA",1109500
UNIVERSIDAD AUTONOMA DE SINALOA ,"TECNOLOGﬁAS PARA EL CULTIVO, MANEJO POSCOSECHA, PRODUCCI„N DE BIOCOMBUSTIBLES Y COPRODUCTOS DE MORINGA EN MEXICO","AGRICOLA, PECUARIO Y PESCA",1008000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",INVESTIGACION Y DESARROLLO DE PRODUCCION DE MORINGA PARA LA OBTENCION DE BIODISEL EN MEXICO,"AGRICOLA, PECUARIO Y PESCA",1827600
COLEGIO DE POSTGRADUADOS,"ESTRATEGIA DE INVESTIGACION APLICADA PARA EL FORTALECIMIENTO, INNOVACION Y COMPETITIVIDAD DE LA PRODUCCION DE VAINILLA EN MEXICO","AGRICOLA, PECUARIO Y PESCA",3906968
UNIVERSIDAD AUTONOMA CHAPINGO ,"FACTIBILIDAD TECNICA Y FINANCIERA DEL NOPAL PARA LA PRODUCCION DE METANO, ETANOL Y COPRODUCTOS","AGRICOLA, PECUARIO Y PESCA",7592820
