NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR ,MONTO
INGENIERIA MECATRONICA SA DE CV,"SISTEMA DE MEDICION, CONTROL Y OPTIMIZACION DE POTENCIA PARA HORNOS DE ARCO ELECTRICO",EQUIPO DE MEDICION Y CONTROL,527079
INGENIERIA MECATRONICA SA DE CV,SISTEMA FOTOVOLTAICO CONECTADO A LA RED ELECTRICA CON SEGUIDOR SOLAR,ENERGIA,504765
CONSTRUCCIONES INDUSTRIALES DE AGUASCALIENTES SA DE CV,DESARROLLO DE UN NUEVO PROCESO PARA  RECUBRIMIENTOS DE TUBERIA DE  POZOS PROFUNDO  PARA  AGUA,METALMECANICA,3060250
TECNEW SA DE CV,MONITOR A DISTANCIA DE RIESGOS DURANTE EL EMBARAZO (MADRE): ESTRATEGIA DE TECNOLOGIA MOVIL PARA DISMINUIR LA MORTALIDAD MATERNA,SALUD,3200063
INDUSTRIA DEPORTIVA RODA SA CV,"DISENO Y DESARROLLO TECNOLOGICO DE INNOVACION PARA OBTENER  PELOTA DE BEISBOL CON ""CUSHIONED CENTER"" Y CUBIERTA DE CUERO QUE PERMITA SU EXPORTACION.",CUERO Y CALZADO,3239837
TECNOMEC AGRICOLA SA DE CV,DISENO Y DESARROLLO DE UNA NUEVA GENERACION DE CARGADORAS FRONTALES PREMIUM PARA TRACTORES AGRICOLAS,METALMECANICA,5418360
EMPACADORA DE CARNES SAN FRANCISCO SA DE CV,CENTRO DE DESARROLLO Y ESCALAMIENTO INDUSTRIAL PARA LA INNOVACION EN SUBPRODUCTOS Y PRODUCTOS CARNICOS BIOCONSERVADOS.,ALIMENTOS,2855015
WIN INFORMATION TECHNOLOGIES S DE RL DE CV,SISTEMA INTELIGENTE PARA LA AUTOGESTION  DE ENFERMEDADES CRONICO DEGENERATIVAS COMO LA DIABETES MELLITUS TIPO 2,SALUD,3432000
TECNOLOGIA Y SOLUCIONES APLICADAS SA DE CV,"DESARROLLO DE PROTOTIPOS DE MODULOS VIDEO/GPS/GPRS MOVIL EN TIEMPO REAL PARA MONITOREO Y CONTROL A DISTANCIA DE UNIDADES MOVILES DEL SECTOR TRANSPORTE DE CARGA, PERSONAS Y SEGURIDAD PUBLICA EN LA REPUBLICA MEXICANA",TECNOLOGIAS DE LA INFORMACION,345465
CONTROL OPERATIVO COMERCIAL SA DE CV,"SISTEMA DE CONTROL Y TRAZABILIDAD DE BITACORAS DE VUELO, PARA CONTROL DEL MANTENIMIENTO EN AERONAVES DE ENTRENAMIENTO (FLIGHT LOG DEVICE)",AEROESPACIAL,3060975
