NOMBRE DEL SUJETO DE APOYO ,NOMBRE DEL PROYECTO,SECTOR,MONTO 
RASOFT SA DE CV ,SISTEMA AUXILIAR PARA APOYO A ZONAS DE DESASTRE,TELECOMUNICACIONES," 3,144,672 "
PORCELANITE LAMOSA SA DE CV ,LOSETAS CERAMICAS CON MATERIALES VISCOELASTICOS INCORPORADOS PARA CONTROL ACUSTICO DE ESPACIOS,CONSTRUCCIÓN," 2,191,470 "
CAASSIN EL PIZCADOR SINALOENSE SA DE CV,"EVALUACION DE MEZCLA: BRASINOLIDA, ACIDOS HUMICOS Y ZINC PARA TRATAMIENTO EN SEMILLA DE MAIZ Y TRIGO",QUÍMICA," 746,073 "
VIVOXIE S DE RL DE CV ,"PLATAFORMA DE VISION ARTIFICIAL Y REALIDAD VIRTUAL CON INTERFAZ HAPTICA PARA E-LEARNING, E-TRAINING",TECNOLOGÍAS DE LA INFORMACIÓN," 7,224,332 "
NANOINGREDIENTES BIOACTIVOS SA DE CV ,ESCALAMIENTO DE NUEVO PROCESO DE OBTENCION DE NANOPARTICULAS CON UBIQUINOL DE ALTA BIODISPONIBILIDAD.,ALIMENTOS," 2,573,000 "
KIORU SA DE CV,"DISENO Y DESARROLLO DE UNA APP Y LAS TECNOLOGIAS ELECTRONICAS, INFORMATICAS Y DE COMUNICACION NECESARIAS PARA UN NUEVO SISTEMA DE LOCALIZACION DE LUGARES DISPONIBLES DE ESTACIONAMIENTO EN CIUDADES.",TECNOLOGÍAS DE LA INFORMACIÓN," 2,629,350 "
GRUPO AVIMARCA SA DE CV ,INNOVACION EN EL SISTEMA DE MONITOREO Y ACONDICIONAMIENTO DE AGUA EN LA MAQUINA DE HIELO ESCARCHADO,AGROINDUSTRIAL," 10,307,210 "
ECLIPSE CONSTRUCCIONES INDUSTRIALES SA DE CV ,"""TANDEM TERAPEUTICO Y RECREATIVO PARA REHABILITACION FISICA""",SALUD," 5,988,400 "
SISTEMAS VIRTUALES MEDICOS SAPI DE CV,"DISENO Y DESARROLLO DE PLATAFORMA INTEGRAL ""SAFE CARE MEDICAL"", QUE BRINDARA SERVICIOS DE CONSULTORI",TECNOLOGÍAS DE LA INFORMACIÓN," 2,634,450 "
KALTIA CONSULTORIA Y PROYECTOS SA DE CV ,DESARROLLO TECNOLOGICO Y VALIDACIONES COMPLEMENTARIAS PARA SISTEMA PREFABRICADO DE LOSAS DE ENTREPISO Y CUBIERTAS CON BAMBU ESTRUCTURAL. BAMBULOSA ETAPA III.,CONSTRUCCIÓN," 4,718,262 "
REAL NET SA DE CV ,DISPOSITIVO VIRTUAL,TECNOLOGÍAS DE LA INFORMACIÓN," 11,504,650 "
INTEPPCO SA DE CV,PLATAFORMA AUTOMATIZADA DE PRODUCCION DE VIDRIO RECICLADO CON ENERGIA SOLAR Y REUTILIZACION DE AGUAS,MAQUINARIA INDUSTRIAL," 7,169,248 "
"""PLAD"" SA DE CV","PLANTA PILOTO MOVIL INNOVADORA SUSTENTABLE, PREFABRICA VIVIENDAS PATENTADAS DE CONCRETO DESMONTABLES",CONSTRUCCIÓN," 7,465,872 "
DISENO DE MAQUINARIA DE TRANSFORMACION SA DE CV ,DISENO Y DESARROLLO DE NUEVO EQUIPO MECATRONICO POL-1 ENROLLADOR TORRETA DUAL,MAQUINARIA INDUSTRIAL," 3,834,814 "
PROLEC GE INTERNACIONAL S DE RL DE CV,TRANSFORMADORES ECOLOGICOS PARA SUBESTACIONES URBANAS. ETAPA III - INCREMENTO DE CAPACIDAD (>230KV),ELÉCTRICA," 2,408,288 "
