Sujeto de Apoyo,Fondo  ,Monto Aprobado
ABONOS BIOLÓGICOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,983,500"
ACHERBIS AUTOMATIZACION Y TECNOLOGIA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,379,400"
ALGACHEM S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,249,998"
APLICACION Y ADECUACION DE TECNOLOGIA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,702,500"
ASIDETECH RESEARCH SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,995,313"
BGCM TECHNOLOGY S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,644,400"
"CALENTADORES DE AMERICA, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"3,450,580"
CIFUNSA DEL BAJIO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,656,802"
"DEACERO, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,318,000"
"DESARROLLADORA DE PROYECTOS DE INVESTIGACION, TECNOLOGIA Y COMERCIALIZACION S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"898,500"
"DESARROLLOS QUIMICOS METALICOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,451,397"
DITEMSA S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,843,500"
"ECOTECNOLOGIA & PROYECTOS, S.A. DE .C.V.",Programa de Estímulos a la Innovación (PEI),"1,142,110"
ELECTROSERVICIOS LOZANO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,252,785"
"ESPECIALIDADES METALURGICAS DE  LA LAGUNA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,050,000"
"ESQUITEC TELEMETRIA Y DESARROLLO, SA DE CV",Programa de Estímulos a la Innovación (PEI),"771,649"
EXCALLIBUR S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,563,500"
"EXHIB, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"616,082"
FEDSA HT TECHNOLOGIES SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"5,096,811"
FUNDICION DE ALEACIONES ESPECIALES DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,269,250"
FUNDICION J.V S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,966,017"
IMPERSIMGES S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"4,718,411"
"INDUSTRIA SIGRAMA, S.A.  DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,176,028"
"INDUSTRIALIZADORA SHARYL, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,877,816"
INDUSTRIAS BELG-W SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,943,690"
INGENIERIA EN CONSTRUCCION TECNOLOGIA DE UNION E INSPECCION INDUSTRIAL S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,985,750"
INGENIERIA SUPERVISION Y EJECUCION ELECTROMECANICA DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,266,700"
"INNOVACIÓN TECNOLÓGICA EN SOLDADURA Y SUPERFICIES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,375,000"
INNOVACION Y DESARROLLO DE ENERGIA ALFA SUSTENTABLE SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,694,530"
MANUFACTURAS ZAPALINAMÉ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,675,408"
