PROYECTO,NOMBRE DEL SUJETO DE APOYO,TITULO DEL PROYECTO,SECTOR,MONTO DE APOYO MXN
241084,COVESTRO S.A. DE C.V.,DESARROLLO DE SISTEMA DE ESPUMA DE POLIURETANO ALTERNATIVOS A LA ELIMINACIÓN DE LOS HCFCS (ODP Y GWP 0) UTILIZANDO AGENTES HINCHANTES DE BAJO COSTO NO INFLAMABLES PARA IND. DE REFRIGERACIÓN COMERCIAL,PRIVADO,"158,377.00"
243512,TRACSA S.A.P.I. DE C.V.,DESARROLLO DE PLATAFORMA TECNOLOGICA QUE MEDIANTE ALGORITMOS PERMITA EL ANALISIS DE EVALUACIÓN FINANCIERA EN INVERSIONES Y PARTICIPACIÓN EN EL MERCADO ELÉCTRICO.,PRIVADO,"439,206.00"
242660,"PANEL REY, S.A.",PLAFÓN DE ALTO DESEMPEÑO ACÚSTICO Y LIGERO A BASE DE LANA MINERAL ,PRIVADO,"633,396.00"
243989,PRODUCTOS ROCHE SA DE CV,INVESTIGACIÓN BIOTECNOLÓGICA MÉDICA EN ESTUDIOS CLÍNICOS DE MEDICAMENTOS INNOVADORES.,PRIVADO,"3,369,143.00"
243241,"NOVARTIS FARMACEUTICA, S.A. DE C.V.",EVALUACIÓN DE EFICACIA Y SEGURIDAD DE TRATAMIENTO INNOVADOR EN PACIENTES CON ICC CON FRACCIÓN CONSERVADA ,PRIVADO,"430,250.00"
243258,"NOVARTIS FARMACEUTICA, S.A. DE C.V.",EVALUACIÓN DE EFICACIA Y SEGURIDAD DE TRATAMIENTO INNOVADOR EN PACIENTES CON ESCLEROSIS MÚLTIPLE (EM) RECURRENTE,PRIVADO,"399,095.00"
242983,"VITALMEX INTERNACIONAL, S.A. DE C.V.",VENTRÍCULO ARTIFICIAL UNIVERSAL PARA SOPORTE CIRCULATORIO EN EL TRATAMIENTO DE LA INSUFICIENCIA CARDIACA,PRIVADO,"13,217,815.00"
242231,"LABORATORIOS SILANES, S.A. DE C.V.",FARMACOCINÉTICA OFTÁLMICA DE UN VNAR ANTI-VEGF,PRIVADO,"1,842,800.00"
241523,FARMACEUTICOS RAYERE SA,INVESTIGACIÓN CLÍNICA DE UN MEDICAMENTO ANALGÉSICO A PARTIR DE UNA NUEVA MOLÉCULA TOTALMENTE DESARROLLADA EN MÉXICO.,PRIVADO,"1,056,744.00"
240407,COMPUTACION EN ACCION SA DE CV,EXTRACTOR Y GESTOR DE CONOCIMIENTO FISCAL EMPRESARIAL DE FUENTES SEMIESTRUCTURADAS BASADOS EN ONTOLOGÍAS Y PROCESAMIENTO DE LENGUAJE NATURAL,PRIVADO,"1,246,750.00"
243064,VISCOFAN DE MEXICO S DE RL DE CV,DESARROLLO DEL PROCESO DE DESULFURADO MEDIANTE UN MODELO INNOVADOR DE PREDICCIÓN DE TIEMPO DE RESIDENCIA APLICABLE EN LOS TANQUES DE LAVADO PARA LA PLANTA PILOTO DE ZACAPU,PRIVADO,"1,549,457.00"
241652,COLOROBBIA MEXICO SA DE CV,DISEÑO Y DESARROLLO DE NUEVAS FORMULACIONES DE FRITAS CERÁMICAS PARA USO EN PASTA GRES PORCELANATO DE GRANDES DIMENSIONES,PRIVADO,"3,465,000.00"
242929,CASA PLARRE S. A . DE C.V.,SISTEMA DE INFORMACIÓN PARA GESTIÓN DE QUIRÓFANOS Y REGISTRO ANESTÉSICO,PRIVADO,"1,721,092.00"
242985,"DEACERO, S.A.P.I. DE C.V.",LÍNEA DE EXTRUSIÓN PARA REVESTIMIENTO DE CABLES ELECTROMECÁNICOS,PRIVADO,"804,620.00"
242961,GCC CEMENTO SA DE CV,DESARROLLO DE UN NUEVO COMBUSTIBLE ALTERNO A BASE DE RESIDUOS GENERADOS POR LA INDUSTRIA MANUFACTURERA PARA SU USO EN EL QUEMADOR PRINCIPAL DE UN HORNO CEMENTERO,PRIVADO,"14,400,000.00"
240822,"EXPERTOS EN SISTEMAS, S.A. DE C.V.",BERING- SOLUCIÓN PARA LA INTEGRACIÓN DE DATOS EN TIEMPO REAL HABILITANDO SISTEMAS DE MISIÓN CRÍTICA,PRIVADO,"481,413.00"
241419,"MOTEBO, S.A.P.I. DE C.V.",CHAMARRA TÉRMICA INTELIGENTE PARA MONITOREO Y CONTROL DE TEMPERATURA EN APLICACIONES AUTOMOTRICES,PRIVADO,"626,313.00"
243306,INTERQUIM SA DE CV,"INVESTIGACION Y DESARROLLO DE PROCESO DE SINTESIS QUIMICA, UTILIZANDO ACIDO SULFURICO COMO DESHIDRATADOR EN LA OBTENCION DE DIAZOXIDE",PRIVADO,"2,922,449.00"
243414,KARALUNDI INVERSIONES S.A. DE C.V.,"DESARROLLO DE BÓVEDA EN LA NUBE PARA EL RESGUARDO DE ARCHIVOS DIGITALES UTILIZANDO BIOMETRÍA DE VOZ, DACTILAR Y FACIAL COMO MÉTODO DE IDENTIFICACIÓN DE USUARIOS.",PRIVADO,"3,032,947.00"
