Year Funded,Project title,Project summary ,Company,Company Type,Competition Type
2021,Shape-changing haptic navigation technology for visually impaired persons,This project will establish the feasibility of using a proprietary shape-changing haptic navigation technology to guide visually impaired persons through UK public transport networks.,Makesense Technology Limited,SME,TRIG
2021,"Why do they all come at once? Improving Bus Information Accuracy to Increase Confidence, Satisfaction and Usage ","This project aims to create bus forecasts by developing a Machine Learning Model, calculating potential delays based on features such as weather and time of day, allowing us to better inform travellers in earnest. ",Zipabout Limited,SME,TRIG
2021,Real-Time Digital Signs for Remote Train Stations In Wales Trial,This project aims to make true-real time train information available to customers in geographically remote stations in Wales. ,Digital Signs For Transport Ltd,SME,TRIG
2021,Improving incident response on Britain’s rail network through automatic train identification,"This project will develop technology that can automatically determine a caller’s train anywhere in Great Britain, enabling a faster and more informed response, making railways safer and increasing passenger confidence.",Signalbox Technologies Limited,SME,TRIG
2021,The development and validation of a hazard perception (HP) training tool for heavy goods vehicle drivers that can be delivered in virtual reality (VR) headsets,This project will develop and validate hazard perception (HP) training for HGV drivers that can be delivered in virtual reality headsets. ,Esitu Solutions Limited,SME,TRIG
2021,"Project Nectar: retrofitted, universal smart-charging infrastructure for e-bikes ","Honeycomb will adapt its novel e-scooter smart-charging system for e-bikes. This adaptation will result in a universal, smart e-bike charger, which retrofits onto existing bicycle storage infrastructure and can charge up to 8 bikes at once. ",Honeycomb Network Ltd,SME,TRIG
2021,DockChain: EV charging at scale - prototype device project,"""DockChain"" is a prototype unit for charging electric vehicles, it provides the speed and operational benefits of rapid DC-charging with the cost of equipment normally associated with slower AC-charging.",Go Eve Ltd,SME,TRIG
2021,Optimal Planning for Rural and Urban Mobility Hubs ,"This project will develop a system to identify the optimal locations for Mobility Hubs using AI-based generative design. Our system will help Local Authorities understand the opportunity and benefit of Mobility Hubs within their region, supporting the business case for their development, and understanding what modes to promote/prioritise. ",City Science Corporation ,SME,TRIG
2021,All passengers travel equally - eliminating AI bias from customer communications in UK public transport ,"Wordnerds proposes to build a new, agile neural network which has two unique features: it is specifically trained to minimise bias in the UK, and it is trained on passenger data (rail and aviation).",Nerds with Words ,SME,TRIG
2021,A Passenger TOC Virtual Service Laptop to Enable Safe and Reliable Digital Maintenance,"This project will demonstrate a solution for secure maintenance operations capable of integration with legacy and new railway vehicles, to protect the integrity and reliability of rail passenger services. ",RazorSecure Limited,SME,TRIG
2021,The Diode Shared Survey Platform: accelerating the installation of electric vehicle charge points by enabling multiple installers to quote with just a single shared site survey,"Diode’s Shared Survey Platform allows for just a single survey to be carried out, with the results shared with multiple installers. This minimizes the time, cost and carbon of charge point installs, optimizes installer capacity, and lets installers of all sizes benefit from the EV transition.",Diode Group Limited,SME,TRIG
2021,Seal-It: rigorous testing of crack sealing materials and procedures for preventative road maintenance ,The Seal-It project will create the first proof-of-principle prototype of a test-rig for quantitatively assessing the performance of road crack sealing materials and methodologies.,Robotiz3d Limited,SME,TRIG
2021,Delivering real-time forecast of electric vehicle charging demand to support the life cycle of public charging infrastructure and better investment decisions ,"This project will develop a technology that analyses patterns on how charging stations are accessed in different areas and at different times of day, and forecasts future demand for public charging. ",Evotrack Ltd,SME,TRIG
2021,Human Centred Pedestrian Avoidance System: Modelling and Testing (HumanPAS),"This project will research and develop a Human-like Pedestrian Avoidance System. The proposed pedestrian-aware automated vehicle decision making and control system will enable the automated vehicles to avoid pedestrians like human driven vehicles, making the automated vehicles' performance more human like, natural and acceptable from both on-board drivers and the other road users.",Queen's University Belfast,University,TRIG
2021,"HySense: Intelligent interface between infrastructure and rolling stock/end user designed to manage, monitor, maintain and optimise hydrogen use, demand, and supply across a transport network","This project will create an information network that provides accurate, intelligent, and comprehensive usage and status data to fleet users of hydrogen vehicles and hydrogen generation sites. ",Vanguard Sustainable Transport Solutions Ltd.,SME,TRIG
2021,Accelerating the ICE-to-EV transition ,"The project aims to advance critical components central to delivering a mobile phone app to offer an individual's electric vehicle assessment over an internal combustion engine car. By differentiating between public and private transit choices, it can accurately single out and analyse their ICE trips.",TravelAi Ltd,SME,TRIG
2021,INORAIL: Indirect Inspection of Railway Bridges using Train-borne Monitoring System ,This project aims to produce a damage detection system for railway bridges using an instrumented train that can inspect bridges on the network while travelling at operational speed. ,University of Surrey,University,TRIG
2021,Safety Assessment for Urban-Air-Mobility (UAM) System in Metropolitan Areas,"This project will deliver a novel method to assess UAM safety.  Firstly, a universal Urban-Air-Mobility (UAM) modelling method will be developed for multiple configurations to allow a comprehensive simulation of UAM operations. Secondly, a safety assessment will be built that incorporates uncertainty quantification to calculate the reliability of UAM in multiple risks. Thirdly, simulator-based experiments will be implemented to validate the proposed methodologies. ",Swansea University,University,TRIG
2021,Circular economy battery for e-bikes and e-scooters ,"This project will develop a battery for e-bikes and e-scooters  designed specifically for the circular economy (i.e. it is modular with individual parts that can easily be reused, refurbished, or recycled). ",Flit (Cambridge) Limited,SME,TRIG
2021,EcoCool - a solar-powered transportable refrigeration container,"The proposed project would entail designing, developing, and testing of EcoCool in the UK.  EcoCool is a solar-powered transportable refrigeration container, EcoCool was developed to provide a more sustainable means of transporting goods (perishable and non-perishable) in the logistics industry.",EcoCool,SME,TRIG
2021,Novel ultrasound navigation and collision avoidance phased-array sensor,"This project aims to develop a novel, fully embedded ultrasound-based navigation and collision avoidance system encompassing phased-array technology that offers unprecedented combination of high performance, flexibility, and low cost for autonomous vehicles.",Calyo,SME,TRIG
2021,Climate Change Resilience - Autonomous Flood Protection for Critical Transport Infrastructure and Assets,The project aims to incorporate an innovative self-deploying flood barrier technology system into existing structures (e.g. Oyster terminals) to build-in climate change resilience with our game-changing autonomous flood protection system.,AJEA Products Ltd,SME,TRIG
2021,Low-cost sensor system for enhanced bridge flood resilience,"This project aims to develop a tool for early warning and real time scour risk assessment of bridges exploiting information from flood forecasting, hydraulic modelling, and low-cost flow sensors. ",University of Strathclyde,University,TRIG
2021,Bus Network Performance Measurement Tool,"This project will develop an interactive bus performance reporting and analysis tool built on DfT Open Bus Data. This will support the bus sector as we emerge from the COVID-19 pandemic by: providing cost-effective/automated bus service performance monitoring and reporting (as required by the National Bus Strategy), providing industry-leading insights identifying quick-wins to improve service as we emerge from COVID-19 and delivering new insights to support bus service improvement planning.",City Science Corporation Limited,SME,TRIG
2021,Stormchain – Highway-asset Rapid Impact Assessment ,"This project will deliver a mature prototype geo-spatial technology, that meets the challenge of maintaining situational awareness of highway network impacts during major incidents. Stormchain will enable a swift and proactive risk-based response to the loss of bridges, structures, and community access.",John Lamb Executive Solutions Ltd.,SME,TRIG
2021,"Passive Air Lubrication system (PALs). Progression, TRL3 to TRL4, towards a feasible, commercial, sustainable vessel fuel consumption and carbon emission reduction system that significantly contributes to reduced global warming", This project aims to develop a drag reduction system for ships by further collaboration with academia and several vessel owners.,Armada Technologies Limited,SME,TRIG
2021,Small Zero Emission Vessel ,"Malakoff Limited's 'Small Zero Emission Vessel' project aims to design and build a small catamaran suited for workboat, harbour, inland waterway and U10m fishing duties. The project aims to produce a fully electric vessel with no emissions producing power systems onboard.",Malakoff Limited,SME,TRIG
2021,5G Smart Connected Port Data Dashboard ,"This project conducts detailed R&D for an innovative system using both floating 5G buoys and cloud computing to provide weather and sea-state conditions, extending the data horizon to port sea channels and open ocean. ",JET Engineering System Solutions LTD,SME,TRIG
